Ort,Datum,Wert
Ciutadella,2020-01-01,30.333
Ciutadella,2020-01-02,35.696
Ciutadella,2020-01-03,37.826
Ciutadella,2020-01-04,36.783
Ciutadella,2020-01-05,34.500
Ciutadella,2020-01-06,29.652
Ciutadella,2020-01-07,53.522
Ciutadella,2020-01-08,45.522
Ciutadella,2020-01-09,48.174
Ciutadella,2020-01-10,49.957
Ciutadella,2020-01-11,25.130
Ciutadella,2020-01-12,36.913
Ciutadella,2020-01-13,45.625
Ciutadella,2020-01-14,50.739
Ciutadella,2020-01-15,67.000
Ciutadella,2020-01-16,57.583
Ciutadella,2020-01-17,43.043
Ciutadella,2020-01-18,34.708
Ciutadella,2020-01-19,14.583
Ciutadella,2020-01-20,9.870
Ciutadella,2020-01-21,8.609
Ciutadella,2020-01-22,14.261
Ciutadella,2020-01-23,42.870
Ciutadella,2020-01-24,56.826
Ciutadella,2020-01-27,42.333
Ciutadella,2020-01-28,46.391
Ciutadella,2020-01-29,42.167
Ciutadella,2020-01-30,35.917
Ciutadella,2020-01-31,53.913
Ciutadella,2020-02-01,40.917
Ciutadella,2020-02-02,31.292
Ciutadella,2020-02-03,55.261
Ciutadella,2020-02-04,28.250
Ciutadella,2020-02-05,39.500
Ciutadella,2020-02-06,48.348
Ciutadella,2020-02-07,63.625
Ciutadella,2020-02-08,41.833
Ciutadella,2020-02-09,31.458
Ciutadella,2020-02-10,40.714
Ciutadella,2020-02-11,27.696
Ciutadella,2020-02-12,13.652
Ciutadella,2020-02-13,35.870
Ciutadella,2020-02-14,34.000
Ciutadella,2020-02-15,31.792
Ciutadella,2020-02-16,19.957
Ciutadella,2020-02-17,36.458
Ciutadella,2020-02-18,23.870
Ciutadella,2020-02-19,39.696
Ciutadella,2020-02-20,47.042
Ciutadella,2020-02-21,51.500
Ciutadella,2020-02-22,32.522
Ciutadella,2020-02-23,42.042
Ciutadella,2020-02-24,50.333
Ciutadella,2020-02-25,38.783
Ciutadella,2020-02-26,21.250
Ciutadella,2020-02-27,16.348
Ciutadella,2020-02-28,33.739
Ciutadella,2020-02-29,33.304
Ciutadella,2020-03-01,15.435
Ciutadella,2020-03-02,14.087
Ciutadella,2020-03-03,17.522
Ciutadella,2020-03-04,29.050
Ciutadella,2020-03-05,37.478
Ciutadella,2020-03-06,14.826
Ciutadella,2020-03-07,16.696
Ciutadella,2020-03-08,25.000
Ciutadella,2020-03-09,26.652
Ciutadella,2020-03-10,29.792
Ciutadella,2020-03-11,39.348
Ciutadella,2020-03-12,55.913
Ciutadella,2020-03-13,48.957
Ciutadella,2020-03-14,24.783
Ciutadella,2020-03-15,21.792
Ciutadella,2020-03-16,6.087
Ciutadella,2020-03-17,8.042
Ciutadella,2020-03-18,20.750
Ciutadella,2020-03-19,19.619
Ciutadella,2020-03-20,14.087
Ciutadella,2020-03-21,9.000
Ciutadella,2020-03-22,5.783
Ciutadella,2020-03-23,6.435
Ciutadella,2020-03-24,4.833
Ciutadella,2020-03-25,10.091
Ciutadella,2020-03-26,9.300
Ciutadella,2020-03-27,14.458
Ciutadella,2020-03-28,14.174
Ciutadella,2020-03-29,16.217
Ciutadella,2020-03-30,11.783
Ciutadella,2020-03-31,8.739
Ciutadella,2020-04-01,4.048
Ciutadella,2020-04-02,5.125
Ciutadella,2020-04-03,18.292
Ciutadella,2020-04-04,19.957
Ciutadella,2020-04-05,17.208
Ciutadella,2020-04-06,19.167
Ciutadella,2020-04-07,22.333
Ciutadella,2020-04-08,14.261
Ciutadella,2020-04-09,16.000
Ciutadella,2020-04-10,20.000
Ciutadella,2020-04-11,20.167
Ciutadella,2020-04-12,9.208
Ciutadella,2020-04-13,6.783
Ciutadella,2020-04-14,12.667
Ciutadella,2020-04-15,11.783
Ciutadella,2020-04-16,4.682
Ciutadella,2020-04-17,20.565
Ciutadella,2020-04-18,9.696
Ciutadella,2020-04-19,3.391
Ciutadella,2020-04-20,24.708
Ciutadella,2020-04-21,13.438
Ciutadella,2020-04-22,5.304
Ciutadella,2020-04-23,18.208
Ciutadella,2020-04-24,35.087
Ciutadella,2020-04-25,13.522
Ciutadella,2020-04-26,12.833
Ciutadella,2020-04-27,18.125
Ciutadella,2020-04-28,10.125
Ciutadella,2020-04-29,10.667
Ciutadella,2020-04-30,12.609
Ciutadella,2020-05-01,7.304
Ciutadella,2020-05-02,6.417
Ciutadella,2020-05-03,8.667
Ciutadella,2020-05-04,32.900
Ciutadella,2020-05-05,26.792
Ciutadella,2020-05-06,28.043
Ciutadella,2020-05-07,14.208
Ciutadella,2020-05-08,9.292
Ciutadella,2020-05-09,8.708
Ciutadella,2020-05-10,6.739
Ciutadella,2020-05-11,9.542
Ciutadella,2020-05-12,9.652
Ciutadella,2020-05-13,12.174
Ciutadella,2020-05-14,12.571
Ciutadella,2020-05-15,11.208
Ciutadella,2020-05-16,10.875
Ciutadella,2020-05-17,16.750
Ciutadella,2020-05-18,22.833
Ciutadella,2020-05-19,33.435
Ciutadella,2020-05-20,31.478
Ciutadella,2020-05-21,46.696
Ciutadella,2020-05-22,46.708
Ciutadella,2020-05-23,28.167
Ciutadella,2020-05-24,16.565
Ciutadella,2020-05-25,25.478
Ciutadella,2020-05-26,29.708
Ciutadella,2020-05-27,16.682
Ciutadella,2020-05-28,8.917
Ciutadella,2020-05-29,20.250
Ciutadella,2020-05-30,10.652
Ciutadella,2020-05-31,7.792
Ciutadella,2020-06-01,10.875
Ciutadella,2020-06-02,15.000
Ciutadella,2020-06-03,17.696
Ciutadella,2020-06-04,12.478
Ciutadella,2020-06-05,12.348
Ciutadella,2020-06-06,8.478
Ciutadella,2020-06-07,4.167
Ciutadella,2020-06-08,8.250
Ciutadella,2020-06-09,13.458
Ciutadella,2020-06-10,14.217
Ciutadella,2020-06-11,11.333
Ciutadella,2020-06-12,11.957
Ciutadella,2020-06-13,11.348
Ciutadella,2020-06-14,13.217
Ciutadella,2020-06-15,16.500
Ciutadella,2020-06-16,17.333
Ciutadella,2020-06-17,14.000
Ciutadella,2020-06-18,9.783
Ciutadella,2020-06-19,17.542
Ciutadella,2020-06-20,18.125
Ciutadella,2020-06-21,16.739
Ciutadella,2020-06-22,22.708
Ciutadella,2020-06-23,27.261
Ciutadella,2020-06-24,13.292
Ciutadella,2020-06-25,26.217
Ciutadella,2020-06-26,27.375
Ciutadella,2020-06-27,14.667
Ciutadella,2020-06-28,11.083
Ciutadella,2020-06-29,12.250
Ciutadella,2020-06-30,8.609
Ciutadella,2020-07-01,16.375
Ciutadella,2020-07-02,11.542
Ciutadella,2020-07-03,13.917
Ciutadella,2020-07-04,11.043
Ciutadella,2020-07-05,22.792
Ciutadella,2020-07-06,23.542
Ciutadella,2020-07-07,11.000
Ciutadella,2020-07-08,20.333
Ciutadella,2020-07-09,17.625
Ciutadella,2020-07-10,23.792
Ciutadella,2020-07-11,17.478
Ciutadella,2020-07-12,14.087
Ciutadella,2020-07-13,18.261
Ciutadella,2020-07-14,17.174
Ciutadella,2020-07-15,16.182
Ciutadella,2020-07-16,7.435
Ciutadella,2020-07-17,13.958
Ciutadella,2020-07-18,11.292
Ciutadella,2020-07-19,17.208
Ciutadella,2020-07-20,20.913
Ciutadella,2020-07-21,14.650
Ciutadella,2020-07-22,25.478
Ciutadella,2020-07-23,26.957
Ciutadella,2020-07-24,29.565
Ciutadella,2020-07-25,14.174
Ciutadella,2020-07-26,6.583
Ciutadella,2020-07-27,23.348
Ciutadella,2020-07-28,22.043
Ciutadella,2020-07-29,15.625
Ciutadella,2020-07-30,21.870
Ciutadella,2020-07-31,30.522
Ciutadella,2020-08-01,23.500
Ciutadella,2020-08-02,5.652
Ciutadella,2020-08-03,11.042
Ciutadella,2020-08-04,8.458
Ciutadella,2020-08-05,11.292
Ciutadella,2020-08-06,17.174
Ciutadella,2020-08-10,32.667
Ciutadella,2020-08-11,23.783
Ciutadella,2020-08-12,15.043
Ciutadella,2020-08-13,10.625
Ciutadella,2020-08-14,10.957
Ciutadella,2020-08-15,12.250
Ciutadella,2020-08-16,7.583
Ciutadella,2020-08-17,15.478
Ciutadella,2020-08-18,14.042
Ciutadella,2020-08-19,23.083
Ciutadella,2020-08-20,14.174
Ciutadella,2020-08-21,12.261
Ciutadella,2020-08-22,4.958
Ciutadella,2020-08-23,14.667
Ciutadella,2020-08-24,10.292
Ciutadella,2020-08-25,20.565
Ciutadella,2020-08-26,19.429
Ciutadella,2020-08-27,18.417
Ciutadella,2020-08-28,19.217
Ciutadella,2020-08-29,8.917
Ciutadella,2020-08-30,8.000
Ciutadella,2020-08-31,15.087
Ciutadella,2020-09-01,21.542
Ciutadella,2020-09-02,19.375
Ciutadella,2020-09-03,23.130
Ciutadella,2020-09-04,24.304
Ciutadella,2020-09-05,15.125
Ciutadella,2020-09-06,13.792
Ciutadella,2020-09-07,13.000
Ciutadella,2020-09-08,24.130
Ciutadella,2020-09-09,31.450
Ciutadella,2020-09-10,34.000
Ciutadella,2020-09-11,21.391
Ciutadella,2020-09-13,25.304
Ciutadella,2020-09-14,36.696
Ciutadella,2020-09-15,36.261
Ciutadella,2020-09-16,34.391
Ciutadella,2020-09-17,49.391
Ciutadella,2020-09-18,35.348
Ciutadella,2020-09-19,26.870
Ciutadella,2020-09-20,11.652
Ciutadella,2020-09-21,29.300
Ciutadella,2020-09-22,29.174
Ciutadella,2020-09-23,38.000
Ciutadella,2020-09-24,24.652
Ciutadella,2020-09-25,8.870
Ciutadella,2020-09-26,8.739
Ciutadella,2020-09-27,18.667
Ciutadella,2020-09-28,29.625
Ciutadella,2020-09-29,30.435
Ciutadella,2020-09-30,38.875
Ciutadella,2020-10-01,27.667
Ciutadella,2020-10-02,24.174
Ciutadella,2020-10-03,9.087
Ciutadella,2020-10-04,9.696
Ciutadella,2020-10-05,15.583
Ciutadella,2020-10-06,35.708
Ciutadella,2020-10-07,22.522
Ciutadella,2020-10-08,23.542
Ciutadella,2020-10-09,38.391
Ciutadella,2020-10-10,12.174
Ciutadella,2020-10-11,9.261
Ciutadella,2020-10-12,10.435
Ciutadella,2020-10-13,19.542
Ciutadella,2020-10-14,20.524
Ciutadella,2020-10-15,22.792
Ciutadella,2020-10-16,26.696
Ciutadella,2020-10-17,31.826
Ciutadella,2020-10-18,19.783
Ciutadella,2020-10-19,43.958
Ciutadella,2020-10-20,30.478
Ciutadella,2020-10-21,21.850
Ciutadella,2020-10-22,39.435
Ciutadella,2020-10-23,25.913
Ciutadella,2020-10-24,17.348
Ciutadella,2020-10-25,11.091
Ciutadella,2020-10-26,11.913
Ciutadella,2020-10-27,25.217
Ciutadella,2020-10-28,34.739
Ciutadella,2020-10-29,44.783
Ciutadella,2020-10-30,37.833
Ciutadella,2020-10-31,10.208
Ciutadella,2020-11-01,16.478
Ciutadella,2020-11-02,22.696
Ciutadella,2020-11-03,1.000
Ciutadella,2020-11-04,38.875
Ciutadella,2020-11-05,20.783
Ciutadella,2020-11-06,11.522
Ciutadella,2020-11-07,10.565
Ciutadella,2020-11-08,21.292
Ciutadella,2020-11-09,34.304
Ciutadella,2020-11-10,31.000
Ciutadella,2020-11-11,30.826
Ciutadella,2020-11-12,36.348
Ciutadella,2020-11-13,39.750
Ciutadella,2020-11-14,24.783
Ciutadella,2020-11-15,19.913
Ciutadella,2020-11-16,25.778
Ciutadella,2020-11-17,27.478
Ciutadella,2020-11-18,43.958
Ciutadella,2020-11-19,46.870
Ciutadella,2020-11-21,29.348
Ciutadella,2020-11-22,25.652
Ciutadella,2020-11-23,50.609
Ciutadella,2020-11-24,56.522
Ciutadella,2020-11-25,57.130
Ciutadella,2020-11-26,30.348
Ciutadella,2020-11-27,11.667
Eixample,2020-01-01,36.833
Eixample,2020-01-02,42.609
Eixample,2020-01-03,42.130
Eixample,2020-01-04,41.391
Eixample,2020-01-05,43.583
Eixample,2020-01-06,54.391
Eixample,2020-01-07,56.435
Eixample,2020-01-08,79.522
Eixample,2020-01-09,63.609
Eixample,2020-01-10,66.478
Eixample,2020-01-11,37.522
Eixample,2020-01-12,49.870
Eixample,2020-01-13,48.208
Eixample,2020-01-14,68.087
Eixample,2020-01-15,83.714
Eixample,2020-01-16,77.792
Eixample,2020-01-17,55.261
Eixample,2020-01-18,43.667
Eixample,2020-01-19,25.667
Eixample,2020-01-20,24.304
Eixample,2020-01-21,22.130
Eixample,2020-01-22,40.174
Eixample,2020-01-23,50.696
Eixample,2020-01-24,68.174
Eixample,2020-01-27,47.391
Eixample,2020-01-28,43.739
Eixample,2020-01-29,70.542
Eixample,2020-01-30,64.818
Eixample,2020-01-31,79.385
Eixample,2020-02-01,55.375
Eixample,2020-02-02,38.375
Eixample,2020-02-03,67.696
Eixample,2020-02-04,37.875
Eixample,2020-02-05,46.042
Eixample,2020-02-06,56.043
Eixample,2020-02-07,76.292
Eixample,2020-02-08,56.792
Eixample,2020-02-09,42.958
Eixample,2020-02-10,46.250
Eixample,2020-02-11,49.739
Eixample,2020-02-12,37.684
Eixample,2020-02-13,43.304
Eixample,2020-02-14,56.174
Eixample,2020-02-15,34.625
Eixample,2020-02-16,21.739
Eixample,2020-02-17,46.042
Eixample,2020-02-18,42.217
Eixample,2020-02-19,51.435
Eixample,2020-02-20,47.958
Eixample,2020-02-21,60.958
Eixample,2020-02-22,49.478
Eixample,2020-02-23,50.375
Eixample,2020-02-24,64.391
Eixample,2020-02-25,56.478
Eixample,2020-02-26,35.000
Eixample,2020-02-27,26.000
Eixample,2020-02-28,44.957
Eixample,2020-02-29,37.565
Eixample,2020-03-01,26.783
Eixample,2020-03-02,23.826
Eixample,2020-03-03,25.522
Eixample,2020-03-04,52.261
Eixample,2020-03-05,43.304
Eixample,2020-03-06,28.522
Eixample,2020-03-07,25.174
Eixample,2020-03-08,32.833
Eixample,2020-03-09,40.909
Eixample,2020-03-10,35.792
Eixample,2020-03-11,59.391
Eixample,2020-03-12,63.391
Eixample,2020-03-13,52.130
Eixample,2020-03-14,36.870
Eixample,2020-03-15,20.667
Eixample,2020-03-16,15.435
Eixample,2020-03-17,20.750
Eixample,2020-03-18,34.739
Eixample,2020-03-19,27.455
Eixample,2020-03-20,18.130
Eixample,2020-03-21,13.750
Eixample,2020-03-22,8.652
Eixample,2020-03-23,14.261
Eixample,2020-03-24,9.583
Eixample,2020-03-25,17.833
Eixample,2020-03-26,18.375
Eixample,2020-03-27,23.708
Eixample,2020-03-28,19.217
Eixample,2020-03-29,25.565
Eixample,2020-03-30,17.478
Eixample,2020-03-31,16.174
Eixample,2020-04-01,11.917
Eixample,2020-04-02,12.625
Eixample,2020-04-03,25.833
Eixample,2020-04-04,29.304
Eixample,2020-04-05,20.458
Eixample,2020-04-06,27.682
Eixample,2020-04-07,24.708
Eixample,2020-04-08,25.783
Eixample,2020-04-09,24.826
Eixample,2020-04-10,30.667
Eixample,2020-04-11,21.042
Eixample,2020-04-12,15.500
Eixample,2020-04-13,10.174
Eixample,2020-04-14,19.875
Eixample,2020-04-15,21.043
Eixample,2020-04-16,12.958
Eixample,2020-04-17,22.478
Eixample,2020-04-18,14.522
