Monat,Lat,Long,Ort,Durchschnitt
2019-04,41.3853,2.1538,Eixample,0.359
2019-04,41.3987,2.1534,Gràcia,0.335
2019-04,41.4261,2.148,Vall Hebron,0.258
2019-04,41.3875,2.1151,Palau Reial,0.286
2019-05,41.3853,2.1538,Eixample,0.386
2019-05,41.3987,2.1534,Gràcia,0.354
2019-05,41.4261,2.148,Vall Hebron,0.243
2019-05,41.3875,2.1151,Palau Reial,0.248
2019-06,41.3853,2.1538,Eixample,0.303
2019-06,41.3987,2.1534,Gràcia,0.332
2019-06,41.4261,2.148,Vall Hebron,0.238
2019-06,41.3875,2.1151,Palau Reial,0.250
2019-07,41.3853,2.1538,Eixample,0.349
2019-07,41.3987,2.1534,Gràcia,0.345
2019-07,41.4261,2.148,Vall Hebron,0.228
2019-07,41.3875,2.1151,Palau Reial,0.239
2019-08,41.3853,2.1538,Eixample,0.248
2019-08,41.3987,2.1534,Gràcia,0.284
2019-08,41.4261,2.148,Vall Hebron,0.215
2019-08,41.3875,2.1151,Palau Reial,0.203
2019-09,41.3853,2.1538,Eixample,0.319
2019-09,41.3987,2.1534,Gràcia,0.369
2019-09,41.4261,2.148,Vall Hebron,0.246
2019-09,41.3875,2.1151,Palau Reial,0.226
2019-10,41.3853,2.1538,Eixample,0.360
2019-10,41.3987,2.1534,Gràcia,0.443
2019-10,41.4261,2.148,Vall Hebron,0.273
2019-10,41.3875,2.1151,Palau Reial,0.264
2019-11,41.3853,2.1538,Eixample,0.344
2019-11,41.3987,2.1534,Gràcia,0.382
2019-11,41.4261,2.148,Vall Hebron,0.391
2019-11,41.3875,2.1151,Palau Reial,0.229
2019-12,41.3853,2.1538,Eixample,0.339
2019-12,41.3987,2.1534,Gràcia,0.430
2019-12,41.4261,2.148,Vall Hebron,0.380
2019-12,41.3875,2.1151,Palau Reial,0.387
2020-01,41.3853,2.1538,Eixample,0.352
2020-01,41.3987,2.1534,Gràcia,0.509
2020-01,41.4261,2.148,Vall Hebron,0.437
2020-01,41.3875,2.1151,Palau Reial,0.518
2020-02,41.3853,2.1538,Eixample,0.298
2020-02,41.3987,2.1534,Gràcia,0.493
2020-02,41.4261,2.148,Vall Hebron,0.367
2020-02,41.3875,2.1151,Palau Reial,0.325
2020-03,41.3853,2.1538,Eixample,0.231
2020-03,41.3987,2.1534,Gràcia,0.298
2020-03,41.4261,2.148,Vall Hebron,0.297
2020-03,41.3875,2.1151,Palau Reial,0.260
2020-04,41.3853,2.1538,Eixample,0.204
2020-04,41.3987,2.1534,Gràcia,0.231
2020-04,41.4261,2.148,Vall Hebron,0.279
2020-04,41.3875,2.1151,Palau Reial,0.332
2020-05,41.3853,2.1538,Eixample,0.220
2020-05,41.3987,2.1534,Gràcia,0.250
2020-05,41.4261,2.148,Vall Hebron,0.214
2020-05,41.3875,2.1151,Palau Reial,0.281
2020-06,41.3853,2.1538,Eixample,0.258
2020-06,41.3987,2.1534,Gràcia,0.263
2020-06,41.4261,2.148,Vall Hebron,0.210
2020-06,41.3875,2.1151,Palau Reial,0.234
2020-07,41.3853,2.1538,Eixample,0.268
2020-07,41.3987,2.1534,Gràcia,0.262
2020-07,41.4261,2.148,Vall Hebron,0.210
2020-07,41.3875,2.1151,Palau Reial,0.212
2020-08,41.3853,2.1538,Eixample,0.222
2020-08,41.3987,2.1534,Gràcia,0.240
2020-08,41.4261,2.148,Vall Hebron,0.222
2020-08,41.3875,2.1151,Palau Reial,0.332
2020-09,41.3853,2.1538,Eixample,0.287
2020-09,41.3987,2.1534,Gràcia,0.338
2020-09,41.4261,2.148,Vall Hebron,0.261
2020-09,41.3875,2.1151,Palau Reial,0.204
2020-10,41.3853,2.1538,Eixample,0.295
2020-10,41.3987,2.1534,Gràcia,0.355
2020-10,41.4261,2.148,Vall Hebron,0.225
2020-10,41.3875,2.1151,Palau Reial,0.265
2020-11,41.3853,2.1538,Eixample,0.389
2020-11,41.3987,2.1534,Gràcia,0.415
2020-11,41.4261,2.148,Vall Hebron,0.299
2020-11,41.3875,2.1151,Palau Reial,0.275
