Datum,Lat,Long,Ort,Durchschnitt
2019-04-02,41.3853,2.1538,Eixample,0.200
2019-04-03,41.3853,2.1538,Eixample,0.725
2019-04-04,41.3853,2.1538,Eixample,0.462
2019-04-05,41.3853,2.1538,Eixample,0.529
2019-04-06,41.3853,2.1538,Eixample,0.258
2019-04-07,41.3853,2.1538,Eixample,0.242
2019-04-08,41.3853,2.1538,Eixample,0.514
2019-04-09,41.3853,2.1538,Eixample,0.404
2019-04-10,41.3853,2.1538,Eixample,0.371
2019-04-11,41.3853,2.1538,Eixample,0.404
2019-04-12,41.3853,2.1538,Eixample,0.421
2019-04-13,41.3853,2.1538,Eixample,0.262
2019-04-14,41.3853,2.1538,Eixample,0.283
2019-04-15,41.3853,2.1538,Eixample,0.367
2019-04-16,41.3853,2.1538,Eixample,0.454
2019-04-17,41.3853,2.1538,Eixample,0.438
2019-04-18,41.3853,2.1538,Eixample,0.300
2019-04-19,41.3853,2.1538,Eixample,0.204
2019-04-20,41.3853,2.1538,Eixample,0.221
2019-04-21,41.3853,2.1538,Eixample,0.213
2019-04-22,41.3853,2.1538,Eixample,0.217
2019-04-23,41.3853,2.1538,Eixample,0.480
2019-04-24,41.3853,2.1538,Eixample,0.342
2019-04-25,41.3853,2.1538,Eixample,0.387
2019-04-26,41.3853,2.1538,Eixample,0.362
2019-04-27,41.3853,2.1538,Eixample,0.283
2019-04-28,41.3853,2.1538,Eixample,0.257
2019-04-29,41.3853,2.1538,Eixample,0.429
2019-04-30,41.3853,2.1538,Eixample,0.388
2019-04-02,41.3987,2.1534,Gràcia,0.433
2019-04-03,41.3987,2.1534,Gràcia,0.346
2019-04-04,41.3987,2.1534,Gràcia,0.321
2019-04-05,41.3987,2.1534,Gràcia,0.383
2019-04-06,41.3987,2.1534,Gràcia,0.258
2019-04-07,41.3987,2.1534,Gràcia,0.258
2019-04-08,41.3987,2.1534,Gràcia,0.354
2019-04-09,41.3987,2.1534,Gràcia,0.396
2019-04-10,41.3987,2.1534,Gràcia,0.448
2019-04-11,41.3987,2.1534,Gràcia,0.425
2019-04-12,41.3987,2.1534,Gràcia,0.450
2019-04-13,41.3987,2.1534,Gràcia,0.342
2019-04-14,41.3987,2.1534,Gràcia,0.308
2019-04-15,41.3987,2.1534,Gràcia,0.388
2019-04-16,41.3987,2.1534,Gràcia,0.400
2019-04-17,41.3987,2.1534,Gràcia,0.392
2019-04-18,41.3987,2.1534,Gràcia,0.283
2019-04-19,41.3987,2.1534,Gràcia,0.217
2019-04-20,41.3987,2.1534,Gràcia,0.204
2019-04-21,41.3987,2.1534,Gràcia,0.200
2019-04-22,41.3987,2.1534,Gràcia,0.213
