Jahr,Wochennummer,Lat,Long,Ort,Durchschnitt
2019,14,41.3853,2.1538,Eixample,0.403
2019,15,41.3853,2.1538,Eixample,0.380
2019,16,41.3853,2.1538,Eixample,0.314
2019,17,41.3853,2.1538,Eixample,0.333
2019,18,41.3853,2.1538,Eixample,0.354
2019,14,41.3987,2.1534,Gràcia,0.333
2019,15,41.3987,2.1534,Gràcia,0.389
2019,16,41.3987,2.1534,Gràcia,0.298
2019,17,41.3987,2.1534,Gràcia,0.319
2019,18,41.3987,2.1534,Gràcia,0.318
2019,14,41.4261,2.148,Vall Hebron,0.272
2019,15,41.4261,2.148,Vall Hebron,0.277
2019,16,41.4261,2.148,Vall Hebron,0.271
2019,17,41.4261,2.148,Vall Hebron,0.224
2019,18,41.4261,2.148,Vall Hebron,0.229
2019,14,41.3875,2.1151,Palau Reial,0.239
2019,15,41.3875,2.1151,Palau Reial,0.400
2019,16,41.3875,2.1151,Palau Reial,0.300
2019,17,41.3875,2.1151,Palau Reial,0.216
2019,18,41.3875,2.1151,Palau Reial,0.236
2019,19,41.3853,2.1538,Eixample,0.354
2019,20,41.3853,2.1538,Eixample,0.362
2019,21,41.3853,2.1538,Eixample,0.409
2019,22,41.3853,2.1538,Eixample,0.392
2019,19,41.3987,2.1534,Gràcia,0.301
2019,20,41.3987,2.1534,Gràcia,0.351
2019,21,41.3987,2.1534,Gràcia,0.411
2019,22,41.3987,2.1534,Gràcia,0.335
2019,19,41.4261,2.148,Vall Hebron,0.240
2019,20,41.4261,2.148,Vall Hebron,0.240
2019,21,41.4261,2.148,Vall Hebron,0.269
2019,22,41.4261,2.148,Vall Hebron,0.229
2019,19,41.3875,2.1151,Palau Reial,0.233
2019,20,41.3875,2.1151,Palau Reial,0.262
2019,21,41.3875,2.1151,Palau Reial,0.255
2019,22,41.3875,2.1151,Palau Reial,0.233
2019,23,41.3853,2.1538,Eixample,0.339
2019,24,41.3853,2.1538,Eixample,0.302
2019,25,41.3853,2.1538,Eixample,0.306
2019,26,41.3853,2.1538,Eixample,0.293
2019,23,41.3987,2.1534,Gràcia,0.301
2019,24,41.3987,2.1534,Gràcia,0.297
2019,25,41.3987,2.1534,Gràcia,0.347
2019,26,41.3987,2.1534,Gràcia,0.405
2019,23,41.4261,2.148,Vall Hebron,0.232
2019,24,41.4261,2.148,Vall Hebron,0.225
2019,25,41.4261,2.148,Vall Hebron,0.235
2019,26,41.4261,2.148,Vall Hebron,0.254
2019,23,41.3875,2.1151,Palau Reial,0.233
2019,24,41.3875,2.1151,Palau Reial,0.213
2019,25,41.3875,2.1151,Palau Reial,0.228
2019,26,41.3875,2.1151,Palau Reial,0.338
2019,27,41.3853,2.1538,Eixample,0.361
2019,28,41.3853,2.1538,Eixample,0.340
2019,29,41.3853,2.1538,Eixample,0.326
2019,30,41.3853,2.1538,Eixample,0.359
2019,31,41.3853,2.1538,Eixample,0.281
2019,27,41.3987,2.1534,Gràcia,0.366
2019,28,41.3987,2.1534,Gràcia,0.325
2019,29,41.3987,2.1534,Gràcia,0.300
2019,30,41.3987,2.1534,Gràcia,0.409
2019,31,41.3987,2.1534,Gràcia,0.302
2019,27,41.4261,2.148,Vall Hebron,0.214
2019,28,41.4261,2.148,Vall Hebron,0.225
2019,29,41.4261,2.148,Vall Hebron,0.208
2019,30,41.4261,2.148,Vall Hebron,0.289
2019,31,41.4261,2.148,Vall Hebron,0.219
2019,27,41.3875,2.1151,Palau Reial,0.228
2019,28,41.3875,2.1151,Palau Reial,0.232
2019,29,41.3875,2.1151,Palau Reial,0.263
2019,30,41.3875,2.1151,Palau Reial,0.244
2019,31,41.3875,2.1151,Palau Reial,0.220
2019,32,41.3853,2.1538,Eixample,0.235
2019,33,41.3853,2.1538,Eixample,0.223
2019,34,41.3853,2.1538,Eixample,0.235
2019,35,41.3853,2.1538,Eixample,0.305
2019,32,41.3987,2.1534,Gràcia,0.272
2019,33,41.3987,2.1534,Gràcia,0.237
2019,34,41.3987,2.1534,Gràcia,0.280
2019,35,41.3987,2.1534,Gràcia,0.349
2019,32,41.4261,2.148,Vall Hebron,0.227
2019,33,41.4261,2.148,Vall Hebron,0.203
2019,34,41.4261,2.148,Vall Hebron,0.211
2019,35,41.4261,2.148,Vall Hebron,0.221
2019,32,41.3875,2.1151,Palau Reial,0.200
2019,33,41.3875,2.1151,Palau Reial,0.200
2019,34,41.3875,2.1151,Palau Reial,0.200
2019,35,41.3875,2.1151,Palau Reial,0.200
2019,36,41.3853,2.1538,Eixample,0.295
2019,37,41.3853,2.1538,Eixample,0.329
2019,38,41.3853,2.1538,Eixample,0.362
2019,39,41.3853,2.1538,Eixample,0.315
2019,40,41.3853,2.1538,Eixample,0.314
2019,36,41.3987,2.1534,Gràcia,0.345
2019,37,41.3987,2.1534,Gràcia,0.338
2019,38,41.3987,2.1534,Gràcia,0.458
2019,39,41.3987,2.1534,Gràcia,0.354
2019,40,41.3987,2.1534,Gràcia,0.368
2019,36,41.4261,2.148,Vall Hebron,0.215
2019,37,41.4261,2.148,Vall Hebron,0.222
2019,38,41.4261,2.148,Vall Hebron,0.293
2019,39,41.4261,2.148,Vall Hebron,0.264
2019,40,41.4261,2.148,Vall Hebron,0.268
2019,36,41.3875,2.1151,Palau Reial,0.237
2019,37,41.3875,2.1151,Palau Reial,0.216
2019,38,41.3875,2.1151,Palau Reial,0.246
2019,39,41.3875,2.1151,Palau Reial,0.210
2019,40,41.3875,2.1151,Palau Reial,0.223
2019,41,41.3853,2.1538,Eixample,0.328
2019,42,41.3853,2.1538,Eixample,0.360
2019,43,41.3853,2.1538,Eixample,0.397
2019,44,41.3853,2.1538,Eixample,0.330
2019,41,41.3987,2.1534,Gràcia,0.380
2019,42,41.3987,2.1534,Gràcia,0.436
2019,43,41.3987,2.1534,Gràcia,0.422
2019,44,41.3987,2.1534,Gràcia,0.552
2019,41,41.4261,2.148,Vall Hebron,0.264
2019,42,41.4261,2.148,Vall Hebron,0.227
2019,43,41.4261,2.148,Vall Hebron,0.265
2019,44,41.4261,2.148,Vall Hebron,0.339
2019,41,41.3875,2.1151,Palau Reial,0.221
2019,42,41.3875,2.1151,Palau Reial,0.321
2019,43,41.3875,2.1151,Palau Reial,0.255
2019,44,41.3875,2.1151,Palau Reial,0.309
2019,45,41.3853,2.1538,Eixample,0.295
2019,46,41.3853,2.1538,Eixample,0.336
2019,47,41.3853,2.1538,Eixample,0.392
2019,48,41.3853,2.1538,Eixample,0.388
2019,45,41.3987,2.1534,Gràcia,0.289
2019,46,41.3987,2.1534,Gràcia,0.366
2019,47,41.3987,2.1534,Gràcia,0.416
2019,48,41.3987,2.1534,Gràcia,0.476
2019,45,41.4261,2.148,Vall Hebron,0.287
2019,46,41.4261,2.148,Vall Hebron,0.410
2019,47,41.4261,2.148,Vall Hebron,0.461
2019,48,41.4261,2.148,Vall Hebron,0.472
2019,45,41.3875,2.1151,Palau Reial,0.232
2019,46,41.3875,2.1151,Palau Reial,0.266
2019,47,41.3875,2.1151,Palau Reial,0.200
2019,48,41.3875,2.1151,Palau Reial,0.200
2019,49,41.3853,2.1538,Eixample,0.369
2019,50,41.3853,2.1538,Eixample,0.298
2019,51,41.3853,2.1538,Eixample,0.451
2019,52,41.3853,2.1538,Eixample,0.291
2019,1,41.3853,2.1538,Eixample,0.255
2019,49,41.3987,2.1534,Gràcia,0.393
2019,50,41.3987,2.1534,Gràcia,0.355
2019,51,41.3987,2.1534,Gràcia,0.482
2019,52,41.3987,2.1534,Gràcia,0.501
2019,1,41.3987,2.1534,Gràcia,0.402
2019,49,41.4261,2.148,Vall Hebron,0.432
2019,50,41.4261,2.148,Vall Hebron,0.356
2019,51,41.4261,2.148,Vall Hebron,0.351
2019,52,41.4261,2.148,Vall Hebron,0.368
2019,1,41.4261,2.148,Vall Hebron,0.419
2019,49,41.3875,2.1151,Palau Reial,0.373
2019,50,41.3875,2.1151,Palau Reial,0.280
2019,51,41.3875,2.1151,Palau Reial,0.551
2019,52,41.3875,2.1151,Palau Reial,0.359
2019,1,41.3875,2.1151,Palau Reial,0.224
2020,1,41.3853,2.1538,Eixample,0.296
2020,2,41.3853,2.1538,Eixample,0.342
2020,3,41.3853,2.1538,Eixample,0.383
2020,4,41.3853,2.1538,Eixample,0.302
2020,5,41.3853,2.1538,Eixample,0.376
2020,1,41.3987,2.1534,Gràcia,0.514
2020,2,41.3987,2.1534,Gràcia,0.589
2020,3,41.3987,2.1534,Gràcia,0.453
2020,4,41.3987,2.1534,Gràcia,0.402
2020,5,41.3987,2.1534,Gràcia,0.571
2020,1,41.4261,2.148,Vall Hebron,0.452
2020,2,41.4261,2.148,Vall Hebron,0.524
2020,3,41.4261,2.148,Vall Hebron,0.391
2020,4,41.4261,2.148,Vall Hebron,0.355
2020,5,41.4261,2.148,Vall Hebron,0.429
2020,1,41.3875,2.1151,Palau Reial,0.522
2020,2,41.3875,2.1151,Palau Reial,0.392
2020,3,41.3875,2.1151,Palau Reial,0.345
2020,4,41.3875,2.1151,Palau Reial,0.884
2020,5,41.3875,2.1151,Palau Reial,0.576
2020,6,41.3853,2.1538,Eixample,0.355
2020,7,41.3853,2.1538,Eixample,0.265
2020,8,41.3853,2.1538,Eixample,0.322
2020,9,41.3853,2.1538,Eixample,0.253
2020,6,41.3987,2.1534,Gràcia,0.528
2020,7,41.3987,2.1534,Gràcia,0.441
2020,8,41.3987,2.1534,Gràcia,0.523
2020,9,41.3987,2.1534,Gràcia,0.428
2020,6,41.4261,2.148,Vall Hebron,0.434
2020,7,41.4261,2.148,Vall Hebron,0.332
2020,8,41.4261,2.148,Vall Hebron,0.356
2020,9,41.4261,2.148,Vall Hebron,0.331
2020,6,41.3875,2.1151,Palau Reial,0.320
2020,7,41.3875,2.1151,Palau Reial,0.287
2020,8,41.3875,2.1151,Palau Reial,0.322
2020,9,41.3875,2.1151,Palau Reial,0.274
2020,10,41.3853,2.1538,Eixample,0.281
2020,11,41.3853,2.1538,Eixample,0.250
2020,12,41.3853,2.1538,Eixample,0.204
2020,13,41.3853,2.1538,Eixample,0.200
2020,14,41.3853,2.1538,Eixample,0.206
2020,10,41.3987,2.1534,Gràcia,0.312
2020,11,41.3987,2.1534,Gràcia,0.434
2020,12,41.3987,2.1534,Gràcia,0.232
2020,13,41.3987,2.1534,Gràcia,0.239
2020,14,41.3987,2.1534,Gràcia,0.244
2020,10,41.4261,2.148,Vall Hebron,0.361
2020,11,41.4261,2.148,Vall Hebron,0.328
2020,12,41.4261,2.148,Vall Hebron,0.228
2020,13,41.4261,2.148,Vall Hebron,0.268
2020,14,41.4261,2.148,Vall Hebron,0.305
2020,10,41.3875,2.1151,Palau Reial,0.227
2020,11,41.3875,2.1151,Palau Reial,0.237
2020,12,41.3875,2.1151,Palau Reial,0.297
2020,13,41.3875,2.1151,Palau Reial,0.305
2020,14,41.3875,2.1151,Palau Reial,0.368
2020,15,41.3853,2.1538,Eixample,0.206
2020,16,41.3853,2.1538,Eixample,0.202
2020,17,41.3853,2.1538,Eixample,0.201
2020,18,41.3853,2.1538,Eixample,0.200
2020,15,41.3987,2.1534,Gràcia,0.248
2020,16,41.3987,2.1534,Gràcia,0.213
2020,17,41.3987,2.1534,Gràcia,0.235
2020,18,41.3987,2.1534,Gràcia,0.204
2020,15,41.4261,2.148,Vall Hebron,0.323
2020,16,41.4261,2.148,Vall Hebron,0.307
2020,17,41.4261,2.148,Vall Hebron,0.229
2020,18,41.4261,2.148,Vall Hebron,0.205
