Datum,Faelle,Tote,FaelleSumme,ToteSumme
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,2,0,2,0
2020-03-02,7,0,9,0
2020-03-03,13,0,22,0
2020-03-04,9,0,31,0
2020-03-05,18,0,49,0
2020-03-06,14,0,63,0
2020-03-07,13,2,76,2
2020-03-08,8,5,84,7
2020-03-09,97,5,181,12
2020-03-10,169,6,350,18
2020-03-11,210,10,560,28
2020-03-12,363,18,923,46
2020-03-13,557,30,1480,76
2020-03-14,407,45,1887,121
2020-03-15,532,46,2419,167
2020-03-16,1353,46,3772,213
2020-03-17,1176,58,4948,271
2020-03-18,1396,82,6344,353
2020-03-19,1498,88,7842,441
2020-03-20,1713,109,9555,550
2020-03-21,1120,123,10675,673
2020-03-22,1028,155,11703,828
2020-03-23,2378,207,14081,1035
2020-03-24,2001,234,16082,1269
2020-03-25,1915,270,17997,1539
2020-03-26,1906,308,19903,1847
2020-03-27,1709,342,21612,2189
2020-03-28,1192,333,22804,2522
2020-03-29,1059,351,23863,2873
2020-03-30,2067,416,25930,3289
2020-03-31,1595,395,27525,3684
2020-04-01,1680,357,29205,4041
2020-04-02,1486,393,30691,4434
2020-04-03,1550,386,32241,4820
2020-04-04,902,354,33143,5174
2020-04-05,696,347,33839,5521
2020-04-06,1542,349,35381,5870
2020-04-07,1370,366,36751,6236
2020-04-08,1505,344,38256,6580
2020-04-09,1615,363,39871,6943
2020-04-10,1255,318,41126,7261
2020-04-11,915,320,42041,7581
2020-04-12,620,304,42661,7885
2020-04-13,989,258,43650,8143
2020-04-14,1386,270,45036,8413
2020-04-15,1474,257,46510,8670
2020-04-16,1358,242,47868,8912
2020-04-17,1872,251,49740,9163
2020-04-18,899,206,50639,9369
2020-04-19,515,203,51154,9572
2020-04-20,1176,191,52330,9763
2020-04-21,1141,197,53471,9960
2020-04-22,1263,149,54734,10109
2020-04-23,1013,134,55747,10243
2020-04-24,933,148,56680,10391
2020-04-25,429,134,57109,10525
2020-04-26,328,128,57437,10653
2020-04-27,581,115,58018,10768
2020-04-28,655,128,58673,10896
2020-04-29,785,105,59458,11001
2020-04-30,560,96,60018,11097
2020-05-01,434,90,60452,11187
2020-05-02,276,94,60728,11281
2020-05-03,112,88,60840,11369
2020-05-04,491,85,61331,11454
2020-05-05,627,89,61958,11543
2020-05-06,631,82,62589,11625
2020-05-07,393,82,62982,11707
2020-05-08,398,52,63380,11759
2020-05-09,182,41,63562,11800
2020-05-10,103,50,63665,11850
2020-05-11,310,52,63975,11902
2020-05-12,380,39,64355,11941
2020-05-13,324,33,64679,11974
2020-05-14,324,27,65003,12001
2020-05-15,286,39,65289,12040
2020-05-16,167,25,65456,12065
2020-05-17,68,25,65524,12090
2020-05-18,286,15,65810,12105
2020-05-19,343,30,66153,12135
2020-05-20,321,31,66474,12166
2020-05-21,445,26,66919,12192
2020-05-22,410,22,67329,12214
2020-05-23,129,28,67458,12242
2020-05-24,209,19,67667,12261
2020-05-25,318,19,67985,12280
2020-05-26,377,17,68362,12297
2020-05-27,684,15,69046,12312
2020-05-28,389,14,69435,12326
2020-05-29,333,19,69768,12345
2020-05-30,200,10,69968,12355
2020-05-31,68,18,70036,12373
2020-06-01,96,9,70132,12382
2020-06-02,220,10,70352,12392
2020-06-03,216,17,70568,12409
2020-06-04,225,9,70793,12418
2020-06-05,263,8,71056,12426
2020-06-06,142,10,71198,12436
2020-06-07,59,9,71257,12445
2020-06-08,204,15,71461,12460
2020-06-09,160,3,71621,12463
2020-06-10,208,6,71829,12469
2020-06-11,192,7,72021,12476
2020-06-12,206,4,72227,12480
2020-06-13,84,6,72311,12486
2020-06-14,38,10,72349,12496
2020-06-15,146,12,72495,12508
2020-06-16,179,4,72674,12512
2020-06-17,134,4,72808,12516
2020-06-18,182,4,72990,12520
2020-06-19,139,4,73129,12524
2020-06-20,63,7,73192,12531
2020-06-21,46,3,73238,12534
2020-06-22,133,6,73371,12540
2020-06-23,182,3,73553,12543
2020-06-24,75,1,73628,12544
2020-06-25,195,4,73823,12548
2020-06-26,248,4,74071,12552
2020-06-27,98,3,74169,12555
2020-06-28,65,1,74234,12556
2020-06-29,249,2,74483,12558
2020-06-30,283,7,74766,12565
2020-07-01,429,6,75195,12571
2020-07-02,381,3,75576,12574
2020-07-03,406,5,75982,12579
2020-07-04,159,4,76141,12583
2020-07-05,129,0,76270,12583
2020-07-06,477,2,76747,12585
2020-07-07,614,6,77361,12591
2020-07-08,732,4,78093,12595
2020-07-09,750,2,78843,12597
2020-07-10,853,2,79696,12599
2020-07-11,334,4,80030,12603
2020-07-12,238,4,80268,12607
2020-07-13,1204,2,81472,12609
2020-07-14,1275,3,82747,12612
2020-07-15,1527,3,84274,12615
2020-07-16,1444,2,85718,12617
2020-07-17,1518,3,87236,12620
2020-07-18,632,3,87868,12623
2020-07-19,397,4,88265,12627
2020-07-20,1588,10,89853,12637
2020-07-21,1590,9,91443,12646
2020-07-22,1497,5,92940,12651
2020-07-23,1549,5,94489,12656
2020-07-24,1398,6,95887,12662
2020-07-25,535,12,96422,12674
2020-07-26,373,10,96795,12684
2020-07-27,1454,11,98249,12695
2020-07-28,1522,10,99771,12705
2020-07-29,1498,8,101269,12713
2020-07-30,1354,15,102623,12728
2020-07-31,1385,10,104008,12738
2020-08-01,505,10,104513,12748
2020-08-02,349,7,104862,12755
2020-08-03,1284,8,106146,12763
2020-08-04,1240,12,107386,12775
2020-08-05,1181,6,108567,12781
2020-08-06,1158,10,109725,12791
2020-08-07,1292,7,111017,12798
2020-08-08,571,4,111588,12802
2020-08-09,398,8,111986,12810
2020-08-10,1284,13,113270,12823
2020-08-11,1220,11,114490,12834
2020-08-12,1184,8,115674,12842
2020-08-13,1281,9,116955,12851
2020-08-14,1263,13,118218,12864
2020-08-15,547,8,118765,12872
2020-08-16,463,6,119228,12878
2020-08-17,1345,9,120573,12887
2020-08-18,1361,10,121934,12897
2020-08-19,1400,12,123334,12909
2020-08-20,1399,12,124733,12921
2020-08-21,1471,5,126204,12926
2020-08-22,607,8,126811,12934
2020-08-23,485,12,127296,12946
2020-08-24,1601,16,128897,12962
2020-08-25,1440,7,130337,12969
2020-08-26,1563,10,131900,12979
2020-08-27,1390,12,133290,12991
2020-08-28,1412,11,134702,13002
2020-08-29,608,6,135310,13008
2020-08-30,519,11,135829,13019
2020-08-31,1388,8,137217,13027
2020-09-01,1353,15,138570,13042
2020-09-02,1313,9,139883,13051
2020-09-03,1373,13,141256,13064
2020-09-04,1485,12,142741,13076
2020-09-05,592,10,143333,13086
2020-09-06,426,10,143759,13096
2020-09-07,1367,9,145126,13105
2020-09-08,1232,9,146358,13114
2020-09-09,1247,13,147605,13127
2020-09-10,1393,14,148998,13141
2020-09-11,550,7,149548,13148
2020-09-12,675,5,150223,13153
2020-09-13,494,8,150717,13161
2020-09-14,1538,16,152255,13177
2020-09-15,1468,10,153723,13187
2020-09-16,1512,14,155235,13201
2020-09-17,1410,12,156645,13213
2020-09-18,1434,8,158079,13221
2020-09-19,599,12,158678,13233
2020-09-20,542,7,159220,13240
2020-09-21,1616,15,160836,13255
2020-09-22,1353,4,162189,13259
2020-09-23,1413,9,163602,13268
2020-09-24,998,16,164600,13284
2020-09-25,1362,13,165962,13297
2020-09-26,595,5,166557,13302
2020-09-27,452,18,167009,13320
2020-09-28,1709,10,168718,13330
2020-09-29,1606,19,170324,13349
2020-09-30,1562,18,171886,13367
2020-10-01,1667,12,173553,13379
2020-10-02,1969,11,175522,13390
2020-10-03,777,7,176299,13397
2020-10-04,650,15,176949,13412
2020-10-05,2231,12,179180,13424
2020-10-06,2196,18,181376,13442
2020-10-07,2300,9,183676,13451
2020-10-08,2685,14,186361,13465
2020-10-09,3060,21,189421,13486
2020-10-10,1248,20,190669,13506
2020-10-11,1178,21,191847,13527
2020-10-12,1344,18,193191,13545
2020-10-13,3850,15,197041,13560
