Ort,Datum,Wert
Poblenou,2020-01-01 01,3
Poblenou,2020-01-01 02,3
Poblenou,2020-01-01 03,2
Poblenou,2020-01-01 04,1
Poblenou,2020-01-01 05,2
Poblenou,2020-01-01 06,6
Poblenou,2020-01-01 07,12
Poblenou,2020-01-01 08,20
Poblenou,2020-01-01 09,22
Poblenou,2020-01-01 10,17
Poblenou,2020-01-01 11,15
Poblenou,2020-01-01 12,13
Poblenou,2020-01-01 13,11
Poblenou,2020-01-01 14,9
Poblenou,2020-01-01 15,8
Poblenou,2020-01-01 16,5
Poblenou,2020-01-01 17,2
Poblenou,2020-01-01 18,1
Poblenou,2020-01-01 19,1
Poblenou,2020-01-01 20,18
Poblenou,2020-01-01 21,40
Poblenou,2020-01-01 22,44
Poblenou,2020-01-01 23,31
Poblenou,2020-01-01 24,33
Poblenou,2020-01-02 01,13
Poblenou,2020-01-02 02,7
Poblenou,2020-01-02 03,6
Poblenou,2020-01-02 04,6
Poblenou,2020-01-02 05,5
Poblenou,2020-01-02 06,18
Poblenou,2020-01-02 07,39
Poblenou,2020-01-02 08,63
Poblenou,2020-01-02 09,74
Poblenou,2020-01-02 10,71
Poblenou,2020-01-02 11,91
Poblenou,2020-01-02 12,90
Poblenou,2020-01-02 13,37
Poblenou,2020-01-02 14,14
Poblenou,2020-01-02 15,11
Poblenou,2020-01-02 16,9
Poblenou,2020-01-02 17,11
Poblenou,2020-01-02 18,12
Poblenou,2020-01-02 19,20
Poblenou,2020-01-02 20,18
Poblenou,2020-01-02 21,10
Poblenou,2020-01-02 22,3
Poblenou,2020-01-02 23,57
Poblenou,2020-01-02 24,NA
Poblenou,2020-01-03 01,33
Poblenou,2020-01-03 02,13
Poblenou,2020-01-03 03,16
Poblenou,2020-01-03 04,3
Poblenou,2020-01-03 05,1
Poblenou,2020-01-03 06,4
Poblenou,2020-01-03 07,22
Poblenou,2020-01-03 08,32
Poblenou,2020-01-03 09,25
Poblenou,2020-01-03 10,18
Poblenou,2020-01-03 11,17
Poblenou,2020-01-03 12,20
Poblenou,2020-01-03 13,19
Poblenou,2020-01-03 14,23
Poblenou,2020-01-03 15,14
Poblenou,2020-01-03 16,9
Poblenou,2020-01-03 17,16
Poblenou,2020-01-03 18,20
Poblenou,2020-01-03 19,59
Poblenou,2020-01-03 20,56
Poblenou,2020-01-03 21,46
Poblenou,2020-01-03 22,40
Poblenou,2020-01-03 23,32
Poblenou,2020-01-03 24,NA
Poblenou,2020-01-04 01,12
Poblenou,2020-01-04 02,11
Poblenou,2020-01-04 03,10
Poblenou,2020-01-04 04,6
Poblenou,2020-01-04 05,4
Poblenou,2020-01-04 06,5
Poblenou,2020-01-04 07,18
Poblenou,2020-01-04 08,36
Poblenou,2020-01-04 09,43
Poblenou,2020-01-04 10,38
Poblenou,2020-01-04 11,38
Poblenou,2020-01-04 12,50
Poblenou,2020-01-04 13,31
Poblenou,2020-01-04 14,21
Poblenou,2020-01-04 15,17
Poblenou,2020-01-04 16,25
Poblenou,2020-01-04 17,24
Poblenou,2020-01-04 18,14
Poblenou,2020-01-04 19,10
Poblenou,2020-01-04 20,5
Poblenou,2020-01-04 21,7
Poblenou,2020-01-04 22,2
Poblenou,2020-01-04 23,3
Poblenou,2020-01-04 24,NA
Poblenou,2020-01-05 01,1
Poblenou,2020-01-05 02,1
Poblenou,2020-01-05 03,2
Poblenou,2020-01-05 04,2
Poblenou,2020-01-05 05,1
Poblenou,2020-01-05 06,1
Poblenou,2020-01-05 07,1
Poblenou,2020-01-05 08,2
Poblenou,2020-01-05 09,5
Poblenou,2020-01-05 10,6
Poblenou,2020-01-05 11,11
Poblenou,2020-01-05 12,13
Poblenou,2020-01-05 13,11
Poblenou,2020-01-05 14,12
Poblenou,2020-01-05 15,8
Poblenou,2020-01-05 16,4
Poblenou,2020-01-05 17,3
Poblenou,2020-01-05 18,5
Poblenou,2020-01-05 19,31
Poblenou,2020-01-05 20,73
Poblenou,2020-01-05 21,53
Poblenou,2020-01-05 22,33
Poblenou,2020-01-05 23,29
Poblenou,2020-01-05 24,25
Poblenou,2020-01-06 01,30
Poblenou,2020-01-06 02,27
Poblenou,2020-01-06 03,18
Poblenou,2020-01-06 04,10
Poblenou,2020-01-06 05,5
Poblenou,2020-01-06 06,5
Poblenou,2020-01-06 07,16
Poblenou,2020-01-06 08,10
Poblenou,2020-01-06 09,13
Poblenou,2020-01-06 10,16
Poblenou,2020-01-06 11,15
Poblenou,2020-01-06 12,16
Poblenou,2020-01-06 13,14
Poblenou,2020-01-06 14,9
Poblenou,2020-01-06 15,3
Poblenou,2020-01-06 16,2
Poblenou,2020-01-06 17,1
Poblenou,2020-01-06 18,7
Poblenou,2020-01-06 19,43
Poblenou,2020-01-06 20,90
Poblenou,2020-01-06 21,125
Poblenou,2020-01-06 22,60
Poblenou,2020-01-06 23,70
Poblenou,2020-01-06 24,NA
Poblenou,2020-01-07 01,19
Poblenou,2020-01-07 02,16
Poblenou,2020-01-07 03,16
Poblenou,2020-01-07 04,8
Poblenou,2020-01-07 05,3
Poblenou,2020-01-07 06,5
Poblenou,2020-01-07 07,20
Poblenou,2020-01-07 08,55
Poblenou,2020-01-07 09,77
Poblenou,2020-01-07 10,53
Poblenou,2020-01-07 11,68
Poblenou,2020-01-07 12,53
Poblenou,2020-01-07 13,59
Poblenou,2020-01-07 14,87
Poblenou,2020-01-07 15,37
Poblenou,2020-01-07 16,46
Poblenou,2020-01-07 17,27
Poblenou,2020-01-07 18,68
Poblenou,2020-01-07 19,103
Poblenou,2020-01-07 20,90
Poblenou,2020-01-07 21,72
Poblenou,2020-01-07 22,46
Poblenou,2020-01-07 23,33
Poblenou,2020-01-07 24,NA
Poblenou,2020-01-08 01,18
Poblenou,2020-01-08 02,10
Poblenou,2020-01-08 03,11
Poblenou,2020-01-08 04,30
Poblenou,2020-01-08 05,38
Poblenou,2020-01-08 06,50
Poblenou,2020-01-08 07,68
Poblenou,2020-01-08 08,94
Poblenou,2020-01-08 09,152
Poblenou,2020-01-08 10,175
Poblenou,2020-01-08 11,100
Poblenou,2020-01-08 12,123
Poblenou,2020-01-08 13,100
Poblenou,2020-01-08 14,54
Poblenou,2020-01-08 15,9
Poblenou,2020-01-08 16,8
Poblenou,2020-01-08 17,6
Poblenou,2020-01-08 18,12
Poblenou,2020-01-08 19,15
Poblenou,2020-01-08 20,115
Poblenou,2020-01-08 21,113
Poblenou,2020-01-08 22,107
Poblenou,2020-01-08 23,100
Poblenou,2020-01-08 24,NA
Poblenou,2020-01-09 01,86
Poblenou,2020-01-09 02,64
Poblenou,2020-01-09 03,63
Poblenou,2020-01-09 04,44
Poblenou,2020-01-09 05,41
Poblenou,2020-01-09 06,40
Poblenou,2020-01-09 07,62
Poblenou,2020-01-09 08,108
Poblenou,2020-01-09 09,154
Poblenou,2020-01-09 10,186
Poblenou,2020-01-09 11,196
Poblenou,2020-01-09 12,202
Poblenou,2020-01-09 13,30
Poblenou,2020-01-09 14,21
Poblenou,2020-01-09 15,9
Poblenou,2020-01-09 16,10
Poblenou,2020-01-09 17,12
Poblenou,2020-01-09 18,12
Poblenou,2020-01-09 19,11
Poblenou,2020-01-09 20,9
Poblenou,2020-01-09 21,8
Poblenou,2020-01-09 22,6
Poblenou,2020-01-09 23,4
Poblenou,2020-01-09 24,NA
Poblenou,2020-01-10 01,21
Poblenou,2020-01-10 02,5
Poblenou,2020-01-10 03,5
Poblenou,2020-01-10 04,3
Poblenou,2020-01-10 05,10
Poblenou,2020-01-10 06,4
Poblenou,2020-01-10 07,23
Poblenou,2020-01-10 08,52
Poblenou,2020-01-10 09,40
Poblenou,2020-01-10 10,13
Poblenou,2020-01-10 11,22
Poblenou,2020-01-10 12,17
Poblenou,2020-01-10 13,27
Poblenou,2020-01-10 14,22
Poblenou,2020-01-10 15,11
Poblenou,2020-01-10 16,10
Poblenou,2020-01-10 17,16
Poblenou,2020-01-10 18,47
Poblenou,2020-01-10 19,31
Poblenou,2020-01-10 20,25
Poblenou,2020-01-10 21,19
Poblenou,2020-01-10 22,19
Poblenou,2020-01-10 23,9
Poblenou,2020-01-10 24,NA
Poblenou,2020-01-11 01,20
Poblenou,2020-01-11 02,19
Poblenou,2020-01-11 03,8
Poblenou,2020-01-11 04,12
Poblenou,2020-01-11 05,2
Poblenou,2020-01-11 06,2
Poblenou,2020-01-11 07,2
Poblenou,2020-01-11 08,7
Poblenou,2020-01-11 09,6
Poblenou,2020-01-11 10,12
Poblenou,2020-01-11 11,8
Poblenou,2020-01-11 12,9
Poblenou,2020-01-11 13,16
Poblenou,2020-01-11 14,9
Poblenou,2020-01-11 15,5
Poblenou,2020-01-11 16,4
Poblenou,2020-01-11 17,3
Poblenou,2020-01-11 18,1
Poblenou,2020-01-11 19,34
Poblenou,2020-01-11 20,51
Poblenou,2020-01-11 21,27
Poblenou,2020-01-11 22,6
Poblenou,2020-01-11 23,3
Poblenou,2020-01-11 24,NA
Poblenou,2020-01-12 01,8
Poblenou,2020-01-12 02,5
Poblenou,2020-01-12 03,6
Poblenou,2020-01-12 04,7
Poblenou,2020-01-12 05,5
Poblenou,2020-01-12 06,8
Poblenou,2020-01-12 07,13
