Ort,Datum,Wert
Poblenou,2019-04-02 01,22
Poblenou,2019-04-02 02,37
Poblenou,2019-04-02 03,75
Poblenou,2019-04-02 04,57
Poblenou,2019-04-02 05,45
Poblenou,2019-04-02 06,57
Poblenou,2019-04-02 07,76
Poblenou,2019-04-02 08,80
Poblenou,2019-04-02 09,95
Poblenou,2019-04-02 10,108
Poblenou,2019-04-02 11,82
Poblenou,2019-04-02 12,62
Poblenou,2019-04-02 13,55
Poblenou,2019-04-02 14,48
Poblenou,2019-04-02 15,NA
Poblenou,2019-04-02 16,NA
Poblenou,2019-04-02 17,42
Poblenou,2019-04-02 18,42
Poblenou,2019-04-02 19,46
Poblenou,2019-04-02 20,72
Poblenou,2019-04-02 21,44
Poblenou,2019-04-02 22,21
Poblenou,2019-04-02 23,12
Poblenou,2019-04-02 24,9
Poblenou,2019-04-03 01,6
Poblenou,2019-04-03 02,9
Poblenou,2019-04-03 03,7
Poblenou,2019-04-03 04,5
Poblenou,2019-04-03 05,7
Poblenou,2019-04-03 06,10
Poblenou,2019-04-03 07,20
Poblenou,2019-04-03 08,31
Poblenou,2019-04-03 09,47
Poblenou,2019-04-03 10,38
Poblenou,2019-04-03 11,28
Poblenou,2019-04-03 12,36
Poblenou,2019-04-03 13,33
Poblenou,2019-04-03 14,32
Poblenou,2019-04-03 15,27
Poblenou,2019-04-03 16,24
Poblenou,2019-04-03 17,39
Poblenou,2019-04-03 18,37
Poblenou,2019-04-03 19,31
Poblenou,2019-04-03 20,31
Poblenou,2019-04-03 21,27
Poblenou,2019-04-03 22,28
Poblenou,2019-04-03 23,38
Poblenou,2019-04-03 24,40
Poblenou,2019-04-04 01,5
Poblenou,2019-04-04 02,5
Poblenou,2019-04-04 03,5
Poblenou,2019-04-04 04,10
Poblenou,2019-04-04 05,12
Poblenou,2019-04-04 06,17
Poblenou,2019-04-04 07,19
Poblenou,2019-04-04 08,35
Poblenou,2019-04-04 09,47
Poblenou,2019-04-04 10,43
Poblenou,2019-04-04 11,34
Poblenou,2019-04-04 12,26
Poblenou,2019-04-04 13,20
Poblenou,2019-04-04 14,29
Poblenou,2019-04-04 15,29
Poblenou,2019-04-04 16,23
Poblenou,2019-04-04 17,21
Poblenou,2019-04-04 18,20
Poblenou,2019-04-04 19,26
Poblenou,2019-04-04 20,27
Poblenou,2019-04-04 21,24
Poblenou,2019-04-04 22,26
Poblenou,2019-04-04 23,60
Poblenou,2019-04-04 24,66
Poblenou,2019-04-05 01,67
Poblenou,2019-04-05 02,57
Poblenou,2019-04-05 03,66
Poblenou,2019-04-05 04,55
Poblenou,2019-04-05 05,53
Poblenou,2019-04-05 06,55
Poblenou,2019-04-05 07,63
Poblenou,2019-04-05 08,71
Poblenou,2019-04-05 09,72
Poblenou,2019-04-05 10,75
Poblenou,2019-04-05 11,87
Poblenou,2019-04-05 12,76
Poblenou,2019-04-05 13,57
Poblenou,2019-04-05 14,23
Poblenou,2019-04-05 15,20
Poblenou,2019-04-05 16,23
Poblenou,2019-04-05 17,24
Poblenou,2019-04-05 18,32
Poblenou,2019-04-05 19,29
Poblenou,2019-04-05 20,26
Poblenou,2019-04-05 21,18
Poblenou,2019-04-05 22,18
Poblenou,2019-04-05 23,15
Poblenou,2019-04-05 24,16
Poblenou,2019-04-06 01,29
Poblenou,2019-04-06 02,24
Poblenou,2019-04-06 03,24
Poblenou,2019-04-06 04,20
Poblenou,2019-04-06 05,13
Poblenou,2019-04-06 06,11
Poblenou,2019-04-06 07,14
Poblenou,2019-04-06 08,16
Poblenou,2019-04-06 09,24
Poblenou,2019-04-06 10,25
Poblenou,2019-04-06 11,19
Poblenou,2019-04-06 12,19
Poblenou,2019-04-06 13,15
Poblenou,2019-04-06 14,19
Poblenou,2019-04-06 15,15
Poblenou,2019-04-06 16,16
Poblenou,2019-04-06 17,27
Poblenou,2019-04-06 18,29
Poblenou,2019-04-06 19,27
Poblenou,2019-04-06 20,28
Poblenou,2019-04-06 21,32
Poblenou,2019-04-06 22,44
Poblenou,2019-04-06 23,60
Poblenou,2019-04-06 24,74
Poblenou,2019-04-07 01,77
Poblenou,2019-04-07 02,56
