Monat,Lat,Long,Ort,Durchschnitt
2019-04,41.4039,2.2045,Poblenou,31.678
2019-04,41.3788,2.1331,Sants,29.296
2019-04,41.3853,2.1538,Eixample,43.389
2019-04,41.3987,2.1534,Gràcia,36.044
2019-04,41.3864,2.1874,Ciutadella,27.435
2019-04,41.4261,2.148,Vall Hebron,26.317
2019-04,41.3875,2.1151,Palau Reial,23.233
2019-05,41.4039,2.2045,Poblenou,33.935
2019-05,41.3788,2.1331,Sants,26.876
2019-05,41.3853,2.1538,Eixample,49.236
2019-05,41.3987,2.1534,Gràcia,40.542
2019-05,41.3864,2.1874,Ciutadella,31.345
2019-05,41.4261,2.148,Vall Hebron,28.734
2019-05,41.3875,2.1151,Palau Reial,24.841
2019-06,41.4039,2.2045,Poblenou,35.832
2019-06,41.3788,2.1331,Sants,30.124
2019-06,41.3853,2.1538,Eixample,47.614
2019-06,41.3987,2.1534,Gràcia,41.265
2019-06,41.3864,2.1874,Ciutadella,31.822
2019-06,41.4261,2.148,Vall Hebron,29.406
2019-06,41.3875,2.1151,Palau Reial,29.784
2019-07,41.4039,2.2045,Poblenou,34.227
2019-07,41.3788,2.1331,Sants,29.166
2019-07,41.3853,2.1538,Eixample,54.262
2019-07,41.3987,2.1534,Gràcia,45.888
2019-07,41.3864,2.1874,Ciutadella,30.655
2019-07,41.4261,2.148,Vall Hebron,31.309
2019-07,41.3875,2.1151,Palau Reial,28.735
2019-08,41.4039,2.2045,Poblenou,27.253
2019-08,41.3788,2.1331,Sants,17.035
2019-08,41.3853,2.1538,Eixample,39.057
2019-08,41.3987,2.1534,Gràcia,36.087
2019-08,41.3864,2.1874,Ciutadella,25.951
2019-08,41.4261,2.148,Vall Hebron,22.589
2019-08,41.3875,2.1151,Palau Reial,19.824
2019-09,41.4039,2.2045,Poblenou,29.777
2019-09,41.3788,2.1331,Sants,29.070
2019-09,41.3853,2.1538,Eixample,51.884
2019-09,41.3987,2.1534,Gràcia,41.630
2019-09,41.3864,2.1874,Ciutadella,26.101
2019-09,41.4261,2.148,Vall Hebron,25.597
2019-09,41.3875,2.1151,Palau Reial,25.381
2019-10,41.4039,2.2045,Poblenou,38.840
2019-10,41.3788,2.1331,Sants,32.995
2019-10,41.3853,2.1538,Eixample,51.447
2019-10,41.3987,2.1534,Gràcia,45.154
2019-10,41.3864,2.1874,Ciutadella,34.565
2019-10,41.4261,2.148,Vall Hebron,28.904
2019-10,41.3875,2.1151,Palau Reial,29.176
2019-11,41.4039,2.2045,Poblenou,36.330
2019-11,41.3788,2.1331,Sants,31.910
2019-11,41.3853,2.1538,Eixample,46.200
2019-11,41.3987,2.1534,Gràcia,37.123
2019-11,41.3864,2.1874,Ciutadella,31.922
2019-11,41.4261,2.148,Vall Hebron,23.355
2019-11,41.3875,2.1151,Palau Reial,24.819
2019-12,41.4039,2.2045,Poblenou,38.049
2019-12,41.3788,2.1331,Sants,29.051
2019-12,41.3853,2.1538,Eixample,47.121
2019-12,41.3987,2.1534,Gràcia,39.977
2019-12,41.3864,2.1874,Ciutadella,30.671
2019-12,41.4261,2.148,Vall Hebron,28.289
2019-12,41.3875,2.1151,Palau Reial,28.376
2020-01,41.4039,2.2045,Poblenou,43.295
2020-01,41.3788,2.1331,Sants,37.691
2020-01,41.3853,2.1538,Eixample,52.694
2020-01,41.3987,2.1534,Gràcia,47.674
2020-01,41.3864,2.1874,Ciutadella,38.981
2020-01,41.4261,2.148,Vall Hebron,29.248
2020-01,41.3875,2.1151,Palau Reial,33.161
2020-02,41.4039,2.2045,Poblenou,42.014
2020-02,41.3788,2.1331,Sants,35.832
2020-02,41.3853,2.1538,Eixample,47.580
2020-02,41.3987,2.1534,Gràcia,45.708
2020-02,41.3864,2.1874,Ciutadella,36.243
2020-02,41.4261,2.148,Vall Hebron,30.443
2020-02,41.3875,2.1151,Palau Reial,31.494
2020-03,41.4039,2.2045,Poblenou,22.532
2020-03,41.3788,2.1331,Sants,21.307
2020-03,41.3853,2.1538,Eixample,28.015
2020-03,41.3987,2.1534,Gràcia,27.598
2020-03,41.3864,2.1874,Ciutadella,19.249
2020-03,41.4261,2.148,Vall Hebron,20.685
2020-03,41.3875,2.1151,Palau Reial,17.653
2020-04,41.4039,2.2045,Poblenou,16.217
2020-04,41.3788,2.1331,Sants,14.645
2020-04,41.3853,2.1538,Eixample,18.933
2020-04,41.3987,2.1534,Gràcia,19.754
2020-04,41.3864,2.1874,Ciutadella,14.332
2020-04,41.4261,2.148,Vall Hebron,19.818
2020-04,41.3875,2.1151,Palau Reial,12.325
2020-05,41.4039,2.2045,Poblenou,19.975
2020-05,41.3788,2.1331,Sants,15.051
2020-05,41.3853,2.1538,Eixample,24.085
2020-05,41.3987,2.1534,Gràcia,22.516
2020-05,41.3864,2.1874,Ciutadella,18.619
2020-05,41.4261,2.148,Vall Hebron,12.690
2020-05,41.3875,2.1151,Palau Reial,11.745
2020-06,41.4039,2.2045,Poblenou,21.521
2020-06,41.3788,2.1331,Sants,15.859
2020-06,41.3853,2.1538,Eixample,29.465
2020-06,41.3987,2.1534,Gràcia,24.113
2020-06,41.3864,2.1874,Ciutadella,14.610
2020-06,41.4261,2.148,Vall Hebron,16.227
2020-06,41.3875,2.1151,Palau Reial,9.390
2020-07,41.4039,2.2045,Poblenou,23.677
2020-07,41.3788,2.1331,Sants,20.201
2020-07,41.3853,2.1538,Eixample,35.533
2020-07,41.3987,2.1534,Gràcia,28.379
2020-07,41.3864,2.1874,Ciutadella,17.960
2020-07,41.4261,2.148,Vall Hebron,19.952
2020-07,41.3875,2.1151,Palau Reial,15.046
2020-08,41.4039,2.2045,Poblenou,20.558
2020-08,41.3788,2.1331,Sants,14.661
2020-08,41.3853,2.1538,Eixample,25.971
2020-08,41.3987,2.1534,Gràcia,22.078
2020-08,41.3864,2.1874,Ciutadella,14.593
2020-08,41.4261,2.148,Vall Hebron,16.999
2020-08,41.3875,2.1151,Palau Reial,11.389
2020-09,41.4039,2.2045,Poblenou,32.397
2020-09,41.3788,2.1331,Sants,23.644
2020-09,41.3853,2.1538,Eixample,39.841
2020-09,41.3987,2.1534,Gràcia,37.421
2020-09,41.3864,2.1874,Ciutadella,25.982
2020-09,41.4261,2.148,Vall Hebron,23.699
2020-09,41.3875,2.1151,Palau Reial,16.704
2020-10,41.4039,2.2045,Poblenou,32.686
