Datum,Lat,Long,Ort,Durchschnitt
2019-04-02,41.4039,2.2045,Poblenou,53.955
2019-04-03,41.4039,2.2045,Poblenou,26.292
2019-04-04,41.4039,2.2045,Poblenou,26.208
2019-04-05,41.4039,2.2045,Poblenou,45.750
2019-04-06,41.4039,2.2045,Poblenou,26.000
2019-04-07,41.4039,2.2045,Poblenou,26.167
2019-04-08,41.4039,2.2045,Poblenou,48.458
2019-04-09,41.4039,2.2045,Poblenou,44.833
2019-04-10,41.4039,2.2045,Poblenou,45.667
2019-04-11,41.4039,2.2045,Poblenou,34.583
2019-04-12,41.4039,2.2045,Poblenou,36.375
2019-04-13,41.4039,2.2045,Poblenou,33.292
2019-04-14,41.4039,2.2045,Poblenou,31.792
2019-04-15,41.4039,2.2045,Poblenou,27.708
2019-04-16,41.4039,2.2045,Poblenou,34.905
2019-04-17,41.4039,2.2045,Poblenou,22.958
2019-04-18,41.4039,2.2045,Poblenou,11.875
2019-04-19,41.4039,2.2045,Poblenou,10.583
2019-04-20,41.4039,2.2045,Poblenou,23.250
2019-04-21,41.4039,2.2045,Poblenou,9.292
2019-04-22,41.4039,2.2045,Poblenou,13.000
2019-04-23,41.4039,2.2045,Poblenou,42.333
2019-04-24,41.4039,2.2045,Poblenou,33.667
2019-04-25,41.4039,2.2045,Poblenou,36.292
2019-04-26,41.4039,2.2045,Poblenou,18.958
2019-04-27,41.4039,2.2045,Poblenou,35.375
2019-04-28,41.4039,2.2045,Poblenou,50.429
2019-04-29,41.4039,2.2045,Poblenou,32.833
2019-04-30,41.4039,2.2045,Poblenou,35.833
2019-04-02,41.3788,2.1331,Sants,38.708
2019-04-03,41.3788,2.1331,Sants,28.083
2019-04-04,41.3788,2.1331,Sants,28.125
2019-04-05,41.3788,2.1331,Sants,44.583
2019-04-06,41.3788,2.1331,Sants,21.000
2019-04-07,41.3788,2.1331,Sants,27.250
2019-04-08,41.3788,2.1331,Sants,43.000
2019-04-09,41.3788,2.1331,Sants,47.833
2019-04-10,41.3788,2.1331,Sants,40.000
2019-04-11,41.3788,2.1331,Sants,42.000
2019-04-12,41.3788,2.1331,Sants,43.333
2019-04-13,41.3788,2.1331,Sants,32.208
2019-04-14,41.3788,2.1331,Sants,30.167
2019-04-15,41.3788,2.1331,Sants,30.000
2019-04-16,41.3788,2.1331,Sants,30.167
2019-04-17,41.3788,2.1331,Sants,32.708
2019-04-18,41.3788,2.1331,Sants,19.583
2019-04-19,41.3788,2.1331,Sants,12.833
2019-04-20,41.3788,2.1331,Sants,14.583
2019-04-21,41.3788,2.1331,Sants,12.125
2019-04-22,41.3788,2.1331,Sants,15.083
2019-04-23,41.3788,2.1331,Sants,35.565
2019-04-24,41.3788,2.1331,Sants,21.583
2019-04-25,41.3788,2.1331,Sants,21.750
2019-04-26,41.3788,2.1331,Sants,18.125
2019-04-27,41.3788,2.1331,Sants,32.833
2019-04-28,41.3788,2.1331,Sants,40.429
2019-04-29,41.3788,2.1331,Sants,24.375
2019-04-30,41.3788,2.1331,Sants,21.542
2019-04-02,41.3853,2.1538,Eixample,52.875
2019-04-03,41.3853,2.1538,Eixample,43.917
2019-04-04,41.3853,2.1538,Eixample,44.417
2019-04-05,41.3853,2.1538,Eixample,60.167
2019-04-06,41.3853,2.1538,Eixample,28.250
2019-04-07,41.3853,2.1538,Eixample,32.625
2019-04-08,41.3853,2.1538,Eixample,54.381
2019-04-09,41.3853,2.1538,Eixample,56.708
2019-04-10,41.3853,2.1538,Eixample,51.292
2019-04-11,41.3853,2.1538,Eixample,59.250
2019-04-12,41.3853,2.1538,Eixample,60.375
2019-04-13,41.3853,2.1538,Eixample,46.708
2019-04-14,41.3853,2.1538,Eixample,42.095
2019-04-15,41.3853,2.1538,Eixample,40.909
2019-04-16,41.3853,2.1538,Eixample,46.625
2019-04-17,41.3853,2.1538,Eixample,44.000
2019-04-18,41.3853,2.1538,Eixample,33.458
2019-04-19,41.3853,2.1538,Eixample,20.667
2019-04-20,41.3853,2.1538,Eixample,25.875
2019-04-21,41.3853,2.1538,Eixample,20.375
2019-04-22,41.3853,2.1538,Eixample,24.750
2019-04-23,41.3853,2.1538,Eixample,53.150
2019-04-24,41.3853,2.1538,Eixample,39.417
2019-04-25,41.3853,2.1538,Eixample,41.542
2019-04-26,41.3853,2.1538,Eixample,36.375
2019-04-27,41.3853,2.1538,Eixample,51.708
2019-04-28,41.3853,2.1538,Eixample,53.857
2019-04-29,41.3853,2.1538,Eixample,51.125
2019-04-30,41.3853,2.1538,Eixample,41.375
2019-04-02,41.3987,2.1534,Gràcia,56.000
2019-04-03,41.3987,2.1534,Gràcia,39.417
2019-04-04,41.3987,2.1534,Gràcia,30.958
2019-04-05,41.3987,2.1534,Gràcia,48.833
2019-04-06,41.3987,2.1534,Gràcia,25.958
2019-04-07,41.3987,2.1534,Gràcia,28.833
2019-04-08,41.3987,2.1534,Gràcia,48.542
2019-04-09,41.3987,2.1534,Gràcia,54.083
2019-04-10,41.3987,2.1534,Gràcia,53.435
2019-04-11,41.3987,2.1534,Gràcia,51.000
2019-04-12,41.3987,2.1534,Gràcia,53.708
2019-04-13,41.3987,2.1534,Gràcia,43.875
2019-04-14,41.3987,2.1534,Gràcia,28.042
2019-04-15,41.3987,2.1534,Gràcia,35.833
2019-04-16,41.3987,2.1534,Gràcia,36.583
2019-04-17,41.3987,2.1534,Gràcia,34.500
2019-04-18,41.3987,2.1534,Gràcia,22.500
2019-04-19,41.3987,2.1534,Gràcia,10.958
2019-04-20,41.3987,2.1534,Gràcia,13.583
2019-04-21,41.3987,2.1534,Gràcia,11.458
2019-04-22,41.3987,2.1534,Gràcia,11.208
2019-04-23,41.3987,2.1534,Gràcia,50.167
2019-04-24,41.3987,2.1534,Gràcia,33.083
2019-04-25,41.3987,2.1534,Gràcia,35.955
