Jahr,Wochennummer,Wochenbeginn,Lat,Long,Ort,Durchschnitt
2019,14,2019-04-01,41.4039,2.2045,Poblenou,34.062
2019,15,2019-04-08,41.4039,2.2045,Poblenou,39.286
2019,16,2019-04-15,41.4039,2.2045,Poblenou,20.082
2019,17,2019-04-22,41.4039,2.2045,Poblenou,32.865
2019,18,2019-04-29,41.4039,2.2045,Poblenou,31.250
2019,14,2019-04-01,41.3788,2.1331,Sants,31.291
2019,15,2019-04-08,41.3788,2.1331,Sants,39.792
2019,16,2019-04-15,41.3788,2.1331,Sants,21.714
2019,17,2019-04-22,41.3788,2.1331,Sants,26.481
2019,18,2019-04-29,41.3788,2.1331,Sants,26.274
2019,14,2019-04-01,41.3853,2.1538,Eixample,43.708
2019,15,2019-04-08,41.3853,2.1538,Eixample,52.973
2019,16,2019-04-15,41.3853,2.1538,Eixample,33.130
2019,17,2019-04-22,41.3853,2.1538,Eixample,42.971
2019,18,2019-04-29,41.3853,2.1538,Eixample,43.244
2019,14,2019-04-01,41.3987,2.1534,Gràcia,38.333
2019,15,2019-04-08,41.3987,2.1534,Gràcia,47.526
2019,16,2019-04-15,41.3987,2.1534,Gràcia,23.631
2019,17,2019-04-22,41.3987,2.1534,Gràcia,34.477
2019,18,2019-04-29,41.3987,2.1534,Gràcia,34.982
2019,14,2019-04-01,41.3864,2.1874,Ciutadella,31.210
2019,15,2019-04-08,41.3864,2.1874,Ciutadella,34.571
2019,16,2019-04-15,41.3864,2.1874,Ciutadella,13.058
2019,17,2019-04-22,41.3864,2.1874,Ciutadella,30.108
2019,18,2019-04-29,41.3864,2.1874,Ciutadella,28.292
2019,14,2019-04-01,41.4261,2.148,Vall Hebron,29.812
2019,15,2019-04-08,41.4261,2.148,Vall Hebron,32.897
2019,16,2019-04-15,41.4261,2.148,Vall Hebron,16.845
2019,17,2019-04-22,41.4261,2.148,Vall Hebron,26.469
2019,18,2019-04-29,41.4261,2.148,Vall Hebron,25.679
2019,14,2019-04-01,41.3875,2.1151,Palau Reial,23.424
2019,15,2019-04-08,41.3875,2.1151,Palau Reial,29.658
2019,16,2019-04-15,41.3875,2.1151,Palau Reial,16.970
2019,17,2019-04-22,41.3875,2.1151,Palau Reial,23.034
2019,18,2019-04-29,41.3875,2.1151,Palau Reial,22.712
2019,19,2019-05-06,41.4039,2.2045,Poblenou,27.513
2019,20,2019-05-13,41.4039,2.2045,Poblenou,32.464
2019,21,2019-05-20,41.4039,2.2045,Poblenou,42.615
2019,22,2019-05-27,41.4039,2.2045,Poblenou,36.940
2019,19,2019-05-06,41.3788,2.1331,Sants,28.397
2019,20,2019-05-13,41.3788,2.1331,Sants,24.357
2019,21,2019-05-20,41.3788,2.1331,Sants,28.159
2019,22,2019-05-27,41.3788,2.1331,Sants,25.714
2019,19,2019-05-06,41.3853,2.1538,Eixample,44.738
2019,20,2019-05-13,41.3853,2.1538,Eixample,49.774
2019,21,2019-05-20,41.3853,2.1538,Eixample,56.320
2019,22,2019-05-27,41.3853,2.1538,Eixample,48.611
2019,19,2019-05-06,41.3987,2.1534,Gràcia,34.278
2019,20,2019-05-13,41.3987,2.1534,Gràcia,39.661
2019,21,2019-05-20,41.3987,2.1534,Gràcia,48.386
2019,22,2019-05-27,41.3987,2.1534,Gràcia,39.373
2019,19,2019-05-06,41.3864,2.1874,Ciutadella,26.372
2019,20,2019-05-13,41.3864,2.1874,Ciutadella,29.899
2019,21,2019-05-20,41.3864,2.1874,Ciutadella,38.590
2019,22,2019-05-27,41.3864,2.1874,Ciutadella,35.577
2019,19,2019-05-06,41.4261,2.148,Vall Hebron,24.034
2019,20,2019-05-13,41.4261,2.148,Vall Hebron,28.470
2019,21,2019-05-20,41.4261,2.148,Vall Hebron,36.156
2019,22,2019-05-27,41.4261,2.148,Vall Hebron,25.452
2019,19,2019-05-06,41.3875,2.1151,Palau Reial,22.277
2019,20,2019-05-13,41.3875,2.1151,Palau Reial,23.645
2019,21,2019-05-20,41.3875,2.1151,Palau Reial,27.494
2019,22,2019-05-27,41.3875,2.1151,Palau Reial,27.048
2019,23,2019-06-03,41.4039,2.2045,Poblenou,32.210
2019,24,2019-06-10,41.4039,2.2045,Poblenou,33.639
2019,25,2019-06-17,41.4039,2.2045,Poblenou,35.806
2019,26,2019-06-24,41.4039,2.2045,Poblenou,38.470
2019,23,2019-06-03,41.3788,2.1331,Sants,25.067
2019,24,2019-06-10,41.3788,2.1331,Sants,31.229
2019,25,2019-06-17,41.3788,2.1331,Sants,27.188
2019,26,2019-06-24,41.3788,2.1331,Sants,38.952
2019,23,2019-06-03,41.3853,2.1538,Eixample,40.789
2019,24,2019-06-10,41.3853,2.1538,Eixample,39.542
2019,25,2019-06-17,41.3853,2.1538,Eixample,46.278
2019,26,2019-06-24,41.3853,2.1538,Eixample,64.096
2019,23,2019-06-03,41.3987,2.1534,Gràcia,31.489
2019,24,2019-06-10,41.3987,2.1534,Gràcia,35.379
2019,25,2019-06-17,41.3987,2.1534,Gràcia,43.314
2019,26,2019-06-24,41.3987,2.1534,Gràcia,57.679
2019,23,2019-06-03,41.3864,2.1874,Ciutadella,27.489
2019,24,2019-06-10,41.3864,2.1874,Ciutadella,29.602
2019,25,2019-06-17,41.3864,2.1874,Ciutadella,32.642
2019,26,2019-06-24,41.3864,2.1874,Ciutadella,33.774
2019,23,2019-06-03,41.4261,2.148,Vall Hebron,25.818
2019,24,2019-06-10,41.4261,2.148,Vall Hebron,25.183
2019,25,2019-06-17,41.4261,2.148,Vall Hebron,28.427
2019,26,2019-06-24,41.4261,2.148,Vall Hebron,39.304
2019,23,2019-06-03,41.3875,2.1151,Palau Reial,24.214
2019,24,2019-06-10,41.3875,2.1151,Palau Reial,26.400
2019,25,2019-06-17,41.3875,2.1151,Palau Reial,29.033
2019,26,2019-06-24,41.3875,2.1151,Palau Reial,40.244
2019,27,2019-07-01,41.4039,2.2045,Poblenou,33.250
2019,28,2019-07-08,41.4039,2.2045,Poblenou,39.495
2019,29,2019-07-15,41.4039,2.2045,Poblenou,29.885
2019,30,2019-07-22,41.4039,2.2045,Poblenou,33.313
2019,31,2019-07-29,41.4039,2.2045,Poblenou,32.767
2019,27,2019-07-01,41.3788,2.1331,Sants,32.171
2019,28,2019-07-08,41.3788,2.1331,Sants,28.577
2019,29,2019-07-15,41.3788,2.1331,Sants,22.754
2019,30,2019-07-22,41.3788,2.1331,Sants,38.292
2019,31,2019-07-29,41.3788,2.1331,Sants,20.944
2019,27,2019-07-01,41.3853,2.1538,Eixample,56.564
2019,28,2019-07-08,41.3853,2.1538,Eixample,53.599
2019,29,2019-07-15,41.3853,2.1538,Eixample,46.447
2019,30,2019-07-22,41.3853,2.1538,Eixample,66.739
2019,31,2019-07-29,41.3853,2.1538,Eixample,42.236
2019,27,2019-07-01,41.3987,2.1534,Gràcia,46.923
2019,28,2019-07-08,41.3987,2.1534,Gràcia,45.774
2019,29,2019-07-15,41.3987,2.1534,Gràcia,37.315
2019,30,2019-07-22,41.3987,2.1534,Gràcia,60.031
2019,31,2019-07-29,41.3987,2.1534,Gràcia,38.408
2019,27,2019-07-01,41.3864,2.1874,Ciutadella,31.064
2019,28,2019-07-08,41.3864,2.1874,Ciutadella,35.999
2019,29,2019-07-15,41.3864,2.1874,Ciutadella,26.639
2019,30,2019-07-22,41.3864,2.1874,Ciutadella,27.636
2019,31,2019-07-29,41.3864,2.1874,Ciutadella,31.982
2019,27,2019-07-01,41.4261,2.148,Vall Hebron,33.799
2019,28,2019-07-08,41.4261,2.148,Vall Hebron,29.642
2019,29,2019-07-15,41.4261,2.148,Vall Hebron,21.287
2019,30,2019-07-22,41.4261,2.148,Vall Hebron,47.646
2019,31,2019-07-29,41.4261,2.148,Vall Hebron,22.078
2019,27,2019-07-01,41.3875,2.1151,Palau Reial,35.731
2019,28,2019-07-08,41.3875,2.1151,Palau Reial,27.131
2019,29,2019-07-15,41.3875,2.1151,Palau Reial,19.389
