Monat,Lat,Long,Ort,Durchschnitt
2019-04,41.4039,2.2045,Poblenou,6.246
2019-04,41.3788,2.1331,Sants,3.531
2019-04,41.3853,2.1538,Eixample,17.193
2019-04,41.3987,2.1534,Gràcia,8.931
2019-04,41.3864,2.1874,Ciutadella,4.918
2019-04,41.4261,2.148,Vall Hebron,8.236
2019-04,41.3875,2.1151,Palau Reial,2.189
2019-05,41.4039,2.2045,Poblenou,7.301
2019-05,41.3788,2.1331,Sants,4.223
2019-05,41.3853,2.1538,Eixample,24.744
2019-05,41.3987,2.1534,Gràcia,12.866
2019-05,41.3864,2.1874,Ciutadella,7.761
2019-05,41.4261,2.148,Vall Hebron,6.091
2019-05,41.3875,2.1151,Palau Reial,4.317
2019-06,41.4039,2.2045,Poblenou,7.969
2019-06,41.3788,2.1331,Sants,4.314
2019-06,41.3853,2.1538,Eixample,22.805
2019-06,41.3987,2.1534,Gràcia,11.397
2019-06,41.3864,2.1874,Ciutadella,7.241
2019-06,41.4261,2.148,Vall Hebron,4.752
2019-06,41.3875,2.1151,Palau Reial,5.032
2019-07,41.4039,2.2045,Poblenou,8.035
2019-07,41.3788,2.1331,Sants,4.391
2019-07,41.3853,2.1538,Eixample,24.328
2019-07,41.3987,2.1534,Gràcia,10.685
2019-07,41.3864,2.1874,Ciutadella,6.826
2019-07,41.4261,2.148,Vall Hebron,5.610
2019-07,41.3875,2.1151,Palau Reial,4.274
2019-08,41.4039,2.2045,Poblenou,5.104
2019-08,41.3788,2.1331,Sants,3.185
2019-08,41.3853,2.1538,Eixample,14.104
2019-08,41.3987,2.1534,Gràcia,7.700
2019-08,41.3864,2.1874,Ciutadella,4.571
2019-08,41.4261,2.148,Vall Hebron,2.879
2019-08,41.3875,2.1151,Palau Reial,4.219
2019-09,41.4039,2.2045,Poblenou,7.854
2019-09,41.3788,2.1331,Sants,5.945
2019-09,41.3853,2.1538,Eixample,24.487
2019-09,41.3987,2.1534,Gràcia,12.726
2019-09,41.3864,2.1874,Ciutadella,6.854
2019-09,41.4261,2.148,Vall Hebron,4.489
2019-09,41.3875,2.1151,Palau Reial,5.482
2019-10,41.4039,2.2045,Poblenou,14.799
2019-10,41.3788,2.1331,Sants,7.434
2019-10,41.3853,2.1538,Eixample,31.625
2019-10,41.3987,2.1534,Gràcia,17.519
2019-10,41.3864,2.1874,Ciutadella,13.152
2019-10,41.4261,2.148,Vall Hebron,7.456
2019-10,41.3875,2.1151,Palau Reial,8.028
2019-11,41.4039,2.2045,Poblenou,19.101
2019-11,41.3788,2.1331,Sants,8.191
2019-11,41.3853,2.1538,Eixample,33.648
2019-11,41.3987,2.1534,Gràcia,14.813
2019-11,41.3864,2.1874,Ciutadella,13.455
2019-11,41.4261,2.148,Vall Hebron,7.278
2019-11,41.3875,2.1151,Palau Reial,8.927
2019-12,41.4039,2.2045,Poblenou,20.895
2019-12,41.3788,2.1331,Sants,11.687
2019-12,41.3853,2.1538,Eixample,35.599
2019-12,41.3987,2.1534,Gràcia,21.695
2019-12,41.3864,2.1874,Ciutadella,16.114
2019-12,41.4261,2.148,Vall Hebron,60.809
2019-12,41.3875,2.1151,Palau Reial,11.502
2020-01,41.4039,2.2045,Poblenou,33.021
2020-01,41.3788,2.1331,Sants,20.409
2020-01,41.3853,2.1538,Eixample,46.273
2020-01,41.3987,2.1534,Gràcia,29.359
2020-01,41.3864,2.1874,Ciutadella,26.721
2020-01,41.4261,2.148,Vall Hebron,26.759
2020-01,41.3875,2.1151,Palau Reial,17.793
2020-02,41.4039,2.2045,Poblenou,21.332
2020-02,41.3788,2.1331,Sants,14.652
2020-02,41.3853,2.1538,Eixample,35.739
2020-02,41.3987,2.1534,Gràcia,24.069
2020-02,41.3864,2.1874,Ciutadella,18.992
2020-02,41.4261,2.148,Vall Hebron,11.329
2020-02,41.3875,2.1151,Palau Reial,11.756
2020-03,41.4039,2.2045,Poblenou,6.241
2020-03,41.3788,2.1331,Sants,4.023
2020-03,41.3853,2.1538,Eixample,10.859
2020-03,41.3987,2.1534,Gràcia,8.897
2020-03,41.3864,2.1874,Ciutadella,5.286
2020-03,41.4261,2.148,Vall Hebron,6.439
2020-03,41.3875,2.1151,Palau Reial,3.789
2020-04,41.4039,2.2045,Poblenou,2.787
2020-04,41.3788,2.1331,Sants,1.926
2020-04,41.3853,2.1538,Eixample,5.096
2020-04,41.3987,2.1534,Gràcia,4.182
2020-04,41.3864,2.1874,Ciutadella,2.641
2020-04,41.4261,2.148,Vall Hebron,4.613
2020-04,41.3875,2.1151,Palau Reial,1.464
2020-05,41.4039,2.2045,Poblenou,3.880
2020-05,41.3788,2.1331,Sants,2.985
2020-05,41.3853,2.1538,Eixample,9.236
2020-05,41.3987,2.1534,Gràcia,6.947
2020-05,41.3864,2.1874,Ciutadella,4.481
2020-05,41.4261,2.148,Vall Hebron,2.077
