Datum,Lat,Long,Ort,Durchschnitt
2019-04-02,41.4039,2.2045,Poblenou,21.273
2019-04-03,41.4039,2.2045,Poblenou,3.458
2019-04-04,41.4039,2.2045,Poblenou,4.625
2019-04-05,41.4039,2.2045,Poblenou,17.458
2019-04-06,41.4039,2.2045,Poblenou,3.125
2019-04-07,41.4039,2.2045,Poblenou,3.250
2019-04-08,41.4039,2.2045,Poblenou,16.917
2019-04-09,41.4039,2.2045,Poblenou,9.583
2019-04-10,41.4039,2.2045,Poblenou,8.958
2019-04-11,41.4039,2.2045,Poblenou,5.000
2019-04-12,41.4039,2.2045,Poblenou,4.917
2019-04-13,41.4039,2.2045,Poblenou,3.500
2019-04-14,41.4039,2.2045,Poblenou,4.042
2019-04-15,41.4039,2.2045,Poblenou,4.292
2019-04-16,41.4039,2.2045,Poblenou,5.000
2019-04-17,41.4039,2.2045,Poblenou,7.875
2019-04-18,41.4039,2.2045,Poblenou,1.958
2019-04-19,41.4039,2.2045,Poblenou,1.167
2019-04-20,41.4039,2.2045,Poblenou,1.625
2019-04-21,41.4039,2.2045,Poblenou,1.167
2019-04-22,41.4039,2.2045,Poblenou,1.208
2019-04-23,41.4039,2.2045,Poblenou,11.625
2019-04-24,41.4039,2.2045,Poblenou,5.500
2019-04-25,41.4039,2.2045,Poblenou,6.833
2019-04-26,41.4039,2.2045,Poblenou,3.875
2019-04-27,41.4039,2.2045,Poblenou,4.417
2019-04-28,41.4039,2.2045,Poblenou,5.571
2019-04-29,41.4039,2.2045,Poblenou,5.667
2019-04-30,41.4039,2.2045,Poblenou,7.250
2019-04-02,41.3788,2.1331,Sants,9.542
2019-04-03,41.3788,2.1331,Sants,2.458
2019-04-04,41.3788,2.1331,Sants,3.125
2019-04-05,41.3788,2.1331,Sants,11.875
2019-04-06,41.3788,2.1331,Sants,2.000
2019-04-07,41.3788,2.1331,Sants,1.958
2019-04-08,41.3788,2.1331,Sants,5.455
2019-04-09,41.3788,2.1331,Sants,5.833
2019-04-10,41.3788,2.1331,Sants,4.125
2019-04-11,41.3788,2.1331,Sants,3.833
2019-04-12,41.3788,2.1331,Sants,4.875
2019-04-13,41.3788,2.1331,Sants,3.833
2019-04-14,41.3788,2.1331,Sants,2.083
2019-04-15,41.3788,2.1331,Sants,2.625
2019-04-16,41.3788,2.1331,Sants,2.500
2019-04-17,41.3788,2.1331,Sants,7.083
2019-04-18,41.3788,2.1331,Sants,2.000
2019-04-19,41.3788,2.1331,Sants,1.375
2019-04-20,41.3788,2.1331,Sants,1.292
2019-04-21,41.3788,2.1331,Sants,1.292
2019-04-22,41.3788,2.1331,Sants,1.417
2019-04-23,41.3788,2.1331,Sants,4.783
2019-04-24,41.3788,2.1331,Sants,2.417
2019-04-25,41.3788,2.1331,Sants,2.625
2019-04-26,41.3788,2.1331,Sants,2.375
2019-04-27,41.3788,2.1331,Sants,2.583
2019-04-28,41.3788,2.1331,Sants,2.000
2019-04-29,41.3788,2.1331,Sants,2.292
2019-04-30,41.3788,2.1331,Sants,2.750
2019-04-02,41.3853,2.1538,Eixample,23.375
2019-04-03,41.3853,2.1538,Eixample,18.708
2019-04-04,41.3853,2.1538,Eixample,20.250
2019-04-05,41.3853,2.1538,Eixample,39.083
2019-04-06,41.3853,2.1538,Eixample,7.458
2019-04-07,41.3853,2.1538,Eixample,6.917
2019-04-08,41.3853,2.1538,Eixample,34.667
2019-04-09,41.3853,2.1538,Eixample,23.833
2019-04-10,41.3853,2.1538,Eixample,16.000
2019-04-11,41.3853,2.1538,Eixample,21.208
2019-04-12,41.3853,2.1538,Eixample,23.667
2019-04-13,41.3853,2.1538,Eixample,15.292
2019-04-14,41.3853,2.1538,Eixample,13.857
2019-04-15,41.3853,2.1538,Eixample,16.091
2019-04-16,41.3853,2.1538,Eixample,19.208
2019-04-17,41.3853,2.1538,Eixample,22.583
2019-04-18,41.3853,2.1538,Eixample,11.292
2019-04-19,41.3853,2.1538,Eixample,4.375
2019-04-20,41.3853,2.1538,Eixample,5.208
2019-04-21,41.3853,2.1538,Eixample,4.625
2019-04-22,41.3853,2.1538,Eixample,5.208
2019-04-23,41.3853,2.1538,Eixample,24.750
2019-04-24,41.3853,2.1538,Eixample,14.833
2019-04-25,41.3853,2.1538,Eixample,17.250
2019-04-26,41.3853,2.1538,Eixample,15.292
2019-04-27,41.3853,2.1538,Eixample,19.500
2019-04-28,41.3853,2.1538,Eixample,11.429
2019-04-29,41.3853,2.1538,Eixample,24.042
2019-04-30,41.3853,2.1538,Eixample,18.583
2019-04-02,41.3987,2.1534,Gràcia,20.750
2019-04-03,41.3987,2.1534,Gràcia,9.583
2019-04-04,41.3987,2.1534,Gràcia,7.958
2019-04-05,41.3987,2.1534,Gràcia,18.250
2019-04-06,41.3987,2.1534,Gràcia,4.333
2019-04-07,41.3987,2.1534,Gràcia,3.917
2019-04-08,41.3987,2.1534,Gràcia,10.042
2019-04-09,41.3987,2.1534,Gràcia,15.458
2019-04-10,41.3987,2.1534,Gràcia,16.783
2019-04-11,41.3987,2.1534,Gràcia,11.500
2019-04-12,41.3987,2.1534,Gràcia,16.167
2019-04-13,41.3987,2.1534,Gràcia,8.500
2019-04-14,41.3987,2.1534,Gràcia,2.917
2019-04-15,41.3987,2.1534,Gràcia,8.292
2019-04-16,41.3987,2.1534,Gràcia,9.750
2019-04-17,41.3987,2.1534,Gràcia,10.250
2019-04-18,41.3987,2.1534,Gràcia,4.667
2019-04-19,41.3987,2.1534,Gràcia,1.833
2019-04-20,41.3987,2.1534,Gràcia,2.333
2019-04-21,41.3987,2.1534,Gràcia,1.792
2019-04-22,41.3987,2.1534,Gràcia,1.833
2019-04-23,41.3987,2.1534,Gràcia,14.792
2019-04-24,41.3987,2.1534,Gràcia,7.625
2019-04-25,41.3987,2.1534,Gràcia,9.227
2019-04-26,41.3987,2.1534,Gràcia,6.000
2019-04-27,41.3987,2.1534,Gràcia,8.333
2019-04-28,41.3987,2.1534,Gràcia,4.571
2019-04-29,41.3987,2.1534,Gràcia,11.542
2019-04-30,41.3987,2.1534,Gràcia,10.000
2019-04-02,41.3864,2.1874,Ciutadella,7.350
2019-04-03,41.3864,2.1874,Ciutadella,3.833
2019-04-04,41.3864,2.1874,Ciutadella,2.750
2019-04-05,41.3864,2.1874,Ciutadella,26.458
2019-04-06,41.3864,2.1874,Ciutadella,1.667
2019-04-07,41.3864,2.1874,Ciutadella,1.333
2019-04-08,41.3864,2.1874,Ciutadella,14.708
2019-04-09,41.3864,2.1874,Ciutadella,5.750
2019-04-10,41.3864,2.1874,Ciutadella,9.875
2019-04-11,41.3864,2.1874,Ciutadella,4.125
2019-04-12,41.3864,2.1874,Ciutadella,6.125
2019-04-13,41.3864,2.1874,Ciutadella,4.250
2019-04-14,41.3864,2.1874,Ciutadella,1.750
2019-04-15,41.3864,2.1874,Ciutadella,1.609
2019-04-16,41.3864,2.1874,Ciutadella,2.833
2019-04-17,41.3864,2.1874,Ciutadella,3.542
2019-04-18,41.3864,2.1874,Ciutadella,1.792
2019-04-19,41.3864,2.1874,Ciutadella,1.125
2019-04-20,41.3864,2.1874,Ciutadella,1.083
2019-04-21,41.3864,2.1874,Ciutadella,1.042
2019-04-22,41.3864,2.1874,Ciutadella,1.000
2019-04-23,41.3864,2.1874,Ciutadella,11.000
2019-04-24,41.3864,2.1874,Ciutadella,5.500
2019-04-25,41.3864,2.1874,Ciutadella,5.042
2019-04-26,41.3864,2.1874,Ciutadella,2.417
2019-04-27,41.3864,2.1874,Ciutadella,2.417
2019-04-28,41.3864,2.1874,Ciutadella,1.286
2019-04-29,41.3864,2.1874,Ciutadella,4.458
2019-04-30,41.3864,2.1874,Ciutadella,6.500
2019-04-02,41.4261,2.148,Vall Hebron,24.958
2019-04-03,41.4261,2.148,Vall Hebron,2.708
2019-04-04,41.4261,2.148,Vall Hebron,9.917
2019-04-05,41.4261,2.148,Vall Hebron,18.750
2019-04-06,41.4261,2.148,Vall Hebron,14.292
2019-04-07,41.4261,2.148,Vall Hebron,7.208
2019-04-08,41.4261,2.148,Vall Hebron,5.250
2019-04-09,41.4261,2.148,Vall Hebron,3.826
2019-04-10,41.4261,2.148,Vall Hebron,7.375
2019-04-11,41.4261,2.148,Vall Hebron,8.000
2019-04-12,41.4261,2.148,Vall Hebron,9.250
2019-04-13,41.4261,2.148,Vall Hebron,13.333
2019-04-14,41.4261,2.148,Vall Hebron,23.625
2019-04-15,41.4261,2.148,Vall Hebron,7.750
2019-04-16,41.4261,2.148,Vall Hebron,1.792
2019-04-17,41.4261,2.148,Vall Hebron,3.417
2019-04-18,41.4261,2.148,Vall Hebron,2.167
2019-04-19,41.4261,2.148,Vall Hebron,1.000
2019-04-20,41.4261,2.148,Vall Hebron,1.000
2019-04-21,41.4261,2.148,Vall Hebron,1.125
2019-04-22,41.4261,2.148,Vall Hebron,1.000
2019-04-23,41.4261,2.148,Vall Hebron,3.714
2019-04-24,41.4261,2.148,Vall Hebron,2.125
2019-04-25,41.4261,2.148,Vall Hebron,4.583
2019-04-26,41.4261,2.148,Vall Hebron,7.417
2019-04-27,41.4261,2.148,Vall Hebron,9.667
2019-04-28,41.4261,2.148,Vall Hebron,34.000
2019-04-29,41.4261,2.148,Vall Hebron,4.708
2019-04-30,41.4261,2.148,Vall Hebron,4.875
2019-04-02,41.3875,2.1151,Palau Reial,8.750
2019-04-03,41.3875,2.1151,Palau Reial,1.542
2019-04-04,41.3875,2.1151,Palau Reial,2.875
2019-04-05,41.3875,2.1151,Palau Reial,8.208
2019-04-06,41.3875,2.1151,Palau Reial,2.250
2019-04-07,41.3875,2.1151,Palau Reial,1.458
2019-04-08,41.3875,2.1151,Palau Reial,3.810
2019-04-09,41.3875,2.1151,Palau Reial,4.167
2019-04-10,41.3875,2.1151,Palau Reial,1.708
2019-04-11,41.3875,2.1151,Palau Reial,1.833
2019-04-12,41.3875,2.1151,Palau Reial,2.208
2019-04-13,41.3875,2.1151,Palau Reial,2.208
2019-04-14,41.3875,2.1151,Palau Reial,1.125
2019-04-15,41.3875,2.1151,Palau Reial,1.250
2019-04-16,41.3875,2.1151,Palau Reial,1.000
2019-04-17,41.3875,2.1151,Palau Reial,3.625
2019-04-18,41.3875,2.1151,Palau Reial,1.000
2019-04-19,41.3875,2.1151,Palau Reial,1.000
2019-04-20,41.3875,2.1151,Palau Reial,1.000
2019-04-21,41.3875,2.1151,Palau Reial,1.000
2019-04-22,41.3875,2.1151,Palau Reial,1.000
2019-04-23,41.3875,2.1151,Palau Reial,1.958
2019-04-24,41.3875,2.1151,Palau Reial,1.292
2019-04-25,41.3875,2.1151,Palau Reial,1.125
2019-04-26,41.3875,2.1151,Palau Reial,1.208
2019-04-27,41.3875,2.1151,Palau Reial,1.125
2019-04-28,41.3875,2.1151,Palau Reial,1.429
2019-04-29,41.3875,2.1151,Palau Reial,1.083
2019-04-30,41.3875,2.1151,Palau Reial,1.250
2019-05-01,41.4039,2.2045,Poblenou,3.708
2019-05-02,41.4039,2.2045,Poblenou,11.417
2019-05-03,41.4039,2.2045,Poblenou,5.708
2019-05-04,41.4039,2.2045,Poblenou,3.750
2019-05-05,41.4039,2.2045,Poblenou,2.625
2019-05-06,41.4039,2.2045,Poblenou,6.857
2019-05-10,41.4039,2.2045,Poblenou,4.792
2019-05-11,41.4039,2.2045,Poblenou,4.167
2019-05-12,41.4039,2.2045,Poblenou,2.583
2019-05-13,41.4039,2.2045,Poblenou,7.625
2019-05-14,41.4039,2.2045,Poblenou,8.333
2019-05-15,41.4039,2.2045,Poblenou,5.792
2019-05-16,41.4039,2.2045,Poblenou,11.375
2019-05-17,41.4039,2.2045,Poblenou,2.958
2019-05-18,41.4039,2.2045,Poblenou,2.417
2019-05-19,41.4039,2.2045,Poblenou,1.875
2019-05-20,41.4039,2.2045,Poblenou,5.500
2019-05-21,41.4039,2.2045,Poblenou,13.478
2019-05-22,41.4039,2.2045,Poblenou,11.708
2019-05-23,41.4039,2.2045,Poblenou,15.167
2019-05-24,41.4039,2.2045,Poblenou,8.958
2019-05-25,41.4039,2.2045,Poblenou,9.125
2019-05-26,41.4039,2.2045,Poblenou,8.375
2019-05-27,41.4039,2.2045,Poblenou,6.458
2019-05-28,41.4039,2.2045,Poblenou,5.625
2019-05-29,41.4039,2.2045,Poblenou,7.042
2019-05-30,41.4039,2.2045,Poblenou,11.167
2019-05-31,41.4039,2.2045,Poblenou,15.833
2019-05-01,41.3788,2.1331,Sants,1.750
2019-05-02,41.3788,2.1331,Sants,7.833
2019-05-03,41.3788,2.1331,Sants,5.750
2019-05-04,41.3788,2.1331,Sants,2.125
2019-05-05,41.3788,2.1331,Sants,1.708
2019-05-06,41.3788,2.1331,Sants,2.714
2019-05-10,41.3788,2.1331,Sants,7.042
2019-05-11,41.3788,2.1331,Sants,3.208
2019-05-12,41.3788,2.1331,Sants,2.250
2019-05-13,41.3788,2.1331,Sants,2.500
2019-05-14,41.3788,2.1331,Sants,9.708
2019-05-15,41.3788,2.1331,Sants,2.167
2019-05-16,41.3788,2.1331,Sants,2.667
2019-05-17,41.3788,2.1331,Sants,1.917
2019-05-18,41.3788,2.1331,Sants,1.625
2019-05-19,41.3788,2.1331,Sants,2.583
2019-05-20,41.3788,2.1331,Sants,2.375
2019-05-21,41.3788,2.1331,Sants,4.333
2019-05-22,41.3788,2.1331,Sants,3.273
2019-05-23,41.3788,2.1331,Sants,5.167
2019-05-24,41.3788,2.1331,Sants,3.542
2019-05-25,41.3788,2.1331,Sants,7.250
2019-05-26,41.3788,2.1331,Sants,6.167
