Jahr,Wochennummer,Lat,Long,Ort,Durchschnitt
2019,14,41.4039,2.2045,Poblenou,8.865
2019,15,41.4039,2.2045,Poblenou,7.560
2019,16,41.4039,2.2045,Poblenou,3.298
2019,17,41.4039,2.2045,Poblenou,5.576
2019,18,41.4039,2.2045,Poblenou,5.732
2019,14,41.3788,2.1331,Sants,5.160
2019,15,41.3788,2.1331,Sants,4.291
2019,16,41.3788,2.1331,Sants,2.595
2019,17,41.3788,2.1331,Sants,2.600
2019,18,41.3788,2.1331,Sants,3.458
2019,14,41.3853,2.1538,Eixample,19.299
2019,15,41.3853,2.1538,Eixample,21.218
2019,16,41.3853,2.1538,Eixample,11.912
2019,17,41.3853,2.1538,Eixample,15.466
2019,18,41.3853,2.1538,Eixample,19.935
2019,14,41.3987,2.1534,Gràcia,10.798
2019,15,41.3987,2.1534,Gràcia,11.624
2019,16,41.3987,2.1534,Gràcia,5.560
2019,17,41.3987,2.1534,Gràcia,7.483
2019,18,41.3987,2.1534,Gràcia,10.101
2019,14,41.3864,2.1874,Ciutadella,7.232
2019,15,41.3864,2.1874,Ciutadella,6.655
2019,16,41.3864,2.1874,Ciutadella,1.861
2019,17,41.3864,2.1874,Ciutadella,4.095
2019,18,41.3864,2.1874,Ciutadella,5.684
2019,14,41.4261,2.148,Vall Hebron,12.972
2019,15,41.4261,2.148,Vall Hebron,10.094
2019,16,41.4261,2.148,Vall Hebron,2.607
2019,17,41.4261,2.148,Vall Hebron,8.929
2019,18,41.4261,2.148,Vall Hebron,5.387
2019,14,41.3875,2.1151,Palau Reial,4.180
2019,15,41.3875,2.1151,Palau Reial,2.437
2019,16,41.3875,2.1151,Palau Reial,1.411
2019,17,41.3875,2.1151,Palau Reial,1.305
2019,18,41.3875,2.1151,Palau Reial,3.119
2019,19,41.4039,2.2045,Poblenou,4.600
2019,20,41.4039,2.2045,Poblenou,5.768
2019,21,41.4039,2.2045,Poblenou,10.330
2019,22,41.4039,2.2045,Poblenou,8.994
2019,19,41.3788,2.1331,Sants,3.804
2019,20,41.3788,2.1331,Sants,3.310
2019,21,41.3788,2.1331,Sants,4.587
2019,22,41.3788,2.1331,Sants,4.845
2019,19,41.3853,2.1538,Eixample,20.241
2019,20,41.3853,2.1538,Eixample,21.536
2019,21,41.3853,2.1538,Eixample,29.792
2019,22,41.3853,2.1538,Eixample,27.321
2019,19,41.3987,2.1534,Gràcia,8.548
2019,20,41.3987,2.1534,Gràcia,10.162
2019,21,41.3987,2.1534,Gràcia,16.223
2019,22,41.3987,2.1534,Gràcia,14.553
2019,19,41.3864,2.1874,Ciutadella,6.298
2019,20,41.3864,2.1874,Ciutadella,4.554
2019,21,41.3864,2.1874,Ciutadella,10.707
2019,22,41.3864,2.1874,Ciutadella,10.750
2019,19,41.4261,2.148,Vall Hebron,4.434
2019,20,41.4261,2.148,Vall Hebron,5.345
2019,21,41.4261,2.148,Vall Hebron,8.415
2019,22,41.4261,2.148,Vall Hebron,4.768
2019,19,41.3875,2.1151,Palau Reial,2.564
2019,20,41.3875,2.1151,Palau Reial,3.940
2019,21,41.3875,2.1151,Palau Reial,4.451
2019,22,41.3875,2.1151,Palau Reial,5.393
2019,23,41.4039,2.2045,Poblenou,6.562
2019,24,41.4039,2.2045,Poblenou,6.808
2019,25,41.4039,2.2045,Poblenou,9.085
2019,26,41.4039,2.2045,Poblenou,9.291
2019,23,41.3788,2.1331,Sants,2.634
2019,24,41.3788,2.1331,Sants,3.750
2019,25,41.3788,2.1331,Sants,4.336
2019,26,41.3788,2.1331,Sants,7.006
2019,23,41.3853,2.1538,Eixample,17.987
2019,24,41.3853,2.1538,Eixample,17.467
2019,25,41.3853,2.1538,Eixample,20.780
2019,26,41.3853,2.1538,Eixample,36.417
2019,23,41.3987,2.1534,Gràcia,6.806
2019,24,41.3987,2.1534,Gràcia,9.230
2019,25,41.3987,2.1534,Gràcia,10.505
2019,26,41.3987,2.1534,Gràcia,20.923
2019,23,41.3864,2.1874,Ciutadella,5.094
2019,24,41.3864,2.1874,Ciutadella,5.762
2019,25,41.3864,2.1874,Ciutadella,7.261
2019,26,41.3864,2.1874,Ciutadella,10.232
2019,23,41.4261,2.148,Vall Hebron,3.681
2019,24,41.4261,2.148,Vall Hebron,4.784
2019,25,41.4261,2.148,Vall Hebron,4.049
2019,26,41.4261,2.148,Vall Hebron,7.137
2019,23,41.3875,2.1151,Palau Reial,2.548
2019,24,41.3875,2.1151,Palau Reial,3.996
2019,25,41.3875,2.1151,Palau Reial,5.205
2019,26,41.3875,2.1151,Palau Reial,9.048
2019,27,41.4039,2.2045,Poblenou,7.362
2019,28,41.4039,2.2045,Poblenou,7.408
2019,29,41.4039,2.2045,Poblenou,6.588
2019,30,41.4039,2.2045,Poblenou,10.821
2019,31,41.4039,2.2045,Poblenou,7.107
2019,27,41.3788,2.1331,Sants,4.761
2019,28,41.3788,2.1331,Sants,3.923
2019,29,41.3788,2.1331,Sants,2.817
2019,30,41.3788,2.1331,Sants,7.136
2019,31,41.3788,2.1331,Sants,2.847
2019,27,41.3853,2.1538,Eixample,24.877
2019,28,41.3853,2.1538,Eixample,22.267
2019,29,41.3853,2.1538,Eixample,19.062
2019,30,41.3853,2.1538,Eixample,34.188
2019,31,41.3853,2.1538,Eixample,16.474
2019,27,41.3987,2.1534,Gràcia,10.214
2019,28,41.3987,2.1534,Gràcia,8.774
2019,29,41.3987,2.1534,Gràcia,7.972
2019,30,41.3987,2.1534,Gràcia,18.448
2019,31,41.3987,2.1534,Gràcia,7.925
2019,27,41.3864,2.1874,Ciutadella,8.695
2019,28,41.3864,2.1874,Ciutadella,6.844
2019,29,41.3864,2.1874,Ciutadella,4.676
2019,30,41.3864,2.1874,Ciutadella,6.750
2019,31,41.3864,2.1874,Ciutadella,6.387
2019,27,41.4261,2.148,Vall Hebron,5.137
2019,28,41.4261,2.148,Vall Hebron,4.224
2019,29,41.4261,2.148,Vall Hebron,2.812
2019,30,41.4261,2.148,Vall Hebron,12.721
2019,31,41.4261,2.148,Vall Hebron,3.376
2019,27,41.3875,2.1151,Palau Reial,6.186
2019,28,41.3875,2.1151,Palau Reial,2.423
2019,29,41.3875,2.1151,Palau Reial,2.217
2019,30,41.3875,2.1151,Palau Reial,7.885
2019,31,41.3875,2.1151,Palau Reial,3.447
2019,32,41.4039,2.2045,Poblenou,5.806
2019,33,41.4039,2.2045,Poblenou,4.419
2019,34,41.4039,2.2045,Poblenou,3.727
2019,35,41.4039,2.2045,Poblenou,6.126
2019,32,41.3788,2.1331,Sants,2.888
2019,33,41.3788,2.1331,Sants,1.912
2019,34,41.3788,2.1331,Sants,3.355
2019,35,41.3788,2.1331,Sants,5.176
2019,32,41.3853,2.1538,Eixample,14.882
2019,33,41.3853,2.1538,Eixample,10.271
2019,34,41.3853,2.1538,Eixample,12.336
2019,35,41.3853,2.1538,Eixample,20.200
2019,32,41.3987,2.1534,Gràcia,6.961
2019,33,41.3987,2.1534,Gràcia,5.406
2019,34,41.3987,2.1534,Gràcia,7.395
2019,35,41.3987,2.1534,Gràcia,11.533
2019,32,41.3864,2.1874,Ciutadella,5.523
2019,33,41.3864,2.1874,Ciutadella,3.144
2019,34,41.3864,2.1874,Ciutadella,2.951
2019,35,41.3864,2.1874,Ciutadella,5.078
2019,32,41.4261,2.148,Vall Hebron,3.227
2019,33,41.4261,2.148,Vall Hebron,2.142
2019,34,41.4261,2.148,Vall Hebron,2.801
2019,35,41.4261,2.148,Vall Hebron,3.712
2019,32,41.3875,2.1151,Palau Reial,3.821
2019,33,41.3875,2.1151,Palau Reial,5.437
2019,34,41.3875,2.1151,Palau Reial,2.776
2019,35,41.3875,2.1151,Palau Reial,4.995
2019,36,41.4039,2.2045,Poblenou,4.530
2019,37,41.4039,2.2045,Poblenou,5.450
2019,38,41.4039,2.2045,Poblenou,12.406
2019,39,41.4039,2.2045,Poblenou,9.596
2019,40,41.4039,2.2045,Poblenou,8.332
2019,36,41.3788,2.1331,Sants,4.256
2019,37,41.3788,2.1331,Sants,4.997
2019,38,41.3788,2.1331,Sants,10.471
2019,39,41.3788,2.1331,Sants,5.013
2019,40,41.3788,2.1331,Sants,3.285
2019,36,41.3853,2.1538,Eixample,20.215
2019,37,41.3853,2.1538,Eixample,23.749
2019,38,41.3853,2.1538,Eixample,33.015
2019,39,41.3853,2.1538,Eixample,22.704
2019,40,41.3853,2.1538,Eixample,20.544
2019,36,41.3987,2.1534,Gràcia,11.176
2019,37,41.3987,2.1534,Gràcia,12.188
2019,38,41.3987,2.1534,Gràcia,17.043
2019,39,41.3987,2.1534,Gràcia,11.737
2019,40,41.3987,2.1534,Gràcia,11.079
2019,36,41.3864,2.1874,Ciutadella,3.202
2019,37,41.3864,2.1874,Ciutadella,4.242
2019,38,41.3864,2.1874,Ciutadella,12.108
2019,39,41.3864,2.1874,Ciutadella,8.228
2019,40,41.3864,2.1874,Ciutadella,7.309
2019,36,41.4261,2.148,Vall Hebron,3.601
2019,37,41.4261,2.148,Vall Hebron,2.807
2019,38,41.4261,2.148,Vall Hebron,6.993
2019,39,41.4261,2.148,Vall Hebron,5.066
2019,40,41.4261,2.148,Vall Hebron,3.975
2019,36,41.3875,2.1151,Palau Reial,3.262
2019,37,41.3875,2.1151,Palau Reial,3.858
2019,38,41.3875,2.1151,Palau Reial,8.855
2019,39,41.3875,2.1151,Palau Reial,6.081
2019,40,41.3875,2.1151,Palau Reial,7.269
2019,41,41.4039,2.2045,Poblenou,12.026
2019,42,41.4039,2.2045,Poblenou,15.225
2019,43,41.4039,2.2045,Poblenou,13.341
2019,44,41.4039,2.2045,Poblenou,24.976
2019,41,41.3788,2.1331,Sants,5.736
2019,42,41.3788,2.1331,Sants,7.856
2019,43,41.3788,2.1331,Sants,7.736
2019,44,41.3788,2.1331,Sants,11.054
2019,41,41.3853,2.1538,Eixample,22.006
2019,42,41.3853,2.1538,Eixample,32.334
2019,43,41.3853,2.1538,Eixample,36.757
2019,44,41.3853,2.1538,Eixample,40.339
2019,41,41.3987,2.1534,Gràcia,12.566
2019,42,41.3987,2.1534,Gràcia,15.947
2019,43,41.3987,2.1534,Gràcia,18.247
2019,44,41.3987,2.1534,Gràcia,25.661
2019,41,41.3864,2.1874,Ciutadella,10.172
2019,42,41.3864,2.1874,Ciutadella,15.674
2019,43,41.3864,2.1874,Ciutadella,9.349
2019,44,41.3864,2.1874,Ciutadella,20.852
2019,41,41.4261,2.148,Vall Hebron,6.508
2019,42,41.4261,2.148,Vall Hebron,3.927
2019,43,41.4261,2.148,Vall Hebron,9.321
2019,44,41.4261,2.148,Vall Hebron,12.440
2019,41,41.3875,2.1151,Palau Reial,6.242
2019,42,41.3875,2.1151,Palau Reial,6.861
2019,43,41.3875,2.1151,Palau Reial,8.433
2019,44,41.3875,2.1151,Palau Reial,10.214
2019,45,41.4039,2.2045,Poblenou,7.124
2019,46,41.4039,2.2045,Poblenou,15.461
2019,47,41.4039,2.2045,Poblenou,25.372
2019,48,41.4039,2.2045,Poblenou,29.082
2019,45,41.3788,2.1331,Sants,3.129
2019,46,41.3788,2.1331,Sants,5.599
2019,47,41.3788,2.1331,Sants,9.164
2019,48,41.3788,2.1331,Sants,16.181
2019,45,41.3853,2.1538,Eixample,17.055
2019,46,41.3853,2.1538,Eixample,33.780
2019,47,41.3853,2.1538,Eixample,45.249
2019,48,41.3853,2.1538,Eixample,43.831
2019,45,41.3987,2.1534,Gràcia,7.350
2019,46,41.3987,2.1534,Gràcia,14.145
2019,47,41.3987,2.1534,Gràcia,17.846
2019,48,41.3987,2.1534,Gràcia,21.590
2019,45,41.3864,2.1874,Ciutadella,5.418
2019,46,41.3864,2.1874,Ciutadella,11.838
2019,47,41.3864,2.1874,Ciutadella,18.695
2019,48,41.3864,2.1874,Ciutadella,20.150
2019,45,41.4261,2.148,Vall Hebron,2.501
2019,46,41.4261,2.148,Vall Hebron,6.908
2019,47,41.4261,2.148,Vall Hebron,10.974
2019,48,41.4261,2.148,Vall Hebron,9.229
2019,45,41.3875,2.1151,Palau Reial,5.357
2019,46,41.3875,2.1151,Palau Reial,7.749
2019,47,41.3875,2.1151,Palau Reial,12.493
2019,48,41.3875,2.1151,Palau Reial,10.471
2019,49,41.4039,2.2045,Poblenou,21.192
2019,50,41.4039,2.2045,Poblenou,15.217
2019,51,41.4039,2.2045,Poblenou,27.964
2019,52,41.4039,2.2045,Poblenou,22.004
2019,1,41.4039,2.2045,Poblenou,16.474
2019,49,41.3788,2.1331,Sants,8.960
2019,50,41.3788,2.1331,Sants,6.172
2019,51,41.3788,2.1331,Sants,18.151
2019,52,41.3788,2.1331,Sants,15.232
2019,1,41.3788,2.1331,Sants,5.630
2019,49,41.3853,2.1538,Eixample,28.391
2019,50,41.3853,2.1538,Eixample,21.455
2019,51,41.3853,2.1538,Eixample,47.624
2019,52,41.3853,2.1538,Eixample,50.061
2019,1,41.3853,2.1538,Eixample,17.152
2019,49,41.3987,2.1534,Gràcia,17.723
2019,50,41.3987,2.1534,Gràcia,13.832
2019,51,41.3987,2.1534,Gràcia,24.863
2019,52,41.3987,2.1534,Gràcia,32.881
2019,1,41.3987,2.1534,Gràcia,16.196
2019,49,41.3864,2.1874,Ciutadella,10.800
2019,50,41.3864,2.1874,Ciutadella,13.560
2019,51,41.3864,2.1874,Ciutadella,22.327
2019,52,41.3864,2.1874,Ciutadella,19.174
2019,1,41.3864,2.1874,Ciutadella,8.723
2019,49,41.4261,2.148,Vall Hebron,7.656
2019,50,41.4261,2.148,Vall Hebron,5.707
2019,51,41.4261,2.148,Vall Hebron,16.833
2019,52,41.4261,2.148,Vall Hebron,219.129
2019,1,41.4261,2.148,Vall Hebron,14.392
2019,49,41.3875,2.1151,Palau Reial,6.907
2019,50,41.3875,2.1151,Palau Reial,3.538
2019,51,41.3875,2.1151,Palau Reial,24.961
2019,52,41.3875,2.1151,Palau Reial,9.346
2019,1,41.3875,2.1151,Palau Reial,2.804
2020,1,41.4039,2.2045,Poblenou,19.807
2020,2,41.4039,2.2045,Poblenou,36.286
2020,3,41.4039,2.2045,Poblenou,41.000
2020,4,41.4039,2.2045,Poblenou,19.400
2020,5,41.4039,2.2045,Poblenou,39.874
2020,1,41.3788,2.1331,Sants,14.283
2020,2,41.3788,2.1331,Sants,25.879
2020,3,41.3788,2.1331,Sants,18.461
2020,4,41.3788,2.1331,Sants,13.338
2020,5,41.3788,2.1331,Sants,32.522
2020,1,41.3853,2.1538,Eixample,28.650
2020,2,41.3853,2.1538,Eixample,54.727
2020,3,41.3853,2.1538,Eixample,51.068
2020,4,41.3853,2.1538,Eixample,34.278
2020,5,41.3853,2.1538,Eixample,60.306
2020,1,41.3987,2.1534,Gràcia,30.810
2020,2,41.3987,2.1534,Gràcia,37.101
2020,3,41.3987,2.1534,Gràcia,18.371
2020,4,41.3987,2.1534,Gràcia,23.653
2020,5,41.3987,2.1534,Gràcia,37.457
2020,1,41.3864,2.1874,Ciutadella,17.946
2020,2,41.3864,2.1874,Ciutadella,30.658
2020,3,41.3864,2.1874,Ciutadella,26.393
2020,4,41.3864,2.1874,Ciutadella,17.922
2020,5,41.3864,2.1874,Ciutadella,41.544
2020,1,41.4261,2.148,Vall Hebron,47.125
2020,2,41.4261,2.148,Vall Hebron,39.957
2020,3,41.4261,2.148,Vall Hebron,20.442
2020,4,41.4261,2.148,Vall Hebron,7.774
2020,5,41.4261,2.148,Vall Hebron,15.377
2020,1,41.3875,2.1151,Palau Reial,13.502
2020,2,41.3875,2.1151,Palau Reial,22.359
2020,3,41.3875,2.1151,Palau Reial,16.251
2020,4,41.3875,2.1151,Palau Reial,10.838
2020,5,41.3875,2.1151,Palau Reial,28.364
2020,6,41.4039,2.2045,Poblenou,26.593
2020,7,41.4039,2.2045,Poblenou,20.227
2020,8,41.4039,2.2045,Poblenou,17.647
2020,9,41.4039,2.2045,Poblenou,16.075
2020,6,41.3788,2.1331,Sants,16.210
2020,7,41.3788,2.1331,Sants,10.196
2020,8,41.3788,2.1331,Sants,11.378
2020,9,41.3788,2.1331,Sants,11.199
2020,6,41.3853,2.1538,Eixample,47.151
2020,7,41.3853,2.1538,Eixample,25.953
2020,8,41.3853,2.1538,Eixample,31.229
2020,9,41.3853,2.1538,Eixample,25.435
