Ort,Datum,Wert
Poblenou,2020-01-01 01,31
Poblenou,2020-01-01 02,36
Poblenou,2020-01-01 03,31
Poblenou,2020-01-01 04,17
Poblenou,2020-01-01 05,25
Poblenou,2020-01-01 06,41
Poblenou,2020-01-01 07,51
Poblenou,2020-01-01 08,60
Poblenou,2020-01-01 09,63
Poblenou,2020-01-01 10,51
Poblenou,2020-01-01 11,45
Poblenou,2020-01-01 12,40
Poblenou,2020-01-01 13,36
Poblenou,2020-01-01 14,35
Poblenou,2020-01-01 15,35
Poblenou,2020-01-01 16,29
Poblenou,2020-01-01 17,26
Poblenou,2020-01-01 18,26
Poblenou,2020-01-01 19,34
Poblenou,2020-01-01 20,92
Poblenou,2020-01-01 21,127
Poblenou,2020-01-01 22,131
Poblenou,2020-01-01 23,103
Poblenou,2020-01-01 24,98
Sants,2020-01-01 01,20
Sants,2020-01-01 02,28
Sants,2020-01-01 03,27
Sants,2020-01-01 04,18
Sants,2020-01-01 05,18
Sants,2020-01-01 06,20
Sants,2020-01-01 07,18
Sants,2020-01-01 08,26
Sants,2020-01-01 09,42
Sants,2020-01-01 10,43
Sants,2020-01-01 11,47
Sants,2020-01-01 12,28
Sants,2020-01-01 13,24
Sants,2020-01-01 14,20
Sants,2020-01-01 15,24
Sants,2020-01-01 16,26
Sants,2020-01-01 17,28
Sants,2020-01-01 18,25
Sants,2020-01-01 19,26
Sants,2020-01-01 20,42
Sants,2020-01-01 21,54
Sants,2020-01-01 22,31
Sants,2020-01-01 23,76
Sants,2020-01-01 24,76
Eixample,2020-01-01 01,36
Eixample,2020-01-01 02,41
Eixample,2020-01-01 03,26
Eixample,2020-01-01 04,62
Eixample,2020-01-01 05,43
Eixample,2020-01-01 06,44
Eixample,2020-01-01 07,43
Eixample,2020-01-01 08,56
Eixample,2020-01-01 09,60
Eixample,2020-01-01 10,53
Eixample,2020-01-01 11,49
Eixample,2020-01-01 12,37
Eixample,2020-01-01 13,34
Eixample,2020-01-01 14,54
Eixample,2020-01-01 15,66
Eixample,2020-01-01 16,49
Eixample,2020-01-01 17,68
Eixample,2020-01-01 18,74
Eixample,2020-01-01 19,73
Eixample,2020-01-01 20,91
Eixample,2020-01-01 21,87
Eixample,2020-01-01 22,58
Eixample,2020-01-01 23,77
Eixample,2020-01-01 24,85
Gràcia,2020-01-01 01,70
Gràcia,2020-01-01 02,114
Gràcia,2020-01-01 03,122
Gràcia,2020-01-01 04,91
Gràcia,2020-01-01 05,87
Gràcia,2020-01-01 06,79
Gràcia,2020-01-01 07,55
Gràcia,2020-01-01 08,52
Gràcia,2020-01-01 09,36
Gràcia,2020-01-01 10,31
Gràcia,2020-01-01 11,28
Gràcia,2020-01-01 12,35
Gràcia,2020-01-01 13,40
Gràcia,2020-01-01 14,55
Gràcia,2020-01-01 15,61
Gràcia,2020-01-01 16,41
Gràcia,2020-01-01 17,55
Gràcia,2020-01-01 18,66
Gràcia,2020-01-01 19,64
Gràcia,2020-01-01 20,53
Gràcia,2020-01-01 21,100
Gràcia,2020-01-01 22,81
Gràcia,2020-01-01 23,81
Gràcia,2020-01-01 24,100
Ciutadella,2020-01-01 01,33
Ciutadella,2020-01-01 02,36
Ciutadella,2020-01-01 03,49
Ciutadella,2020-01-01 04,46
Ciutadella,2020-01-01 05,35
Ciutadella,2020-01-01 06,38
Ciutadella,2020-01-01 07,33
Ciutadella,2020-01-01 08,35
Ciutadella,2020-01-01 09,43
Ciutadella,2020-01-01 10,38
Ciutadella,2020-01-01 11,45
Ciutadella,2020-01-01 12,30
Ciutadella,2020-01-01 13,46
Ciutadella,2020-01-01 14,42
