Monat,Lat,Long,Ort,Durchschnitt
2019-04,41.4039,2.2045,Poblenou,40.970
2019-04,41.3788,2.1331,Sants,34.579
2019-04,41.3853,2.1538,Eixample,69.438
2019-04,41.3987,2.1534,Gràcia,49.435
2019-04,41.3864,2.1874,Ciutadella,34.127
2019-04,41.4261,2.148,Vall Hebron,38.507
2019-04,41.3875,2.1151,Palau Reial,21.621
2019-05,41.4039,2.2045,Poblenou,44.911
2019-05,41.3788,2.1331,Sants,33.228
2019-05,41.3853,2.1538,Eixample,86.891
2019-05,41.3987,2.1534,Gràcia,59.884
2019-05,41.3864,2.1874,Ciutadella,42.723
2019-05,41.4261,2.148,Vall Hebron,37.793
2019-05,41.3875,2.1151,Palau Reial,30.113
2019-06,41.4039,2.2045,Poblenou,47.848
2019-06,41.3788,2.1331,Sants,36.586
2019-06,41.3853,2.1538,Eixample,82.119
2019-06,41.3987,2.1534,Gràcia,58.110
2019-06,41.3864,2.1874,Ciutadella,42.526
2019-06,41.4261,2.148,Vall Hebron,36.304
2019-06,41.3875,2.1151,Palau Reial,37.129
2019-07,41.4039,2.2045,Poblenou,46.516
2019-07,41.3788,2.1331,Sants,35.932
2019-07,41.3853,2.1538,Eixample,91.266
2019-07,41.3987,2.1534,Gràcia,62.667
2019-07,41.3864,2.1874,Ciutadella,40.850
2019-07,41.4261,2.148,Vall Hebron,39.736
2019-07,41.3875,2.1151,Palau Reial,33.352
2019-08,41.4039,2.2045,Poblenou,35.007
2019-08,41.3788,2.1331,Sants,21.738
2019-08,41.3853,2.1538,Eixample,60.442
2019-08,41.3987,2.1534,Gràcia,47.337
2019-08,41.3864,2.1874,Ciutadella,32.558
2019-08,41.4261,2.148,Vall Hebron,26.660
2019-08,41.3875,2.1151,Palau Reial,26.027
2019-09,41.4039,2.2045,Poblenou,41.658
2019-09,41.3788,2.1331,Sants,38.165
2019-09,41.3853,2.1538,Eixample,89.832
2019-09,41.3987,2.1534,Gràcia,60.797
2019-09,41.3864,2.1874,Ciutadella,36.271
2019-09,41.4261,2.148,Vall Hebron,32.206
2019-09,41.3875,2.1151,Palau Reial,33.683
2019-10,41.4039,2.2045,Poblenou,61.156
2019-10,41.3788,2.1331,Sants,44.186
2019-10,41.3853,2.1538,Eixample,99.709
2019-10,41.3987,2.1534,Gràcia,71.629
2019-10,41.3864,2.1874,Ciutadella,54.446
2019-10,41.4261,2.148,Vall Hebron,40.104
2019-10,41.3875,2.1151,Palau Reial,41.137
2019-11,41.4039,2.2045,Poblenou,65.164
2019-11,41.3788,2.1331,Sants,44.211
2019-11,41.3853,2.1538,Eixample,97.430
2019-11,41.3987,2.1534,Gràcia,59.400
2019-11,41.3864,2.1874,Ciutadella,52.196
2019-11,41.4261,2.148,Vall Hebron,34.202
2019-11,41.3875,2.1151,Palau Reial,38.543
2019-12,41.4039,2.2045,Poblenou,69.667
2019-12,41.3788,2.1331,Sants,46.708
2019-12,41.3853,2.1538,Eixample,101.395
