Datum,Lat,Long,Ort,Durchschnitt
2019-04-02,41.4039,2.2045,Poblenou,86.364
2019-04-03,41.4039,2.2045,Poblenou,30.958
2019-04-04,41.4039,2.2045,Poblenou,32.792
2019-04-05,41.4039,2.2045,Poblenou,72.125
2019-04-06,41.4039,2.2045,Poblenou,30.375
2019-04-07,41.4039,2.2045,Poblenou,30.833
2019-04-08,41.4039,2.2045,Poblenou,74.167
2019-04-09,41.4039,2.2045,Poblenou,59.167
2019-04-10,41.4039,2.2045,Poblenou,59.250
2019-04-11,41.4039,2.2045,Poblenou,42.083
2019-04-12,41.4039,2.2045,Poblenou,43.667
2019-04-13,41.4039,2.2045,Poblenou,38.500
2019-04-14,41.4039,2.2045,Poblenou,37.667
2019-04-15,41.4039,2.2045,Poblenou,34.250
2019-04-16,41.4039,2.2045,Poblenou,42.476
2019-04-17,41.4039,2.2045,Poblenou,34.458
2019-04-18,41.4039,2.2045,Poblenou,14.542
2019-04-19,41.4039,2.2045,Poblenou,11.875
2019-04-20,41.4039,2.2045,Poblenou,25.292
2019-04-21,41.4039,2.2045,Poblenou,10.583
2019-04-22,41.4039,2.2045,Poblenou,14.375
2019-04-23,41.4039,2.2045,Poblenou,60.083
2019-04-24,41.4039,2.2045,Poblenou,42.167
2019-04-25,41.4039,2.2045,Poblenou,46.667
2019-04-26,41.4039,2.2045,Poblenou,24.542
2019-04-27,41.4039,2.2045,Poblenou,41.958
2019-04-28,41.4039,2.2045,Poblenou,58.714
2019-04-29,41.4039,2.2045,Poblenou,41.417
2019-04-30,41.4039,2.2045,Poblenou,46.792
2019-04-02,41.3788,2.1331,Sants,53.042
2019-04-03,41.3788,2.1331,Sants,31.792
2019-04-04,41.3788,2.1331,Sants,32.667
2019-04-05,41.3788,2.1331,Sants,62.625
2019-04-06,41.3788,2.1331,Sants,23.917
2019-04-07,41.3788,2.1331,Sants,30.125
2019-04-08,41.3788,2.1331,Sants,51.091
2019-04-09,41.3788,2.1331,Sants,56.625
2019-04-10,41.3788,2.1331,Sants,46.125
2019-04-11,41.3788,2.1331,Sants,47.917
2019-04-12,41.3788,2.1331,Sants,50.708
2019-04-13,41.3788,2.1331,Sants,38.083
2019-04-14,41.3788,2.1331,Sants,33.417
2019-04-15,41.3788,2.1331,Sants,33.875
2019-04-16,41.3788,2.1331,Sants,33.958
2019-04-17,41.3788,2.1331,Sants,43.542
2019-04-18,41.3788,2.1331,Sants,22.458
2019-04-19,41.3788,2.1331,Sants,14.875
2019-04-20,41.3788,2.1331,Sants,16.000
2019-04-21,41.3788,2.1331,Sants,14.042
2019-04-22,41.3788,2.1331,Sants,17.125
2019-04-23,41.3788,2.1331,Sants,42.870
2019-04-24,41.3788,2.1331,Sants,25.417
2019-04-25,41.3788,2.1331,Sants,25.583
2019-04-26,41.3788,2.1331,Sants,21.458
2019-04-27,41.3788,2.1331,Sants,36.542
2019-04-28,41.3788,2.1331,Sants,43.571
2019-04-29,41.3788,2.1331,Sants,27.875
2019-04-30,41.3788,2.1331,Sants,25.458
2019-04-02,41.3853,2.1538,Eixample,88.375
2019-04-03,41.3853,2.1538,Eixample,72.250
2019-04-04,41.3853,2.1538,Eixample,75.167
2019-04-05,41.3853,2.1538,Eixample,119.542
2019-04-06,41.3853,2.1538,Eixample,39.458
2019-04-07,41.3853,2.1538,Eixample,43.083
2019-04-08,41.3853,2.1538,Eixample,107.048
2019-04-09,41.3853,2.1538,Eixample,92.833
2019-04-10,41.3853,2.1538,Eixample,75.458
2019-04-11,41.3853,2.1538,Eixample,91.500
2019-04-12,41.3853,2.1538,Eixample,96.542
2019-04-13,41.3853,2.1538,Eixample,69.750
2019-04-14,41.3853,2.1538,Eixample,63.095
2019-04-15,41.3853,2.1538,Eixample,65.182
2019-04-16,41.3853,2.1538,Eixample,75.750
2019-04-17,41.3853,2.1538,Eixample,78.333
2019-04-18,41.3853,2.1538,Eixample,50.583
2019-04-19,41.3853,2.1538,Eixample,27.083
2019-04-20,41.3853,2.1538,Eixample,33.583
2019-04-21,41.3853,2.1538,Eixample,27.083
2019-04-22,41.3853,2.1538,Eixample,32.208
2019-04-23,41.3853,2.1538,Eixample,90.800
2019-04-24,41.3853,2.1538,Eixample,62.208
2019-04-25,41.3853,2.1538,Eixample,67.792
2019-04-26,41.3853,2.1538,Eixample,59.292
2019-04-27,41.3853,2.1538,Eixample,81.167
2019-04-28,41.3853,2.1538,Eixample,71.000
