Jahr,Wochennummer,Lat,Long,Ort,Durchschnitt
2019,14,41.4039,2.2045,Poblenou,47.241
2019,15,41.4039,2.2045,Poblenou,50.643
2019,16,41.4039,2.2045,Poblenou,24.782
2019,17,41.4039,2.2045,Poblenou,41.215
2019,18,41.4039,2.2045,Poblenou,39.863
2019,14,41.3788,2.1331,Sants,39.028
2019,15,41.3788,2.1331,Sants,46.281
2019,16,41.3788,2.1331,Sants,25.536
2019,17,41.3788,2.1331,Sants,30.367
2019,18,41.3788,2.1331,Sants,31.422
2019,14,41.3853,2.1538,Eixample,72.979
2019,15,41.3853,2.1538,Eixample,85.175
2019,16,41.3853,2.1538,Eixample,51.085
2019,17,41.3853,2.1538,Eixample,66.352
2019,18,41.3853,2.1538,Eixample,73.589
2019,14,41.3987,2.1534,Gràcia,54.535
2019,15,41.3987,2.1534,Gràcia,64.992
2019,16,41.3987,2.1534,Gràcia,31.863
2019,17,41.3987,2.1534,Gràcia,45.720
2019,18,41.3987,2.1534,Gràcia,50.161
2019,14,41.3864,2.1874,Ciutadella,41.410
2019,15,41.3864,2.1874,Ciutadella,43.941
2019,16,41.3864,2.1874,Ciutadella,14.943
2019,17,41.3864,2.1874,Ciutadella,35.643
2019,18,41.3864,2.1874,Ciutadella,36.262
2019,14,41.4261,2.148,Vall Hebron,49.285
2019,15,41.4261,2.148,Vall Hebron,48.119
2019,16,41.4261,2.148,Vall Hebron,20.125
2019,17,41.4261,2.148,Vall Hebron,39.767
2019,18,41.4261,2.148,Vall Hebron,33.703
2019,14,41.3875,2.1151,Palau Reial,29.438
2019,15,41.3875,2.1151,Palau Reial,29.513
2019,16,41.3875,2.1151,Palau Reial,11.762
2019,17,41.3875,2.1151,Palau Reial,17.809
2019,18,41.3875,2.1151,Palau Reial,23.708
2019,19,41.4039,2.2045,Poblenou,34.432
2019,20,41.4039,2.2045,Poblenou,41.072
2019,21,41.4039,2.2045,Poblenou,58.188
2019,22,41.4039,2.2045,Poblenou,50.524
2019,19,41.3788,2.1331,Sants,34.042
2019,20,41.3788,2.1331,Sants,29.357
2019,21,41.3788,2.1331,Sants,35.092
2019,22,41.3788,2.1331,Sants,33.000
2019,19,41.3853,2.1538,Eixample,75.487
2019,20,41.3853,2.1538,Eixample,82.583
2019,21,41.3853,2.1538,Eixample,101.633
2019,22,41.3853,2.1538,Eixample,90.237
2019,19,41.3987,2.1534,Gràcia,47.011
2019,20,41.3987,2.1534,Gràcia,54.911
2019,21,41.3987,2.1534,Gràcia,72.891
2019,22,41.3987,2.1534,Gràcia,61.147
2019,19,41.3864,2.1874,Ciutadella,35.347
2019,20,41.3864,2.1874,Ciutadella,36.256
2019,21,41.3864,2.1874,Ciutadella,54.633
2019,22,41.3864,2.1874,Ciutadella,51.821
2019,19,41.4261,2.148,Vall Hebron,30.628
2019,20,41.4261,2.148,Vall Hebron,36.303
2019,21,41.4261,2.148,Vall Hebron,48.800
2019,22,41.4261,2.148,Vall Hebron,32.423
2019,19,41.3875,2.1151,Palau Reial,23.673
2019,20,41.3875,2.1151,Palau Reial,28.416
2019,21,41.3875,2.1151,Palau Reial,33.829
2019,22,41.3875,2.1151,Palau Reial,35.119
2019,23,41.4039,2.2045,Poblenou,42.178
2019,24,41.4039,2.2045,Poblenou,43.948
2019,25,41.4039,2.2045,Poblenou,49.472
2019,26,41.4039,2.2045,Poblenou,52.387
2019,23,41.3788,2.1331,Sants,29.007
2019,24,41.3788,2.1331,Sants,36.767
2019,25,41.3788,2.1331,Sants,33.715
2019,26,41.3788,2.1331,Sants,49.518
2019,23,41.3853,2.1538,Eixample,67.899
2019,24,41.3853,2.1538,Eixample,65.839
2019,25,41.3853,2.1538,Eixample,77.715
2019,26,41.3853,2.1538,Eixample,119.379
2019,23,41.3987,2.1534,Gràcia,41.287
2019,24,41.3987,2.1534,Gràcia,49.061
2019,25,41.3987,2.1534,Gràcia,58.868
2019,26,41.3987,2.1534,Gràcia,88.875
2019,23,41.3864,2.1874,Ciutadella,34.843
2019,24,41.3864,2.1874,Ciutadella,38.036
2019,25,41.3864,2.1874,Ciutadella,43.415
2019,26,41.3864,2.1874,Ciutadella,49.042
2019,23,41.4261,2.148,Vall Hebron,30.951
2019,24,41.4261,2.148,Vall Hebron,32.036
2019,25,41.4261,2.148,Vall Hebron,34.333
2019,26,41.4261,2.148,Vall Hebron,49.982
2019,23,41.3875,2.1151,Palau Reial,27.839
2019,24,41.3875,2.1151,Palau Reial,32.221
2019,25,41.3875,2.1151,Palau Reial,36.468
2019,26,41.3875,2.1151,Palau Reial,53.702
2019,27,41.4039,2.2045,Poblenou,44.393
2019,28,41.4039,2.2045,Poblenou,50.881
2019,29,41.4039,2.2045,Poblenou,40.180
2019,30,41.4039,2.2045,Poblenou,49.721
2019,31,41.4039,2.2045,Poblenou,43.517
2019,27,41.3788,2.1331,Sants,39.395
2019,28,41.3788,2.1331,Sants,34.607
2019,29,41.3788,2.1331,Sants,27.283
2019,30,41.3788,2.1331,Sants,49.271
2019,31,41.3788,2.1331,Sants,25.309
2019,27,41.3853,2.1538,Eixample,94.377
2019,28,41.3853,2.1538,Eixample,87.435
2019,29,41.3853,2.1538,Eixample,75.449
2019,30,41.3853,2.1538,Eixample,118.833
2019,31,41.3853,2.1538,Eixample,67.246
2019,27,41.3987,2.1534,Gràcia,63.952
2019,28,41.3987,2.1534,Gràcia,60.292
2019,29,41.3987,2.1534,Gràcia,48.878
2019,30,41.3987,2.1534,Gràcia,87.906
2019,31,41.3987,2.1534,Gràcia,49.509
2019,27,41.3864,2.1874,Ciutadella,44.081
2019,28,41.3864,2.1874,Ciutadella,46.212
2019,29,41.3864,2.1874,Ciutadella,33.587
2019,30,41.3864,2.1874,Ciutadella,37.750
2019,31,41.3864,2.1874,Ciutadella,41.487
2019,27,41.4261,2.148,Vall Hebron,41.532
2019,28,41.4261,2.148,Vall Hebron,35.958
2019,29,41.4261,2.148,Vall Hebron,25.482
2019,30,41.4261,2.148,Vall Hebron,66.851
2019,31,41.4261,2.148,Vall Hebron,26.893
2019,27,41.3875,2.1151,Palau Reial,43.373
2019,28,41.3875,2.1151,Palau Reial,26.083
2019,29,41.3875,2.1151,Palau Reial,22.260
2019,30,41.3875,2.1151,Palau Reial,50.562
2019,31,41.3875,2.1151,Palau Reial,22.807
2019,32,41.4039,2.2045,Poblenou,34.242
2019,33,41.4039,2.2045,Poblenou,30.383
2019,34,41.4039,2.2045,Poblenou,28.382
2019,35,41.4039,2.2045,Poblenou,42.778
2019,32,41.3788,2.1331,Sants,25.029
2019,33,41.3788,2.1331,Sants,9.904
2019,34,41.3788,2.1331,Sants,18.953
2019,35,41.3788,2.1331,Sants,33.290
2019,32,41.3853,2.1538,Eixample,60.329
2019,33,41.3853,2.1538,Eixample,44.773
2019,34,41.3853,2.1538,Eixample,57.284
2019,35,41.3853,2.1538,Eixample,82.294
2019,32,41.3987,2.1534,Gràcia,44.568
