Ort,Datum,Wert
Eixample,2019-04-02 01,75
Eixample,2019-04-02 02,71
Eixample,2019-04-02 03,63
Eixample,2019-04-02 04,55
Eixample,2019-04-02 05,34
Eixample,2019-04-02 06,9
Eixample,2019-04-02 07,5
Eixample,2019-04-02 08,2
Eixample,2019-04-02 09,2
Eixample,2019-04-02 10,8
Eixample,2019-04-02 11,35
Eixample,2019-04-02 12,48
Eixample,2019-04-02 13,65
Eixample,2019-04-02 14,70
Eixample,2019-04-02 15,85
Eixample,2019-04-02 16,78
Eixample,2019-04-02 17,83
Eixample,2019-04-02 18,72
Eixample,2019-04-02 19,76
Eixample,2019-04-02 20,64
Eixample,2019-04-02 21,47
Eixample,2019-04-02 22,53
Eixample,2019-04-02 23,83
Eixample,2019-04-02 24,81
Eixample,2019-04-03 01,75
Eixample,2019-04-03 02,68
Eixample,2019-04-03 03,75
Eixample,2019-04-03 04,77
Eixample,2019-04-03 05,79
Eixample,2019-04-03 06,74
Eixample,2019-04-03 07,61
Eixample,2019-04-03 08,27
Eixample,2019-04-03 09,20
Eixample,2019-04-03 10,30
Eixample,2019-04-03 11,46
Eixample,2019-04-03 12,53
Eixample,2019-04-03 13,52
Eixample,2019-04-03 14,49
Eixample,2019-04-03 15,71
Eixample,2019-04-03 16,61
Eixample,2019-04-03 17,49
Eixample,2019-04-03 18,45
Eixample,2019-04-03 19,46
Eixample,2019-04-03 20,44
Eixample,2019-04-03 21,49
Eixample,2019-04-03 22,54
Eixample,2019-04-03 23,53
Eixample,2019-04-03 24,47
Eixample,2019-04-04 01,65
Eixample,2019-04-04 02,74
Eixample,2019-04-04 03,77
Eixample,2019-04-04 04,75
Eixample,2019-04-04 05,72
Eixample,2019-04-04 06,70
Eixample,2019-04-04 07,62
Eixample,2019-04-04 08,41
Eixample,2019-04-04 09,42
Eixample,2019-04-04 10,50
Eixample,2019-04-04 11,47
Eixample,2019-04-04 12,52
Eixample,2019-04-04 13,57
Eixample,2019-04-04 14,61
