Monat,Lat,Long,Ort,Durchschnitt
2019-04,41.3853,2.1538,Eixample,62.781
2019-04,41.3987,2.1534,Gràcia,60.360
2019-04,41.3864,2.1874,Ciutadella,64.495
2019-04,41.4261,2.148,Vall Hebron,75.683
2019-04,41.3875,2.1151,Palau Reial,72.238
2019-05,41.3853,2.1538,Eixample,48.543
2019-05,41.3987,2.1534,Gràcia,47.527
2019-05,41.3864,2.1874,Ciutadella,48.993
2019-05,41.4261,2.148,Vall Hebron,63.858
2019-05,41.3875,2.1151,Palau Reial,62.643
2019-06,41.3853,2.1538,Eixample,50.212
2019-06,41.3987,2.1534,Gràcia,54.359
2019-06,41.3864,2.1874,Ciutadella,51.722
2019-06,41.4261,2.148,Vall Hebron,68.634
2019-06,41.3875,2.1151,Palau Reial,66.617
2019-07,41.3853,2.1538,Eixample,41.178
2019-07,41.3987,2.1534,Gràcia,53.397
2019-07,41.3864,2.1874,Ciutadella,48.355
2019-07,41.4261,2.148,Vall Hebron,63.682
2019-07,41.3875,2.1151,Palau Reial,60.128
2019-08,41.3853,2.1538,Eixample,49.212
2019-08,41.3987,2.1534,Gràcia,56.842
2019-08,41.3864,2.1874,Ciutadella,56.582
2019-08,41.4261,2.148,Vall Hebron,71.086
2019-08,41.3875,2.1151,Palau Reial,62.370
2019-09,41.3853,2.1538,Eixample,39.145
2019-09,41.3987,2.1534,Gràcia,49.647
2019-09,41.3864,2.1874,Ciutadella,52.586
2019-09,41.4261,2.148,Vall Hebron,61.525
2019-09,41.3875,2.1151,Palau Reial,60.552
2019-10,41.3853,2.1538,Eixample,26.099
2019-10,41.3987,2.1534,Gràcia,34.436
2019-10,41.3864,2.1874,Ciutadella,33.932
2019-10,41.4261,2.148,Vall Hebron,44.413
2019-10,41.3875,2.1151,Palau Reial,45.809
2019-11,41.3853,2.1538,Eixample,23.946
2019-11,41.3987,2.1534,Gràcia,31.199
2019-11,41.3864,2.1874,Ciutadella,30.220
2019-11,41.4261,2.148,Vall Hebron,41.348
2019-11,41.3875,2.1151,Palau Reial,42.484
2019-12,41.3853,2.1538,Eixample,19.809
2019-12,41.3987,2.1534,Gràcia,26.594
2019-12,41.3864,2.1874,Ciutadella,25.386
2019-12,41.4261,2.148,Vall Hebron,35.623
2019-12,41.3875,2.1151,Palau Reial,37.592
2020-01,41.3853,2.1538,Eixample,19.519
2020-01,41.3987,2.1534,Gràcia,27.175
2020-01,41.3864,2.1874,Ciutadella,22.935
2020-01,41.4261,2.148,Vall Hebron,37.588
2020-01,41.3875,2.1151,Palau Reial,35.899
2020-02,41.3853,2.1538,Eixample,27.182
2020-02,41.3987,2.1534,Gràcia,32.879
2020-02,41.3864,2.1874,Ciutadella,31.661
2020-02,41.4261,2.148,Vall Hebron,43.286
2020-02,41.3875,2.1151,Palau Reial,41.808
2020-03,41.3853,2.1538,Eixample,53.548
2020-03,41.3987,2.1534,Gràcia,57.232
2020-03,41.3864,2.1874,Ciutadella,55.717
2020-03,41.4261,2.148,Vall Hebron,61.217
2020-03,41.3875,2.1151,Palau Reial,65.829
2020-04,41.3853,2.1538,Eixample,62.730
2020-04,41.3987,2.1534,Gràcia,67.871
2020-04,41.3864,2.1874,Ciutadella,62.768
2020-04,41.4261,2.148,Vall Hebron,70.201
2020-04,41.3875,2.1151,Palau Reial,75.890
2020-05,41.3853,2.1538,Eixample,50.167
2020-05,41.3987,2.1534,Gràcia,58.257
2020-05,41.3864,2.1874,Ciutadella,54.652
2020-05,41.4261,2.148,Vall Hebron,68.814
2020-05,41.3875,2.1151,Palau Reial,68.829
2020-06,41.3853,2.1538,Eixample,46.369
2020-06,41.3987,2.1534,Gràcia,52.579
2020-06,41.3864,2.1874,Ciutadella,52.638
2020-06,41.4261,2.148,Vall Hebron,62.000
2020-06,41.3875,2.1151,Palau Reial,61.258
2020-07,41.3853,2.1538,Eixample,48.877
2020-07,41.3987,2.1534,Gràcia,53.385
2020-07,41.3864,2.1874,Ciutadella,56.084
2020-07,41.4261,2.148,Vall Hebron,64.749
2020-07,41.3875,2.1151,Palau Reial,61.391
2020-08,41.3853,2.1538,Eixample,47.991
2020-08,41.3987,2.1534,Gràcia,51.618
2020-08,41.3864,2.1874,Ciutadella,52.819
2020-08,41.4261,2.148,Vall Hebron,59.516
2020-08,41.3875,2.1151,Palau Reial,56.269
2020-09,41.3853,2.1538,Eixample,43.005
2020-09,41.3987,2.1534,Gràcia,47.718
2020-09,41.3864,2.1874,Ciutadella,50.406
2020-09,41.4261,2.148,Vall Hebron,60.475
2020-09,41.3875,2.1151,Palau Reial,60.673
2020-10,41.3853,2.1538,Eixample,31.914
2020-10,41.3987,2.1534,Gràcia,38.432
2020-10,41.3864,2.1874,Ciutadella,40.233
2020-10,41.4261,2.148,Vall Hebron,48.088
2020-10,41.3875,2.1151,Palau Reial,49.118
2020-11,41.3853,2.1538,Eixample,22.447
2020-11,41.3987,2.1534,Gràcia,25.930
2020-11,41.3864,2.1874,Ciutadella,28.850
2020-11,41.4261,2.148,Vall Hebron,37.919
2020-11,41.3875,2.1151,Palau Reial,39.495
