Datum,Lat,Long,Ort,Durchschnitt
2019-04-02,41.3853,2.1538,Eixample,52.667
2019-04-03,41.3853,2.1538,Eixample,54.375
2019-04-04,41.3853,2.1538,Eixample,58.375
2019-04-05,41.3853,2.1538,Eixample,47.042
2019-04-06,41.3853,2.1538,Eixample,63.792
2019-04-07,41.3853,2.1538,Eixample,61.708
2019-04-08,41.3853,2.1538,Eixample,40.667
2019-04-09,41.3853,2.1538,Eixample,41.958
2019-04-10,41.3853,2.1538,Eixample,40.542
2019-04-11,41.3853,2.1538,Eixample,41.417
2019-04-12,41.3853,2.1538,Eixample,48.917
2019-04-13,41.3853,2.1538,Eixample,65.583
2019-04-14,41.3853,2.1538,Eixample,71.417
2019-04-15,41.3853,2.1538,Eixample,68.125
2019-04-16,41.3853,2.1538,Eixample,69.958
2019-04-17,41.3853,2.1538,Eixample,62.625
2019-04-18,41.3853,2.1538,Eixample,83.833
2019-04-19,41.3853,2.1538,Eixample,109.917
2019-04-20,41.3853,2.1538,Eixample,112.292
2019-04-21,41.3853,2.1538,Eixample,108.083
2019-04-22,41.3853,2.1538,Eixample,98.167
2019-04-23,41.3853,2.1538,Eixample,43.000
2019-04-24,41.3853,2.1538,Eixample,61.750
2019-04-25,41.3853,2.1538,Eixample,56.708
2019-04-26,41.3853,2.1538,Eixample,62.833
2019-04-27,41.3853,2.1538,Eixample,55.458
2019-04-28,41.3853,2.1538,Eixample,32.429
2019-04-29,41.3853,2.1538,Eixample,53.875
2019-04-30,41.3853,2.1538,Eixample,53.125
2019-04-02,41.3987,2.1534,Gràcia,51.417
2019-04-03,41.3987,2.1534,Gràcia,54.083
2019-04-04,41.3987,2.1534,Gràcia,59.208
2019-04-05,41.3987,2.1534,Gràcia,50.125
2019-04-06,41.3987,2.1534,Gràcia,59.667
2019-04-07,41.3987,2.1534,Gràcia,59.667
2019-04-08,41.3987,2.1534,Gràcia,48.375
2019-04-09,41.3987,2.1534,Gràcia,41.417
2019-04-10,41.3987,2.1534,Gràcia,41.609
2019-04-11,41.3987,2.1534,Gràcia,46.292
2019-04-12,41.3987,2.1534,Gràcia,50.750
2019-04-13,41.3987,2.1534,Gràcia,60.667
2019-04-14,41.3987,2.1534,Gràcia,69.042
2019-04-15,41.3987,2.1534,Gràcia,66.208
2019-04-16,41.3987,2.1534,Gràcia,65.958
2019-04-17,41.3987,2.1534,Gràcia,60.000
2019-04-18,41.3987,2.1534,Gràcia,77.208
2019-04-19,41.3987,2.1534,Gràcia,95.375
2019-04-20,41.3987,2.1534,Gràcia,100.417
2019-04-21,41.3987,2.1534,Gràcia,94.292
2019-04-22,41.3987,2.1534,Gràcia,89.542
2019-04-23,41.3987,2.1534,Gràcia,45.250
2019-04-24,41.3987,2.1534,Gràcia,61.625
2019-04-25,41.3987,2.1534,Gràcia,52.913
2019-04-26,41.3987,2.1534,Gràcia,61.833
2019-04-27,41.3987,2.1534,Gràcia,53.083
2019-04-28,41.3987,2.1534,Gràcia,32.571
2019-04-29,41.3987,2.1534,Gràcia,51.583
2019-04-30,41.3987,2.1534,Gràcia,50.250
2019-04-02,41.3864,2.1874,Ciutadella,47.750
2019-04-03,41.3864,2.1874,Ciutadella,56.583
2019-04-04,41.3864,2.1874,Ciutadella,73.708
2019-04-05,41.3864,2.1874,Ciutadella,33.500
2019-04-06,41.3864,2.1874,Ciutadella,66.500
2019-04-07,41.3864,2.1874,Ciutadella,67.125
2019-04-08,41.3864,2.1874,Ciutadella,39.375
2019-04-09,41.3864,2.1874,Ciutadella,48.167
2019-04-10,41.3864,2.1874,Ciutadella,38.667
2019-04-11,41.3864,2.1874,Ciutadella,52.417
2019-04-12,41.3864,2.1874,Ciutadella,60.500
2019-04-13,41.3864,2.1874,Ciutadella,61.917
2019-04-14,41.3864,2.1874,Ciutadella,67.292
2019-04-15,41.3864,2.1874,Ciutadella,74.435
2019-04-16,41.3864,2.1874,Ciutadella,71.458
2019-04-17,41.3864,2.1874,Ciutadella,70.208
2019-04-18,41.3864,2.1874,Ciutadella,91.875
2019-04-19,41.3864,2.1874,Ciutadella,110.083
2019-04-20,41.3864,2.1874,Ciutadella,115.542
2019-04-21,41.3864,2.1874,Ciutadella,106.833
2019-04-22,41.3864,2.1874,Ciutadella,99.417
2019-04-23,41.3864,2.1874,Ciutadella,39.583
2019-04-24,41.3864,2.1874,Ciutadella,58.333
2019-04-25,41.3864,2.1874,Ciutadella,53.625
2019-04-26,41.3864,2.1874,Ciutadella,73.333
2019-04-27,41.3864,2.1874,Ciutadella,62.542
2019-04-28,41.3864,2.1874,Ciutadella,24.286
2019-04-29,41.3864,2.1874,Ciutadella,58.667
2019-04-30,41.3864,2.1874,Ciutadella,46.625
2019-04-02,41.4261,2.148,Vall Hebron,57.083
2019-04-03,41.4261,2.148,Vall Hebron,70.417
2019-04-04,41.4261,2.148,Vall Hebron,75.167
2019-04-05,41.4261,2.148,Vall Hebron,59.083
2019-04-06,41.4261,2.148,Vall Hebron,69.958
2019-04-07,41.4261,2.148,Vall Hebron,76.167
2019-04-08,41.4261,2.148,Vall Hebron,65.250
2019-04-09,41.4261,2.148,Vall Hebron,57.130
2019-04-10,41.4261,2.148,Vall Hebron,60.333
2019-04-11,41.4261,2.148,Vall Hebron,63.708
2019-04-12,41.4261,2.148,Vall Hebron,67.292
2019-04-13,41.4261,2.148,Vall Hebron,71.958
2019-04-14,41.4261,2.148,Vall Hebron,75.958
2019-04-15,41.4261,2.148,Vall Hebron,78.875
2019-04-16,41.4261,2.148,Vall Hebron,88.292
2019-04-17,41.4261,2.148,Vall Hebron,72.708
2019-04-18,41.4261,2.148,Vall Hebron,94.250
2019-04-19,41.4261,2.148,Vall Hebron,118.625
2019-04-20,41.4261,2.148,Vall Hebron,123.917
2019-04-21,41.4261,2.148,Vall Hebron,118.750
2019-04-22,41.4261,2.148,Vall Hebron,112.333
2019-04-23,41.4261,2.148,Vall Hebron,70.333
2019-04-24,41.4261,2.148,Vall Hebron,84.375
2019-04-25,41.4261,2.148,Vall Hebron,74.917
2019-04-26,41.4261,2.148,Vall Hebron,71.583
2019-04-27,41.4261,2.148,Vall Hebron,67.042
2019-04-28,41.4261,2.148,Vall Hebron,16.500
2019-04-29,41.4261,2.148,Vall Hebron,68.417
2019-04-30,41.4261,2.148,Vall Hebron,64.375
2019-04-02,41.3875,2.1151,Palau Reial,48.875
2019-04-03,41.3875,2.1151,Palau Reial,52.792
2019-04-04,41.3875,2.1151,Palau Reial,56.000
2019-04-05,41.3875,2.1151,Palau Reial,49.958
2019-04-06,41.3875,2.1151,Palau Reial,52.083
2019-04-07,41.3875,2.1151,Palau Reial,54.292
2019-04-08,41.3875,2.1151,Palau Reial,53.286
2019-04-09,41.3875,2.1151,Palau Reial,47.500
2019-04-10,41.3875,2.1151,Palau Reial,56.750
2019-04-11,41.3875,2.1151,Palau Reial,62.458
2019-04-12,41.3875,2.1151,Palau Reial,72.042
2019-04-13,41.3875,2.1151,Palau Reial,83.750
2019-04-14,41.3875,2.1151,Palau Reial,81.375
2019-04-15,41.3875,2.1151,Palau Reial,84.500
2019-04-16,41.3875,2.1151,Palau Reial,90.292
2019-04-17,41.3875,2.1151,Palau Reial,71.542
2019-04-18,41.3875,2.1151,Palau Reial,93.250
2019-04-19,41.3875,2.1151,Palau Reial,113.333
2019-04-20,41.3875,2.1151,Palau Reial,122.458
2019-04-21,41.3875,2.1151,Palau Reial,114.125
2019-04-22,41.3875,2.1151,Palau Reial,108.167
2019-04-23,41.3875,2.1151,Palau Reial,65.625
2019-04-24,41.3875,2.1151,Palau Reial,74.833
2019-04-25,41.3875,2.1151,Palau Reial,69.833
2019-04-26,41.3875,2.1151,Palau Reial,75.458
2019-04-27,41.3875,2.1151,Palau Reial,68.176
2019-04-28,41.3875,2.1151,Palau Reial,37.857
2019-04-29,41.3875,2.1151,Palau Reial,73.833
2019-04-30,41.3875,2.1151,Palau Reial,60.450
2019-05-01,41.3853,2.1538,Eixample,65.000
2019-05-02,41.3853,2.1538,Eixample,48.167
2019-05-03,41.3853,2.1538,Eixample,41.125
2019-05-04,41.3853,2.1538,Eixample,52.875
2019-05-05,41.3853,2.1538,Eixample,71.250
2019-05-06,41.3853,2.1538,Eixample,60.000
2019-05-10,41.3853,2.1538,Eixample,46.958
2019-05-11,41.3853,2.1538,Eixample,54.792
2019-05-12,41.3853,2.1538,Eixample,59.208
2019-05-13,41.3853,2.1538,Eixample,57.333
2019-05-14,41.3853,2.1538,Eixample,46.667
2019-05-15,41.3853,2.1538,Eixample,67.500
2019-05-16,41.3853,2.1538,Eixample,57.625
2019-05-17,41.3853,2.1538,Eixample,54.500
2019-05-18,41.3853,2.1538,Eixample,61.292
2019-05-19,41.3853,2.1538,Eixample,55.042
2019-05-20,41.3853,2.1538,Eixample,46.958
2019-05-21,41.3853,2.1538,Eixample,37.208
2019-05-22,41.3853,2.1538,Eixample,45.273
2019-05-23,41.3853,2.1538,Eixample,41.833
2019-05-24,41.3853,2.1538,Eixample,32.208
2019-05-25,41.3853,2.1538,Eixample,31.250
2019-05-26,41.3853,2.1538,Eixample,33.375
2019-05-27,41.3853,2.1538,Eixample,37.667
2019-05-28,41.3853,2.1538,Eixample,43.958
2019-05-29,41.3853,2.1538,Eixample,45.208
2019-05-30,41.3853,2.1538,Eixample,34.400
