Jahr,Wochennummer,Wochenbeginn,Lat,Long,Ort,Durchschnitt
2019,14,2019-04-01,41.3853,2.1538,Eixample,56.326
2019,15,2019-04-08,41.3853,2.1538,Eixample,50.072
2019,16,2019-04-15,41.3853,2.1538,Eixample,87.833
2019,17,2019-04-22,41.3853,2.1538,Eixample,58.621
2019,18,2019-04-29,41.3853,2.1538,Eixample,55.060
2019,14,2019-04-01,41.3987,2.1534,Gràcia,55.695
2019,15,2019-04-08,41.3987,2.1534,Gràcia,51.165
2019,16,2019-04-15,41.3987,2.1534,Gràcia,79.923
2019,17,2019-04-22,41.3987,2.1534,Gràcia,56.688
2019,18,2019-04-29,41.3987,2.1534,Gràcia,52.905
2019,14,2019-04-01,41.3864,2.1874,Ciutadella,57.528
2019,15,2019-04-08,41.3864,2.1874,Ciutadella,52.619
2019,16,2019-04-15,41.3864,2.1874,Ciutadella,91.491
2019,17,2019-04-22,41.3864,2.1874,Ciutadella,58.731
2019,18,2019-04-29,41.3864,2.1874,Ciutadella,54.673
2019,14,2019-04-01,41.4261,2.148,Vall Hebron,67.979
2019,15,2019-04-08,41.4261,2.148,Vall Hebron,65.947
2019,16,2019-04-15,41.4261,2.148,Vall Hebron,99.345
2019,17,2019-04-22,41.4261,2.148,Vall Hebron,71.012
2019,18,2019-04-29,41.4261,2.148,Vall Hebron,64.018
2019,14,2019-04-01,41.3875,2.1151,Palau Reial,52.333
2019,15,2019-04-08,41.3875,2.1151,Palau Reial,65.309
2019,16,2019-04-15,41.3875,2.1151,Palau Reial,98.500
2019,17,2019-04-22,41.3875,2.1151,Palau Reial,71.421
2019,18,2019-04-29,41.3875,2.1151,Palau Reial,66.213
2019,19,2019-05-06,41.3853,2.1538,Eixample,55.239
2019,20,2019-05-13,41.3853,2.1538,Eixample,57.137
2019,21,2019-05-20,41.3853,2.1538,Eixample,38.301
2019,22,2019-05-27,41.3853,2.1538,Eixample,42.230
2019,19,2019-05-06,41.3987,2.1534,Gràcia,53.908
2019,20,2019-05-13,41.3987,2.1534,Gràcia,54.475
2019,21,2019-05-20,41.3987,2.1534,Gràcia,39.240
2019,22,2019-05-27,41.3987,2.1534,Gràcia,43.494
2019,19,2019-05-06,41.3864,2.1874,Ciutadella,56.197
2019,20,2019-05-13,41.3864,2.1874,Ciutadella,57.964
2019,21,2019-05-20,41.3864,2.1874,Ciutadella,37.403
2019,22,2019-05-27,41.3864,2.1874,Ciutadella,41.363
2019,19,2019-05-06,41.4261,2.148,Vall Hebron,71.113
2019,20,2019-05-13,41.4261,2.148,Vall Hebron,74.607
2019,21,2019-05-20,41.4261,2.148,Vall Hebron,54.511
2019,22,2019-05-27,41.4261,2.148,Vall Hebron,62.190
2019,19,2019-05-06,41.3875,2.1151,Palau Reial,69.487
2019,20,2019-05-13,41.3875,2.1151,Palau Reial,72.354
2019,21,2019-05-20,41.3875,2.1151,Palau Reial,55.112
2019,22,2019-05-27,41.3875,2.1151,Palau Reial,55.744
2019,23,2019-06-03,41.3853,2.1538,Eixample,52.971
2019,24,2019-06-10,41.3853,2.1538,Eixample,46.019
2019,25,2019-06-17,41.3853,2.1538,Eixample,48.157
2019,26,2019-06-24,41.3853,2.1538,Eixample,53.214
2019,23,2019-06-03,41.3987,2.1534,Gràcia,54.964
2019,24,2019-06-10,41.3987,2.1534,Gràcia,46.134
2019,25,2019-06-17,41.3987,2.1534,Gràcia,52.293
2019,26,2019-06-24,41.3987,2.1534,Gràcia,63.316
2019,23,2019-06-03,41.3864,2.1874,Ciutadella,56.476
2019,24,2019-06-10,41.3864,2.1874,Ciutadella,44.207
2019,25,2019-06-17,41.3864,2.1874,Ciutadella,47.757
2019,26,2019-06-24,41.3864,2.1874,Ciutadella,60.726
2019,23,2019-06-03,41.4261,2.148,Vall Hebron,70.216
2019,24,2019-06-10,41.4261,2.148,Vall Hebron,59.352
2019,25,2019-06-17,41.4261,2.148,Vall Hebron,66.493
2019,26,2019-06-24,41.4261,2.148,Vall Hebron,76.524
2019,23,2019-06-03,41.3875,2.1151,Palau Reial,71.762
2019,24,2019-06-10,41.3875,2.1151,Palau Reial,57.371
2019,25,2019-06-17,41.3875,2.1151,Palau Reial,62.299
2019,26,2019-06-24,41.3875,2.1151,Palau Reial,74.697
2019,27,2019-07-01,41.3853,2.1538,Eixample,43.346
2019,28,2019-07-08,41.3853,2.1538,Eixample,42.032
2019,29,2019-07-15,41.3853,2.1538,Eixample,50.498
2019,30,2019-07-22,41.3853,2.1538,Eixample,23.229
2019,31,2019-07-29,41.3853,2.1538,Eixample,54.622
2019,27,2019-07-01,41.3987,2.1534,Gràcia,53.583
2019,28,2019-07-08,41.3987,2.1534,Gràcia,57.405
2019,29,2019-07-15,41.3987,2.1534,Gràcia,64.443
2019,30,2019-07-22,41.3987,2.1534,Gràcia,34.906
2019,31,2019-07-29,41.3987,2.1534,Gràcia,60.743
2019,27,2019-07-01,41.3864,2.1874,Ciutadella,42.171
2019,28,2019-07-08,41.3864,2.1874,Ciutadella,52.118
2019,29,2019-07-15,41.3864,2.1874,Ciutadella,57.048
2019,30,2019-07-22,41.3864,2.1874,Ciutadella,43.152
2019,31,2019-07-29,41.3864,2.1874,Ciutadella,57.902
2019,27,2019-07-01,41.4261,2.148,Vall Hebron,65.588
2019,28,2019-07-08,41.4261,2.148,Vall Hebron,61.126
2019,29,2019-07-15,41.4261,2.148,Vall Hebron,77.483
2019,30,2019-07-22,41.4261,2.148,Vall Hebron,49.104
2019,31,2019-07-29,41.4261,2.148,Vall Hebron,78.905
2019,27,2019-07-01,41.3875,2.1151,Palau Reial,55.664
2019,28,2019-07-08,41.3875,2.1151,Palau Reial,68.137
2019,29,2019-07-15,41.3875,2.1151,Palau Reial,72.954
2019,30,2019-07-22,41.3875,2.1151,Palau Reial,40.635
2019,31,2019-07-29,41.3875,2.1151,Palau Reial,74.415
2019,32,2019-08-05,41.3853,2.1538,Eixample,49.969
2019,33,2019-08-12,41.3853,2.1538,Eixample,44.845
2019,34,2019-08-19,41.3853,2.1538,Eixample,50.093
2019,35,2019-08-26,41.3853,2.1538,Eixample,43.470
2019,32,2019-08-05,41.3987,2.1534,Gràcia,54.941
2019,33,2019-08-12,41.3987,2.1534,Gràcia,52.787
2019,34,2019-08-19,41.3987,2.1534,Gràcia,59.274
2019,35,2019-08-26,41.3987,2.1534,Gràcia,53.528
2019,32,2019-08-05,41.3864,2.1874,Ciutadella,63.704
2019,33,2019-08-12,41.3864,2.1874,Ciutadella,46.345
2019,34,2019-08-19,41.3864,2.1874,Ciutadella,59.192
2019,35,2019-08-26,41.3864,2.1874,Ciutadella,55.131
2019,32,2019-08-05,41.4261,2.148,Vall Hebron,68.091
2019,33,2019-08-12,41.4261,2.148,Vall Hebron,61.355
2019,34,2019-08-19,41.4261,2.148,Vall Hebron,71.421
2019,35,2019-08-26,41.4261,2.148,Vall Hebron,72.244
2019,32,2019-08-05,41.3875,2.1151,Palau Reial,44.603
2019,33,2019-08-12,41.3875,2.1151,Palau Reial,56.711
2019,34,2019-08-19,41.3875,2.1151,Palau Reial,69.488
2019,35,2019-08-26,41.3875,2.1151,Palau Reial,65.128
2019,36,2019-09-02,41.3853,2.1538,Eixample,41.178
