Ort,Datum,Wert
Poblenou,2019-04-02 01,19
Poblenou,2019-04-02 02,20
Poblenou,2019-04-02 03,27
Poblenou,2019-04-02 04,33
Poblenou,2019-04-02 05,30
Poblenou,2019-04-02 06,32
Poblenou,2019-04-02 07,33
Poblenou,2019-04-02 08,67
Poblenou,2019-04-02 09,80
Poblenou,2019-04-02 10,125
Poblenou,2019-04-02 11,81
Poblenou,2019-04-02 12,75
Poblenou,2019-04-02 13,71
Poblenou,2019-04-02 14,72
Poblenou,2019-04-02 15,NA
Poblenou,2019-04-02 16,NA
Poblenou,2019-04-02 17,NA
Poblenou,2019-04-02 18,75
Poblenou,2019-04-02 19,105
Poblenou,2019-04-02 20,116
Poblenou,2019-04-02 21,51
Poblenou,2019-04-02 22,30
Poblenou,2019-04-02 23,18
Poblenou,2019-04-02 24,19
Poblenou,2019-04-03 01,18
Poblenou,2019-04-03 02,16
Poblenou,2019-04-03 03,15
Poblenou,2019-04-03 04,12
Poblenou,2019-04-03 05,15
Poblenou,2019-04-03 06,17
Poblenou,2019-04-03 07,18
Poblenou,2019-04-03 08,21
Poblenou,2019-04-03 09,22
Poblenou,2019-04-03 10,31
Poblenou,2019-04-03 11,29
Poblenou,2019-04-03 12,39
Poblenou,2019-04-03 13,42
Poblenou,2019-04-03 14,40
Poblenou,2019-04-03 15,38
Poblenou,2019-04-03 16,34
Poblenou,2019-04-03 17,47
Poblenou,2019-04-03 18,53
Poblenou,2019-04-03 19,27
Poblenou,2019-04-03 20,15
Poblenou,2019-04-03 21,17
Poblenou,2019-04-03 22,9
Poblenou,2019-04-03 23,10
Poblenou,2019-04-03 24,13
Poblenou,2019-04-04 01,8
Poblenou,2019-04-04 02,3
Poblenou,2019-04-04 03,5
Poblenou,2019-04-04 04,4
Poblenou,2019-04-04 05,4
Poblenou,2019-04-04 06,1
Poblenou,2019-04-04 07,2
Poblenou,2019-04-04 08,14
Poblenou,2019-04-04 09,15
Poblenou,2019-04-04 10,21
Poblenou,2019-04-04 11,22
Poblenou,2019-04-04 12,25
Poblenou,2019-04-04 13,17
Poblenou,2019-04-04 14,25
Poblenou,2019-04-04 15,26
Poblenou,2019-04-04 16,16
Poblenou,2019-04-04 17,15
Poblenou,2019-04-04 18,36
Poblenou,2019-04-04 19,43
Poblenou,2019-04-04 20,23
Poblenou,2019-04-04 21,20
Poblenou,2019-04-04 22,17
Poblenou,2019-04-04 23,16
Poblenou,2019-04-04 24,20
Poblenou,2019-04-05 01,20
Poblenou,2019-04-05 02,20
Poblenou,2019-04-05 03,25
Poblenou,2019-04-05 04,25
Poblenou,2019-04-05 05,21
Poblenou,2019-04-05 06,20
Poblenou,2019-04-05 07,22
Poblenou,2019-04-05 08,27
Poblenou,2019-04-05 09,55
Poblenou,2019-04-05 10,61
Poblenou,2019-04-05 11,52
Poblenou,2019-04-05 12,46
Poblenou,2019-04-05 13,40
Poblenou,2019-04-05 14,NA
Poblenou,2019-04-05 15,1
Poblenou,2019-04-05 16,36
Poblenou,2019-04-05 17,39
Poblenou,2019-04-05 18,46
Poblenou,2019-04-05 19,34
Poblenou,2019-04-05 20,31
Poblenou,2019-04-05 21,28
Poblenou,2019-04-05 22,19
Poblenou,2019-04-05 23,12
Poblenou,2019-04-05 24,12
Poblenou,2019-04-06 01,8
Poblenou,2019-04-06 02,8
Poblenou,2019-04-06 03,6
Poblenou,2019-04-06 04,5
Poblenou,2019-04-06 05,2
Poblenou,2019-04-06 06,1
Poblenou,2019-04-06 07,2
Poblenou,2019-04-06 08,2
Poblenou,2019-04-06 09,4
Poblenou,2019-04-06 10,6
Poblenou,2019-04-06 11,8
Poblenou,2019-04-06 12,10
Poblenou,2019-04-06 13,10
Poblenou,2019-04-06 14,10
Poblenou,2019-04-06 15,8
Poblenou,2019-04-06 16,6
Poblenou,2019-04-06 17,11
Poblenou,2019-04-06 18,14
Poblenou,2019-04-06 19,15
Poblenou,2019-04-06 20,16
Poblenou,2019-04-06 21,14
Poblenou,2019-04-06 22,17
Poblenou,2019-04-06 23,17
Poblenou,2019-04-06 24,19
Poblenou,2019-04-07 01,21
Poblenou,2019-04-07 02,19
Poblenou,2019-04-07 03,15
Poblenou,2019-04-07 04,8
Poblenou,2019-04-07 05,4
Poblenou,2019-04-07 06,2
Poblenou,2019-04-07 07,4
Poblenou,2019-04-07 08,4
Poblenou,2019-04-07 09,5
Poblenou,2019-04-07 10,6
Poblenou,2019-04-07 11,8
Poblenou,2019-04-07 12,8
Poblenou,2019-04-07 13,13
Poblenou,2019-04-07 14,14
Poblenou,2019-04-07 15,14
Poblenou,2019-04-07 16,14
Poblenou,2019-04-07 17,15
Poblenou,2019-04-07 18,15
Poblenou,2019-04-07 19,15
Poblenou,2019-04-07 20,11
Poblenou,2019-04-07 21,12
Poblenou,2019-04-07 22,14
Poblenou,2019-04-07 23,16
Poblenou,2019-04-07 24,17
Poblenou,2019-04-08 01,15
Poblenou,2019-04-08 02,14
Poblenou,2019-04-08 03,11
Poblenou,2019-04-08 04,13
Poblenou,2019-04-08 05,11
Poblenou,2019-04-08 06,11
Poblenou,2019-04-08 07,15
Poblenou,2019-04-08 08,33
Poblenou,2019-04-08 09,26
Poblenou,2019-04-08 10,30
Poblenou,2019-04-08 11,28
Poblenou,2019-04-08 12,21
Poblenou,2019-04-08 13,32
Poblenou,2019-04-08 14,23
Poblenou,2019-04-08 15,19
Poblenou,2019-04-08 16,25
Poblenou,2019-04-08 17,24
Poblenou,2019-04-08 18,30
Poblenou,2019-04-08 19,31
Poblenou,2019-04-08 20,23
Poblenou,2019-04-08 21,22
Poblenou,2019-04-08 22,27
Poblenou,2019-04-08 23,22
Poblenou,2019-04-08 24,24
Poblenou,2019-04-09 01,24
Poblenou,2019-04-09 02,23
Poblenou,2019-04-09 03,22
Poblenou,2019-04-09 04,19
Poblenou,2019-04-09 05,18
Poblenou,2019-04-09 06,17
Poblenou,2019-04-09 07,18
Poblenou,2019-04-09 08,21
Poblenou,2019-04-09 09,25
Poblenou,2019-04-09 10,32
Poblenou,2019-04-09 11,21
Poblenou,2019-04-09 12,14
Poblenou,2019-04-09 13,10
Poblenou,2019-04-09 14,11
Poblenou,2019-04-09 15,16
Poblenou,2019-04-09 16,13
Poblenou,2019-04-09 17,15
Poblenou,2019-04-09 18,16
Poblenou,2019-04-09 19,14
Poblenou,2019-04-09 20,12
Poblenou,2019-04-09 21,10
Poblenou,2019-04-09 22,10
Poblenou,2019-04-09 23,12
Poblenou,2019-04-09 24,14
Poblenou,2019-04-10 01,11
Poblenou,2019-04-10 02,12
Poblenou,2019-04-10 03,9
Poblenou,2019-04-10 04,7
Poblenou,2019-04-10 05,9
Poblenou,2019-04-10 06,5
Poblenou,2019-04-10 07,7
Poblenou,2019-04-10 08,15
Poblenou,2019-04-10 09,18
Poblenou,2019-04-10 10,22
Poblenou,2019-04-10 11,20
Poblenou,2019-04-10 12,25
Poblenou,2019-04-10 13,24
Poblenou,2019-04-10 14,NA
Poblenou,2019-04-10 15,30
Poblenou,2019-04-10 16,22
Poblenou,2019-04-10 17,24
Poblenou,2019-04-10 18,12
Poblenou,2019-04-10 19,6
Poblenou,2019-04-10 20,13
Poblenou,2019-04-10 21,14
Poblenou,2019-04-10 22,16
Poblenou,2019-04-10 23,19
Poblenou,2019-04-10 24,25
Poblenou,2019-04-11 01,20
Poblenou,2019-04-11 02,21
Poblenou,2019-04-11 03,19
Poblenou,2019-04-11 04,15
Poblenou,2019-04-11 05,12
Poblenou,2019-04-11 06,9
Poblenou,2019-04-11 07,8
Poblenou,2019-04-11 08,17
Poblenou,2019-04-11 09,17
Poblenou,2019-04-11 10,18
Poblenou,2019-04-11 11,16
Poblenou,2019-04-11 12,17
Poblenou,2019-04-11 13,15
Poblenou,2019-04-11 14,20
Poblenou,2019-04-11 15,14
Poblenou,2019-04-11 16,13
Poblenou,2019-04-11 17,16
Poblenou,2019-04-11 18,18
Poblenou,2019-04-11 19,17
Poblenou,2019-04-11 20,14
Poblenou,2019-04-11 21,15
Poblenou,2019-04-11 22,16
Poblenou,2019-04-11 23,16
Poblenou,2019-04-11 24,14
Poblenou,2019-04-12 01,17
Poblenou,2019-04-12 02,20
Poblenou,2019-04-12 03,19
Poblenou,2019-04-12 04,21
Poblenou,2019-04-12 05,19
Poblenou,2019-04-12 06,9
Poblenou,2019-04-12 07,11
Poblenou,2019-04-12 08,16
Poblenou,2019-04-12 09,21
Poblenou,2019-04-12 10,29
Poblenou,2019-04-12 11,27
Poblenou,2019-04-12 12,28
Poblenou,2019-04-12 13,32
Poblenou,2019-04-12 14,25
Poblenou,2019-04-12 15,25
Poblenou,2019-04-12 16,22
Poblenou,2019-04-12 17,24
Poblenou,2019-04-12 18,33
Poblenou,2019-04-12 19,50
Poblenou,2019-04-12 20,78
Poblenou,2019-04-12 21,33
Poblenou,2019-04-12 22,22
Poblenou,2019-04-12 23,25
Poblenou,2019-04-12 24,22
Poblenou,2019-04-13 01,18
Poblenou,2019-04-13 02,17
Poblenou,2019-04-13 03,15
Poblenou,2019-04-13 04,23
Poblenou,2019-04-13 05,28
Poblenou,2019-04-13 06,25
Poblenou,2019-04-13 07,27
Poblenou,2019-04-13 08,27
Poblenou,2019-04-13 09,30
Poblenou,2019-04-13 10,31
Poblenou,2019-04-13 11,25
Poblenou,2019-04-13 12,29
Poblenou,2019-04-13 13,33
Poblenou,2019-04-13 14,26
Poblenou,2019-04-13 15,27
