Monat,Lat,Long,Ort,Durchschnitt
2019-04,41.4039,2.2045,Poblenou,28.170
2019-04,41.3853,2.1538,Eixample,27.459
2019-04,41.3987,2.1534,Gràcia,22.388
2019-04,41.4261,2.148,Vall Hebron,26.320
2019-04,41.3875,2.1151,Palau Reial,18.330
2019-05,41.4039,2.2045,Poblenou,27.405
2019-05,41.3853,2.1538,Eixample,23.634
2019-05,41.3987,2.1534,Gràcia,20.301
2019-05,41.4261,2.148,Vall Hebron,26.990
2019-05,41.3875,2.1151,Palau Reial,16.027
2019-06,41.4039,2.2045,Poblenou,46.394
2019-06,41.3853,2.1538,Eixample,34.156
2019-06,41.3987,2.1534,Gràcia,27.898
2019-06,41.4261,2.148,Vall Hebron,35.878
2019-06,41.3875,2.1151,Palau Reial,22.623
2019-07,41.4039,2.2045,Poblenou,34.945
2019-07,41.3853,2.1538,Eixample,33.284
2019-07,41.3987,2.1534,Gràcia,30.472
2019-07,41.4261,2.148,Vall Hebron,58.236
2019-07,41.3875,2.1151,Palau Reial,25.955
2019-08,41.4039,2.2045,Poblenou,28.053
2019-08,41.3853,2.1538,Eixample,26.099
2019-08,41.3987,2.1534,Gràcia,23.532
2019-08,41.4261,2.148,Vall Hebron,21.345
2019-08,41.3875,2.1151,Palau Reial,20.483
2019-09,41.4039,2.2045,Poblenou,25.472
2019-09,41.3853,2.1538,Eixample,27.084
2019-09,41.3987,2.1534,Gràcia,24.082
2019-09,41.4261,2.148,Vall Hebron,18.696
2019-09,41.3875,2.1151,Palau Reial,19.570
2019-10,41.4039,2.2045,Poblenou,31.464
2019-10,41.3853,2.1538,Eixample,27.815
2019-10,41.3987,2.1534,Gràcia,23.807
2019-10,41.4261,2.148,Vall Hebron,18.457
2019-10,41.3875,2.1151,Palau Reial,24.244
2019-11,41.4039,2.2045,Poblenou,20.582
2019-11,41.3853,2.1538,Eixample,17.325
2019-11,41.3987,2.1534,Gràcia,16.032
2019-11,41.4261,2.148,Vall Hebron,9.382
2019-12,41.4039,2.2045,Poblenou,27.095
2019-12,41.3853,2.1538,Eixample,25.708
2019-12,41.3987,2.1534,Gràcia,25.734
2019-12,41.4261,2.148,Vall Hebron,19.206
2019-12,41.3875,2.1151,Palau Reial,31.465
2020-01,41.4039,2.2045,Poblenou,29.353
2020-01,41.3853,2.1538,Eixample,27.853
2020-01,41.3987,2.1534,Gràcia,25.111
2020-01,41.4261,2.148,Vall Hebron,18.275
2020-01,41.3875,2.1151,Palau Reial,18.973
2020-02,41.4039,2.2045,Poblenou,32.023
2020-02,41.3853,2.1538,Eixample,30.549
2020-02,41.3987,2.1534,Gràcia,29.273
2020-02,41.4261,2.148,Vall Hebron,21.957
2020-02,41.3875,2.1151,Palau Reial,19.374
2020-03,41.4039,2.2045,Poblenou,24.031
2020-03,41.3853,2.1538,Eixample,22.255
2020-03,41.3987,2.1534,Gràcia,22.089
2020-03,41.4261,2.148,Vall Hebron,16.520
2020-03,41.3875,2.1151,Palau Reial,16.490
2020-04,41.4039,2.2045,Poblenou,16.661
2020-04,41.3853,2.1538,Eixample,16.572
2020-04,41.3987,2.1534,Gràcia,16.609
2020-04,41.4261,2.148,Vall Hebron,11.000
2020-04,41.3875,2.1151,Palau Reial,13.879
2020-05,41.4039,2.2045,Poblenou,19.944
2020-05,41.3853,2.1538,Eixample,22.034
2020-05,41.3987,2.1534,Gràcia,19.433
2020-05,41.4261,2.148,Vall Hebron,12.962
2020-05,41.3875,2.1151,Palau Reial,14.981
2020-06,41.4039,2.2045,Poblenou,20.538
2020-06,41.3853,2.1538,Eixample,22.726
2020-06,41.3987,2.1534,Gràcia,19.228
2020-06,41.4261,2.148,Vall Hebron,13.298
2020-06,41.3875,2.1151,Palau Reial,14.970
2020-07,41.4039,2.2045,Poblenou,25.802
2020-07,41.3853,2.1538,Eixample,25.585
2020-07,41.3987,2.1534,Gràcia,22.786
2020-07,41.4261,2.148,Vall Hebron,16.976
2020-07,41.3875,2.1151,Palau Reial,19.402
2020-08,41.4039,2.2045,Poblenou,25.114
2020-08,41.3853,2.1538,Eixample,24.447
2020-08,41.3987,2.1534,Gràcia,22.386
2020-08,41.4261,2.148,Vall Hebron,17.843
2020-08,41.3875,2.1151,Palau Reial,18.624
2020-09,41.4039,2.2045,Poblenou,22.792
2020-09,41.3853,2.1538,Eixample,21.133
2020-09,41.3987,2.1534,Gràcia,20.545
2020-09,41.4261,2.148,Vall Hebron,14.460
2020-09,41.3875,2.1151,Palau Reial,15.489
2020-10,41.4039,2.2045,Poblenou,27.142
2020-10,41.3853,2.1538,Eixample,25.066
2020-10,41.3987,2.1534,Gràcia,22.809
2020-10,41.4261,2.148,Vall Hebron,16.816
2020-10,41.3875,2.1151,Palau Reial,16.357
2020-11,41.4039,2.2045,Poblenou,30.405
2020-11,41.3853,2.1538,Eixample,27.168
2020-11,41.3987,2.1534,Gràcia,23.434
2020-11,41.4261,2.148,Vall Hebron,16.280
2020-11,41.3875,2.1151,Palau Reial,16.995
