Datum,Lat,Long,Ort,Durchschnitt
2019-04-02,41.4039,2.2045,Poblenou,56.143
2019-04-03,41.4039,2.2045,Poblenou,24.917
2019-04-04,41.4039,2.2045,Poblenou,16.583
2019-04-05,41.4039,2.2045,Poblenou,30.087
2019-04-06,41.4039,2.2045,Poblenou,9.125
2019-04-07,41.4039,2.2045,Poblenou,11.417
2019-04-08,41.4039,2.2045,Poblenou,22.083
2019-04-09,41.4039,2.2045,Poblenou,16.958
2019-04-10,41.4039,2.2045,Poblenou,15.870
2019-04-11,41.4039,2.2045,Poblenou,15.708
2019-04-12,41.4039,2.2045,Poblenou,26.167
2019-04-13,41.4039,2.2045,Poblenou,26.417
2019-04-14,41.4039,2.2045,Poblenou,25.625
2019-04-15,41.4039,2.2045,Poblenou,25.208
2019-04-16,41.4039,2.2045,Poblenou,22.917
2019-04-17,41.4039,2.2045,Poblenou,18.667
2019-04-18,41.4039,2.2045,Poblenou,24.625
2019-04-19,41.4039,2.2045,Poblenou,37.000
2019-04-20,41.4039,2.2045,Poblenou,34.000
2019-04-21,41.4039,2.2045,Poblenou,35.542
2019-04-22,41.4039,2.2045,Poblenou,51.292
2019-04-23,41.4039,2.2045,Poblenou,52.083
2019-04-24,41.4039,2.2045,Poblenou,36.750
2019-04-25,41.4039,2.2045,Poblenou,36.750
2019-04-26,41.4039,2.2045,Poblenou,23.957
2019-04-27,41.4039,2.2045,Poblenou,23.417
2019-04-28,41.4039,2.2045,Poblenou,19.714
2019-04-29,41.4039,2.2045,Poblenou,42.000
2019-04-30,41.4039,2.2045,Poblenou,35.917
2019-04-02,41.3853,2.1538,Eixample,38.292
2019-04-03,41.3853,2.1538,Eixample,25.400
2019-04-04,41.3853,2.1538,Eixample,16.500
2019-04-05,41.3853,2.1538,Eixample,27.958
2019-04-06,41.3853,2.1538,Eixample,11.917
2019-04-07,41.3853,2.1538,Eixample,16.667
2019-04-08,41.3853,2.1538,Eixample,22.958
2019-04-09,41.3853,2.1538,Eixample,30.773
2019-04-10,41.3853,2.1538,Eixample,19.833
2019-04-11,41.3853,2.1538,Eixample,14.632
2019-04-12,41.3853,2.1538,Eixample,39.571
2019-04-13,41.3853,2.1538,Eixample,27.542
2019-04-14,41.3853,2.1538,Eixample,26.875
2019-04-15,41.3853,2.1538,Eixample,24.208
2019-04-16,41.3853,2.1538,Eixample,23.375
2019-04-17,41.3853,2.1538,Eixample,21.000
2019-04-18,41.3853,2.1538,Eixample,26.565
2019-04-19,41.3853,2.1538,Eixample,36.792
2019-04-20,41.3853,2.1538,Eixample,28.167
2019-04-21,41.3853,2.1538,Eixample,31.958
2019-04-22,41.3853,2.1538,Eixample,49.500
2019-04-23,41.3853,2.1538,Eixample,38.667
2019-04-24,41.3853,2.1538,Eixample,31.875
2019-04-25,41.3853,2.1538,Eixample,31.000
2019-04-26,41.3853,2.1538,Eixample,21.833
2019-04-27,41.3853,2.1538,Eixample,23.292
2019-04-28,41.3853,2.1538,Eixample,21.571
2019-04-29,41.3853,2.1538,Eixample,35.292
2019-04-30,41.3853,2.1538,Eixample,32.292
2019-04-02,41.3987,2.1534,Gràcia,31.792
2019-04-03,41.3987,2.1534,Gràcia,20.792
2019-04-04,41.3987,2.1534,Gràcia,13.625
2019-04-05,41.3987,2.1534,Gràcia,24.250
2019-04-06,41.3987,2.1534,Gràcia,10.375
2019-04-07,41.3987,2.1534,Gràcia,11.708
2019-04-08,41.3987,2.1534,Gràcia,17.333
2019-04-09,41.3987,2.1534,Gràcia,16.167
2019-04-10,41.3987,2.1534,Gràcia,14.458
2019-04-11,41.3987,2.1534,Gràcia,14.217
2019-04-12,41.3987,2.1534,Gràcia,20.625
2019-04-13,41.3987,2.1534,Gràcia,22.833
2019-04-14,41.3987,2.1534,Gràcia,22.667
2019-04-15,41.3987,2.1534,Gràcia,23.042
2019-04-16,41.3987,2.1534,Gràcia,21.500
2019-04-17,41.3987,2.1534,Gràcia,18.250
2019-04-18,41.3987,2.1534,Gràcia,20.167
2019-04-19,41.3987,2.1534,Gràcia,27.958
2019-04-20,41.3987,2.1534,Gràcia,24.208
2019-04-21,41.3987,2.1534,Gràcia,27.750
2019-04-22,41.3987,2.1534,Gràcia,42.167
2019-04-23,41.3987,2.1534,Gràcia,33.750
2019-04-24,41.3987,2.1534,Gràcia,24.292
2019-04-25,41.3987,2.1534,Gràcia,31.375
2019-04-26,41.3987,2.1534,Gràcia,19.625
2019-04-27,41.3987,2.1534,Gràcia,21.042
2019-04-28,41.3987,2.1534,Gràcia,19.571
2019-04-29,41.3987,2.1534,Gràcia,31.391
2019-04-30,41.3987,2.1534,Gràcia,22.333
2019-04-02,41.4261,2.148,Vall Hebron,33.333
2019-04-03,41.4261,2.148,Vall Hebron,20.333
2019-04-04,41.4261,2.148,Vall Hebron,10.500
2019-04-05,41.4261,2.148,Vall Hebron,28.375
2019-04-06,41.4261,2.148,Vall Hebron,12.167
2019-04-07,41.4261,2.148,Vall Hebron,15.333
2019-04-08,41.4261,2.148,Vall Hebron,18.375
2019-04-09,41.4261,2.148,Vall Hebron,26.500
2019-04-10,41.4261,2.148,Vall Hebron,12.739
2019-04-11,41.4261,2.148,Vall Hebron,18.958
2019-04-12,41.4261,2.148,Vall Hebron,34.458
2019-04-13,41.4261,2.148,Vall Hebron,31.167
2019-04-14,41.4261,2.148,Vall Hebron,29.917
2019-04-15,41.4261,2.148,Vall Hebron,27.833
2019-04-16,41.4261,2.148,Vall Hebron,22.708
2019-04-17,41.4261,2.148,Vall Hebron,23.375
2019-04-18,41.4261,2.148,Vall Hebron,21.250
2019-04-19,41.4261,2.148,Vall Hebron,26.458
2019-04-20,41.4261,2.148,Vall Hebron,18.125
2019-04-21,41.4261,2.148,Vall Hebron,25.042
2019-04-22,41.4261,2.148,Vall Hebron,35.292
2019-04-23,41.4261,2.148,Vall Hebron,35.958
2019-04-24,41.4261,2.148,Vall Hebron,19.714
2019-04-25,41.4261,2.148,Vall Hebron,30.542
2019-04-26,41.4261,2.148,Vall Hebron,26.000
2019-04-27,41.4261,2.148,Vall Hebron,25.125
2019-04-28,41.4261,2.148,Vall Hebron,38.833
2019-04-29,41.4261,2.148,Vall Hebron,47.167
2019-04-30,41.4261,2.148,Vall Hebron,47.708
2019-04-02,41.3875,2.1151,Palau Reial,28.667
2019-04-03,41.3875,2.1151,Palau Reial,14.727
2019-04-04,41.3875,2.1151,Palau Reial,7.667
2019-04-05,41.3875,2.1151,Palau Reial,19.292
2019-04-06,41.3875,2.1151,Palau Reial,8.667
2019-04-07,41.3875,2.1151,Palau Reial,8.500
2019-04-08,41.3875,2.1151,Palau Reial,13.625
2019-04-09,41.3875,2.1151,Palau Reial,13.625
2019-04-10,41.3875,2.1151,Palau Reial,10.125
2019-04-11,41.3875,2.1151,Palau Reial,12.208
