Jahr,Wochennummer,Wochenbeginn,Lat,Long,Ort,Durchschnitt
2019,14,2019-04-01,41.4039,2.2045,Poblenou,24.712
2019,15,2019-04-08,41.4039,2.2045,Poblenou,21.261
2019,16,2019-04-15,41.4039,2.2045,Poblenou,28.280
2019,17,2019-04-22,41.4039,2.2045,Poblenou,34.852
2019,18,2019-04-29,41.4039,2.2045,Poblenou,28.470
2019,14,2019-04-01,41.3853,2.1538,Eixample,22.789
2019,15,2019-04-08,41.3853,2.1538,Eixample,26.026
2019,16,2019-04-15,41.3853,2.1538,Eixample,27.438
2019,17,2019-04-22,41.3853,2.1538,Eixample,31.105
2019,18,2019-04-29,41.3853,2.1538,Eixample,24.899
2019,14,2019-04-01,41.3987,2.1534,Gràcia,18.757
2019,15,2019-04-08,41.3987,2.1534,Gràcia,18.329
2019,16,2019-04-15,41.3987,2.1534,Gràcia,23.268
2019,17,2019-04-22,41.3987,2.1534,Gràcia,27.403
2019,18,2019-04-29,41.3987,2.1534,Gràcia,19.812
2019,14,2019-04-01,41.4261,2.148,Vall Hebron,20.007
2019,15,2019-04-08,41.4261,2.148,Vall Hebron,24.588
2019,16,2019-04-15,41.4261,2.148,Vall Hebron,23.542
2019,17,2019-04-22,41.4261,2.148,Vall Hebron,30.209
2019,18,2019-04-29,41.4261,2.148,Vall Hebron,32.726
2019,14,2019-04-01,41.3875,2.1151,Palau Reial,14.587
2019,15,2019-04-08,41.3875,2.1151,Palau Reial,15.232
2019,16,2019-04-15,41.3875,2.1151,Palau Reial,18.596
2019,17,2019-04-22,41.3875,2.1151,Palau Reial,23.297
2019,18,2019-04-29,41.3875,2.1151,Palau Reial,17.605
2019,19,2019-05-06,41.4039,2.2045,Poblenou,28.100
2019,20,2019-05-13,41.4039,2.2045,Poblenou,32.190
2019,21,2019-05-20,41.4039,2.2045,Poblenou,24.216
2019,22,2019-05-27,41.4039,2.2045,Poblenou,29.744
2019,19,2019-05-06,41.3853,2.1538,Eixample,25.997
2019,20,2019-05-13,41.3853,2.1538,Eixample,25.711
2019,21,2019-05-20,41.3853,2.1538,Eixample,22.114
2019,22,2019-05-27,41.3853,2.1538,Eixample,23.241
2019,19,2019-05-06,41.3987,2.1534,Gràcia,23.250
2019,20,2019-05-13,41.3987,2.1534,Gràcia,20.178
2019,21,2019-05-20,41.3987,2.1534,Gràcia,19.219
2019,22,2019-05-27,41.3987,2.1534,Gràcia,20.879
2019,19,2019-05-06,41.4261,2.148,Vall Hebron,28.460
2019,20,2019-05-13,41.4261,2.148,Vall Hebron,28.571
2019,21,2019-05-20,41.4261,2.148,Vall Hebron,24.661
2019,22,2019-05-27,41.4261,2.148,Vall Hebron,25.488
2019,19,2019-05-06,41.3875,2.1151,Palau Reial,19.276
2019,20,2019-05-13,41.3875,2.1151,Palau Reial,16.288
2019,21,2019-05-20,41.3875,2.1151,Palau Reial,13.762
2019,22,2019-05-27,41.3875,2.1151,Palau Reial,16.118
2019,23,2019-06-03,41.4039,2.2045,Poblenou,49.770
2019,24,2019-06-10,41.4039,2.2045,Poblenou,35.875
2019,25,2019-06-17,41.4039,2.2045,Poblenou,45.477
2019,26,2019-06-24,41.4039,2.2045,Poblenou,50.135
2019,23,2019-06-03,41.3853,2.1538,Eixample,29.756
2019,24,2019-06-10,41.3853,2.1538,Eixample,25.754
2019,25,2019-06-17,41.3853,2.1538,Eixample,30.981
2019,26,2019-06-24,41.3853,2.1538,Eixample,53.262
2019,23,2019-06-03,41.3987,2.1534,Gràcia,25.571
2019,24,2019-06-10,41.3987,2.1534,Gràcia,23.837
2019,25,2019-06-17,41.3987,2.1534,Gràcia,25.281
2019,26,2019-06-24,41.3987,2.1534,Gràcia,40.381
2019,23,2019-06-03,41.4261,2.148,Vall Hebron,38.861
2019,24,2019-06-10,41.4261,2.148,Vall Hebron,27.930
2019,25,2019-06-17,41.4261,2.148,Vall Hebron,31.741
2019,26,2019-06-24,41.4261,2.148,Vall Hebron,49.035
2019,23,2019-06-03,41.3875,2.1151,Palau Reial,20.369
2019,24,2019-06-10,41.3875,2.1151,Palau Reial,19.776
2019,25,2019-06-17,41.3875,2.1151,Palau Reial,21.509
2019,26,2019-06-24,41.3875,2.1151,Palau Reial,30.934
2019,27,2019-07-01,41.4039,2.2045,Poblenou,45.982
2019,28,2019-07-08,41.4039,2.2045,Poblenou,35.119
2019,29,2019-07-15,41.4039,2.2045,Poblenou,27.932
2019,30,2019-07-22,41.4039,2.2045,Poblenou,29.323
2019,31,2019-07-29,41.4039,2.2045,Poblenou,29.967
2019,27,2019-07-01,41.3853,2.1538,Eixample,44.349
2019,28,2019-07-08,41.3853,2.1538,Eixample,31.378
2019,29,2019-07-15,41.3853,2.1538,Eixample,24.330
2019,30,2019-07-22,41.3853,2.1538,Eixample,32.906
2019,31,2019-07-29,41.3853,2.1538,Eixample,26.690
2019,27,2019-07-01,41.3987,2.1534,Gràcia,37.488
2019,28,2019-07-08,41.3987,2.1534,Gràcia,27.107
2019,29,2019-07-15,41.3987,2.1534,Gràcia,26.844
2019,30,2019-07-22,41.3987,2.1534,Gràcia,32.184
2019,31,2019-07-29,41.3987,2.1534,Gràcia,23.172
2019,27,2019-07-01,41.4261,2.148,Vall Hebron,48.397
2019,28,2019-07-08,41.4261,2.148,Vall Hebron,28.092
2019,29,2019-07-15,41.4261,2.148,Vall Hebron,116.393
