Monat,Lat,Long,Ort,Durchschnitt
2019-04,41.3853,2.1538,Eixample,1.977
2019-04,41.3987,2.1534,Gràcia,1.310
2019-04,41.4261,2.148,Vall Hebron,1.168
2019-04,41.3875,2.1151,Palau Reial,1.217
2019-05,41.3853,2.1538,Eixample,1.513
2019-05,41.3987,2.1534,Gràcia,1.473
2019-05,41.4261,2.148,Vall Hebron,1.231
2019-05,41.3875,2.1151,Palau Reial,1.554
2019-06,41.3853,2.1538,Eixample,1.770
2019-06,41.3987,2.1534,Gràcia,1.529
2019-06,41.4261,2.148,Vall Hebron,1.449
2019-06,41.3875,2.1151,Palau Reial,2.264
2019-07,41.3853,2.1538,Eixample,2.567
2019-07,41.3987,2.1534,Gràcia,1.042
2019-07,41.4261,2.148,Vall Hebron,1.489
2019-07,41.3875,2.1151,Palau Reial,1.844
2019-08,41.3853,2.1538,Eixample,1.543
2019-08,41.3987,2.1534,Gràcia,1.109
2019-08,41.4261,2.148,Vall Hebron,1.946
2019-08,41.3875,2.1151,Palau Reial,1.473
2019-09,41.3853,2.1538,Eixample,1.596
2019-09,41.3987,2.1534,Gràcia,1.163
2019-09,41.4261,2.148,Vall Hebron,1.641
2019-09,41.3875,2.1151,Palau Reial,1.620
2019-10,41.3853,2.1538,Eixample,1.467
2019-10,41.3987,2.1534,Gràcia,2.358
2019-10,41.4261,2.148,Vall Hebron,1.455
2019-10,41.3875,2.1151,Palau Reial,1.194
2019-11,41.3853,2.1538,Eixample,2.353
2019-11,41.3987,2.1534,Gràcia,1.863
2019-11,41.4261,2.148,Vall Hebron,1.066
2019-11,41.3875,2.1151,Palau Reial,1.210
2019-12,41.3853,2.1538,Eixample,1.547
2019-12,41.3987,2.1534,Gràcia,1.232
2019-12,41.4261,2.148,Vall Hebron,1.815
2019-12,41.3875,2.1151,Palau Reial,1.791
2020-01,41.3853,2.1538,Eixample,1.611
2020-01,41.3987,2.1534,Gràcia,2.201
2020-01,41.4261,2.148,Vall Hebron,1.513
2020-01,41.3875,2.1151,Palau Reial,1.137
2020-02,41.3853,2.1538,Eixample,1.527
2020-02,41.3987,2.1534,Gràcia,2.519
2020-02,41.4261,2.148,Vall Hebron,1.154
2020-02,41.3875,2.1151,Palau Reial,1.025
2020-03,41.3853,2.1538,Eixample,1.887
2020-03,41.3987,2.1534,Gràcia,2.557
2020-03,41.4261,2.148,Vall Hebron,1.118
2020-03,41.3875,2.1151,Palau Reial,1.056
2020-04,41.3853,2.1538,Eixample,1.110
2020-04,41.3987,2.1534,Gràcia,1.524
2020-04,41.4261,2.148,Vall Hebron,1.054
2020-04,41.3875,2.1151,Palau Reial,1.125
2020-05,41.3853,2.1538,Eixample,1.337
2020-05,41.3987,2.1534,Gràcia,2.300
2020-05,41.4261,2.148,Vall Hebron,1.259
2020-05,41.3875,2.1151,Palau Reial,1.281
2020-06,41.3853,2.1538,Eixample,1.067
2020-06,41.3987,2.1534,Gràcia,3.153
2020-06,41.4261,2.148,Vall Hebron,1.145
2020-06,41.3875,2.1151,Palau Reial,1.308
2020-07,41.3853,2.1538,Eixample,1.066
2020-07,41.3987,2.1534,Gràcia,1.430
2020-07,41.4261,2.148,Vall Hebron,1.088
2020-07,41.3875,2.1151,Palau Reial,1.099
2020-08,41.3853,2.1538,Eixample,1.096
2020-08,41.3987,2.1534,Gràcia,1.508
2020-08,41.4261,2.148,Vall Hebron,1.068
2020-08,41.3875,2.1151,Palau Reial,1.070
2020-09,41.3853,2.1538,Eixample,1.059
2020-09,41.3987,2.1534,Gràcia,1.561
2020-09,41.4261,2.148,Vall Hebron,1.075
2020-09,41.3875,2.1151,Palau Reial,1.165
2020-10,41.3853,2.1538,Eixample,1.128
2020-10,41.3987,2.1534,Gràcia,1.381
2020-10,41.4261,2.148,Vall Hebron,1.019
2020-10,41.3875,2.1151,Palau Reial,1.569
2020-11,41.3853,2.1538,Eixample,1.769
2020-11,41.3987,2.1534,Gràcia,1.147
2020-11,41.4261,2.148,Vall Hebron,1.079
2020-11,41.3875,2.1151,Palau Reial,1.109
