Datum,Lat,Long,Ort,Durchschnitt
2019-04-02,41.3853,2.1538,Eixample,1.833
2019-04-03,41.3853,2.1538,Eixample,1.250
2019-04-04,41.3853,2.1538,Eixample,1.500
2019-04-05,41.3853,2.1538,Eixample,1.500
2019-04-06,41.3853,2.1538,Eixample,1.083
2019-04-07,41.3853,2.1538,Eixample,1.042
2019-04-08,41.3853,2.1538,Eixample,1.905
2019-04-09,41.3853,2.1538,Eixample,2.750
2019-04-10,41.3853,2.1538,Eixample,2.417
2019-04-11,41.3853,2.1538,Eixample,3.625
2019-04-12,41.3853,2.1538,Eixample,4.125
2019-04-13,41.3853,2.1538,Eixample,3.333
2019-04-14,41.3853,2.1538,Eixample,2.250
2019-04-15,41.3853,2.1538,Eixample,3.000
2019-04-16,41.3853,2.1538,Eixample,2.875
2019-04-17,41.3853,2.1538,Eixample,2.958
2019-04-18,41.3853,2.1538,Eixample,2.000
2019-04-19,41.3853,2.1538,Eixample,1.500
2019-04-20,41.3853,2.1538,Eixample,2.042
2019-04-21,41.3853,2.1538,Eixample,1.625
2019-04-22,41.3853,2.1538,Eixample,1.750
2019-04-23,41.3853,2.1538,Eixample,1.650
2019-04-24,41.3853,2.1538,Eixample,1.167
2019-04-25,41.3853,2.1538,Eixample,1.083
2019-04-26,41.3853,2.1538,Eixample,1.042
2019-04-27,41.3853,2.1538,Eixample,2.417
2019-04-28,41.3853,2.1538,Eixample,1.000
2019-04-29,41.3853,2.1538,Eixample,1.500
2019-04-30,41.3853,2.1538,Eixample,1.125
2019-04-02,41.3987,2.1534,Gràcia,1.875
2019-04-03,41.3987,2.1534,Gràcia,1.083
2019-04-04,41.3987,2.1534,Gràcia,1.250
2019-04-05,41.3987,2.1534,Gràcia,1.208
2019-04-06,41.3987,2.1534,Gràcia,1.000
2019-04-07,41.3987,2.1534,Gràcia,1.000
2019-04-08,41.3987,2.1534,Gràcia,1.375
2019-04-09,41.3987,2.1534,Gràcia,1.125
2019-04-10,41.3987,2.1534,Gràcia,1.217
2019-04-11,41.3987,2.1534,Gràcia,1.125
2019-04-12,41.3987,2.1534,Gràcia,1.958
2019-04-13,41.3987,2.1534,Gràcia,1.875
2019-04-14,41.3987,2.1534,Gràcia,1.000
2019-04-15,41.3987,2.1534,Gràcia,1.042
2019-04-16,41.3987,2.1534,Gràcia,1.000
2019-04-17,41.3987,2.1534,Gràcia,1.042
2019-04-18,41.3987,2.1534,Gràcia,1.042
2019-04-19,41.3987,2.1534,Gràcia,1.083
2019-04-20,41.3987,2.1534,Gràcia,1.208
2019-04-21,41.3987,2.1534,Gràcia,1.167
2019-04-22,41.3987,2.1534,Gràcia,1.083
2019-04-23,41.3987,2.1534,Gràcia,1.000
2019-04-24,41.3987,2.1534,Gràcia,1.167
2019-04-25,41.3987,2.1534,Gràcia,3.739
2019-04-26,41.3987,2.1534,Gràcia,1.000
2019-04-27,41.3987,2.1534,Gràcia,2.125
2019-04-28,41.3987,2.1534,Gràcia,1.000
2019-04-29,41.3987,2.1534,Gràcia,1.208
2019-04-30,41.3987,2.1534,Gràcia,1.000
2019-04-02,41.4261,2.148,Vall Hebron,1.833
2019-04-03,41.4261,2.148,Vall Hebron,1.000
2019-04-04,41.4261,2.148,Vall Hebron,1.250
2019-04-05,41.4261,2.148,Vall Hebron,1.042
2019-04-06,41.4261,2.148,Vall Hebron,1.083
2019-04-07,41.4261,2.148,Vall Hebron,1.042
2019-04-08,41.4261,2.148,Vall Hebron,1.000
2019-04-09,41.4261,2.148,Vall Hebron,1.000
2019-04-10,41.4261,2.148,Vall Hebron,1.083
2019-04-11,41.4261,2.148,Vall Hebron,1.125
2019-04-12,41.4261,2.148,Vall Hebron,1.833
2019-04-13,41.4261,2.148,Vall Hebron,1.875
2019-04-14,41.4261,2.148,Vall Hebron,1.500
2019-04-15,41.4261,2.148,Vall Hebron,1.000
2019-04-16,41.4261,2.148,Vall Hebron,1.083
2019-04-17,41.4261,2.148,Vall Hebron,1.000
2019-04-18,41.4261,2.148,Vall Hebron,1.000
2019-04-19,41.4261,2.148,Vall Hebron,1.000
2019-04-20,41.4261,2.148,Vall Hebron,1.125
2019-04-21,41.4261,2.148,Vall Hebron,1.125
2019-04-22,41.4261,2.148,Vall Hebron,1.167
2019-04-23,41.4261,2.148,Vall Hebron,1.000
2019-04-24,41.4261,2.148,Vall Hebron,1.000
2019-04-25,41.4261,2.148,Vall Hebron,1.000
2019-04-26,41.4261,2.148,Vall Hebron,1.000
2019-04-27,41.4261,2.148,Vall Hebron,1.667
2019-04-28,41.4261,2.148,Vall Hebron,1.000
2019-04-29,41.4261,2.148,Vall Hebron,1.042
2019-04-30,41.4261,2.148,Vall Hebron,1.000
2019-04-02,41.3875,2.1151,Palau Reial,2.667
2019-04-03,41.3875,2.1151,Palau Reial,1.292
2019-04-04,41.3875,2.1151,Palau Reial,1.083
2019-04-05,41.3875,2.1151,Palau Reial,1.083
2019-04-06,41.3875,2.1151,Palau Reial,1.000
2019-04-07,41.3875,2.1151,Palau Reial,1.042
2019-04-08,41.3875,2.1151,Palau Reial,1.136
2019-04-09,41.3875,2.1151,Palau Reial,1.000
2019-04-10,41.3875,2.1151,Palau Reial,1.000
2019-04-11,41.3875,2.1151,Palau Reial,1.292
2019-04-12,41.3875,2.1151,Palau Reial,1.750
2019-04-13,41.3875,2.1151,Palau Reial,1.708
2019-04-14,41.3875,2.1151,Palau Reial,1.000
2019-04-15,41.3875,2.1151,Palau Reial,1.125
2019-04-16,41.3875,2.1151,Palau Reial,1.125
2019-04-17,41.3875,2.1151,Palau Reial,1.500
2019-04-18,41.3875,2.1151,Palau Reial,1.000
2019-04-19,41.3875,2.1151,Palau Reial,1.042
2019-04-20,41.3875,2.1151,Palau Reial,1.042
2019-04-21,41.3875,2.1151,Palau Reial,1.083
2019-04-22,41.3875,2.1151,Palau Reial,1.042
2019-04-23,41.3875,2.1151,Palau Reial,1.167
2019-04-24,41.3875,2.1151,Palau Reial,1.083
2019-04-25,41.3875,2.1151,Palau Reial,1.000
2019-04-26,41.3875,2.1151,Palau Reial,1.000
2019-04-27,41.3875,2.1151,Palau Reial,1.792
2019-04-28,41.3875,2.1151,Palau Reial,1.000
2019-04-29,41.3875,2.1151,Palau Reial,1.250
2019-04-30,41.3875,2.1151,Palau Reial,1.000
2019-05-01,41.3853,2.1538,Eixample,1.125
2019-05-02,41.3853,2.1538,Eixample,1.792
2019-05-03,41.3853,2.1538,Eixample,1.167
2019-05-04,41.3853,2.1538,Eixample,1.250
2019-05-05,41.3853,2.1538,Eixample,2.042
2019-05-06,41.3853,2.1538,Eixample,2.762
2019-05-10,41.3853,2.1538,Eixample,2.125
2019-05-11,41.3853,2.1538,Eixample,1.125
2019-05-12,41.3853,2.1538,Eixample,1.083
2019-05-13,41.3853,2.1538,Eixample,1.125
2019-05-14,41.3853,2.1538,Eixample,2.125
2019-05-15,41.3853,2.1538,Eixample,1.000
2019-05-16,41.3853,2.1538,Eixample,1.333
2019-05-17,41.3853,2.1538,Eixample,1.000
2019-05-18,41.3853,2.1538,Eixample,1.083
2019-05-19,41.3853,2.1538,Eixample,1.000
2019-05-20,41.3853,2.1538,Eixample,1.500
2019-05-21,41.3853,2.1538,Eixample,2.375
2019-05-22,41.3853,2.1538,Eixample,1.636
2019-05-23,41.3853,2.1538,Eixample,2.042
2019-05-24,41.3853,2.1538,Eixample,1.208
2019-05-25,41.3853,2.1538,Eixample,1.042
2019-05-26,41.3853,2.1538,Eixample,1.500
2019-05-27,41.3853,2.1538,Eixample,1.583
2019-05-28,41.3853,2.1538,Eixample,1.292
2019-05-29,41.3853,2.1538,Eixample,1.000
2019-05-30,41.3853,2.1538,Eixample,1.947
2019-05-31,41.3853,2.1538,Eixample,2.095
2019-05-01,41.3987,2.1534,Gràcia,1.000
2019-05-02,41.3987,2.1534,Gràcia,1.458
2019-05-03,41.3987,2.1534,Gràcia,1.000
2019-05-04,41.3987,2.1534,Gràcia,1.042
2019-05-05,41.3987,2.1534,Gràcia,1.000
2019-05-06,41.3987,2.1534,Gràcia,1.238
2019-05-10,41.3987,2.1534,Gràcia,2.042
2019-05-11,41.3987,2.1534,Gràcia,1.292
2019-05-12,41.3987,2.1534,Gràcia,1.333
2019-05-13,41.3987,2.1534,Gràcia,1.000
2019-05-14,41.3987,2.1534,Gràcia,1.958
2019-05-15,41.3987,2.1534,Gràcia,1.083
2019-05-16,41.3987,2.1534,Gràcia,1.750
2019-05-17,41.3987,2.1534,Gràcia,1.000
2019-05-18,41.3987,2.1534,Gràcia,1.208
2019-05-19,41.3987,2.1534,Gràcia,1.042
2019-05-20,41.3987,2.1534,Gràcia,1.792
2019-05-21,41.3987,2.1534,Gràcia,2.292
2019-05-22,41.3987,2.1534,Gràcia,1.875
2019-05-23,41.3987,2.1534,Gràcia,1.833
2019-05-24,41.3987,2.1534,Gràcia,1.000
2019-05-25,41.3987,2.1534,Gràcia,1.000
2019-05-26,41.3987,2.1534,Gràcia,1.333
2019-05-27,41.3987,2.1534,Gràcia,2.000
2019-05-28,41.3987,2.1534,Gràcia,1.167
2019-05-29,41.3987,2.1534,Gràcia,1.083
2019-05-30,41.3987,2.1534,Gràcia,2.375
2019-05-31,41.3987,2.1534,Gràcia,3.042
2019-05-01,41.4261,2.148,Vall Hebron,1.000
2019-05-02,41.4261,2.148,Vall Hebron,1.368
2019-05-03,41.4261,2.148,Vall Hebron,1.000
2019-05-04,41.4261,2.148,Vall Hebron,1.000
2019-05-05,41.4261,2.148,Vall Hebron,1.000
2019-05-06,41.4261,2.148,Vall Hebron,1.143
2019-05-10,41.4261,2.148,Vall Hebron,1.583
2019-05-11,41.4261,2.148,Vall Hebron,1.167
2019-05-12,41.4261,2.148,Vall Hebron,1.375
2019-05-13,41.4261,2.148,Vall Hebron,1.292
2019-05-14,41.4261,2.148,Vall Hebron,1.833
2019-05-15,41.4261,2.148,Vall Hebron,1.042
2019-05-16,41.4261,2.148,Vall Hebron,1.292
2019-05-17,41.4261,2.148,Vall Hebron,1.000
2019-05-18,41.4261,2.148,Vall Hebron,1.042
2019-05-19,41.4261,2.148,Vall Hebron,1.000
2019-05-20,41.4261,2.148,Vall Hebron,1.250
2019-05-21,41.4261,2.148,Vall Hebron,1.417
2019-05-22,41.4261,2.148,Vall Hebron,1.583
2019-05-23,41.4261,2.148,Vall Hebron,1.545
2019-05-24,41.4261,2.148,Vall Hebron,1.000
2019-05-25,41.4261,2.148,Vall Hebron,1.000
2019-05-26,41.4261,2.148,Vall Hebron,1.083
2019-05-27,41.4261,2.148,Vall Hebron,1.292
2019-05-28,41.4261,2.148,Vall Hebron,1.000
2019-05-29,41.4261,2.148,Vall Hebron,1.000
2019-05-30,41.4261,2.148,Vall Hebron,1.708
2019-05-31,41.4261,2.148,Vall Hebron,1.458
2019-05-01,41.3875,2.1151,Palau Reial,1.042
2019-05-02,41.3875,2.1151,Palau Reial,2.208
2019-05-03,41.3875,2.1151,Palau Reial,1.000
2019-05-04,41.3875,2.1151,Palau Reial,1.042
2019-05-05,41.3875,2.1151,Palau Reial,1.042
2019-05-06,41.3875,2.1151,Palau Reial,1.238
2019-05-10,41.3875,2.1151,Palau Reial,2.792
2019-05-11,41.3875,2.1151,Palau Reial,1.958
2019-05-12,41.3875,2.1151,Palau Reial,1.833
2019-05-13,41.3875,2.1151,Palau Reial,1.625
2019-05-14,41.3875,2.1151,Palau Reial,1.619
2019-05-15,41.3875,2.1151,Palau Reial,1.083
2019-05-16,41.3875,2.1151,Palau Reial,1.417
2019-05-17,41.3875,2.1151,Palau Reial,1.083
2019-05-18,41.3875,2.1151,Palau Reial,1.292
2019-05-19,41.3875,2.1151,Palau Reial,1.333
2019-05-20,41.3875,2.1151,Palau Reial,1.542
2019-05-21,41.3875,2.1151,Palau Reial,1.708
2019-05-22,41.3875,2.1151,Palau Reial,2.250
2019-05-23,41.3875,2.1151,Palau Reial,2.083
2019-05-24,41.3875,2.1151,Palau Reial,1.000
2019-05-25,41.3875,2.1151,Palau Reial,1.000
2019-05-26,41.3875,2.1151,Palau Reial,1.208
2019-05-27,41.3875,2.1151,Palau Reial,1.417
2019-05-28,41.3875,2.1151,Palau Reial,1.500
2019-05-29,41.3875,2.1151,Palau Reial,1.292
2019-05-30,41.3875,2.1151,Palau Reial,2.625
2019-05-31,41.3875,2.1151,Palau Reial,2.292
2019-06-01,41.3853,2.1538,Eixample,1.875
2019-06-02,41.3853,2.1538,Eixample,1.250
2019-06-03,41.3853,2.1538,Eixample,1.042
2019-06-04,41.3853,2.1538,Eixample,1.500
2019-06-05,41.3853,2.1538,Eixample,1.042
2019-06-06,41.3853,2.1538,Eixample,1.208
2019-06-07,41.3853,2.1538,Eixample,1.292
2019-06-08,41.3853,2.1538,Eixample,1.083
2019-06-09,41.3853,2.1538,Eixample,1.083
2019-06-10,41.3853,2.1538,Eixample,1.458
2019-06-11,41.3853,2.1538,Eixample,1.000
2019-06-12,41.3853,2.1538,Eixample,1.083
2019-06-13,41.3853,2.1538,Eixample,1.231
2019-06-14,41.3853,2.1538,Eixample,1.375
2019-06-15,41.3853,2.1538,Eixample,1.125
2019-06-16,41.3853,2.1538,Eixample,1.958
2019-06-17,41.3853,2.1538,Eixample,2.917
2019-06-18,41.3853,2.1538,Eixample,1.708
2019-06-19,41.3853,2.1538,Eixample,1.167
2019-06-20,41.3853,2.1538,Eixample,1.000
2019-06-21,41.3853,2.1538,Eixample,1.458
2019-06-22,41.3853,2.1538,Eixample,1.500
2019-06-23,41.3853,2.1538,Eixample,1.208
2019-06-24,41.3853,2.1538,Eixample,1.000
2019-06-25,41.3853,2.1538,Eixample,1.083
2019-06-26,41.3853,2.1538,Eixample,1.542
2019-06-27,41.3853,2.1538,Eixample,5.583
2019-06-28,41.3853,2.1538,Eixample,5.167
2019-06-29,41.3853,2.1538,Eixample,5.333
2019-06-30,41.3853,2.1538,Eixample,1.833
2019-06-01,41.3987,2.1534,Gràcia,2.292
2019-06-02,41.3987,2.1534,Gràcia,1.833
2019-06-03,41.3987,2.1534,Gràcia,1.875
2019-06-04,41.3987,2.1534,Gràcia,1.875
2019-06-05,41.3987,2.1534,Gràcia,1.167
2019-06-06,41.3987,2.1534,Gràcia,1.125
2019-06-07,41.3987,2.1534,Gràcia,1.136
2019-06-08,41.3987,2.1534,Gràcia,1.125
2019-06-09,41.3987,2.1534,Gràcia,1.208
2019-06-10,41.3987,2.1534,Gràcia,1.417
2019-06-11,41.3987,2.1534,Gràcia,1.042
2019-06-12,41.3987,2.1534,Gràcia,1.500
2019-06-13,41.3987,2.1534,Gràcia,1.077
2019-06-14,41.3987,2.1534,Gràcia,1.792
2019-06-15,41.3987,2.1534,Gràcia,1.333
2019-06-16,41.3987,2.1534,Gràcia,1.583
2019-06-17,41.3987,2.1534,Gràcia,1.600
2019-06-18,41.3987,2.1534,Gràcia,1.583
2019-06-19,41.3987,2.1534,Gràcia,1.043
2019-06-20,41.3987,2.1534,Gràcia,1.000
2019-06-21,41.3987,2.1534,Gràcia,1.208
2019-06-22,41.3987,2.1534,Gràcia,1.458
2019-06-23,41.3987,2.1534,Gràcia,1.042
2019-06-24,41.3987,2.1534,Gràcia,1.000
2019-06-25,41.3987,2.1534,Gràcia,1.000
