Jahr,Wochennummer,Wochenbeginn,Lat,Long,Ort,Durchschnitt
2019,14,2019-04-01,41.3853,2.1538,Eixample,1.368
2019,15,2019-04-08,41.3853,2.1538,Eixample,2.915
2019,16,2019-04-15,41.3853,2.1538,Eixample,2.286
2019,17,2019-04-22,41.3853,2.1538,Eixample,1.444
2019,18,2019-04-29,41.3853,2.1538,Eixample,1.429
2019,14,2019-04-01,41.3987,2.1534,Gràcia,1.236
2019,15,2019-04-08,41.3987,2.1534,Gràcia,1.382
2019,16,2019-04-15,41.3987,2.1534,Gràcia,1.083
2019,17,2019-04-22,41.3987,2.1534,Gràcia,1.588
2019,18,2019-04-29,41.3987,2.1534,Gràcia,1.101
2019,14,2019-04-01,41.4261,2.148,Vall Hebron,1.208
2019,15,2019-04-08,41.4261,2.148,Vall Hebron,1.345
2019,16,2019-04-15,41.4261,2.148,Vall Hebron,1.048
2019,17,2019-04-22,41.4261,2.148,Vall Hebron,1.119
2019,18,2019-04-29,41.4261,2.148,Vall Hebron,1.059
2019,14,2019-04-01,41.3875,2.1151,Palau Reial,1.361
2019,15,2019-04-08,41.3875,2.1151,Palau Reial,1.269
2019,16,2019-04-15,41.3875,2.1151,Palau Reial,1.131
2019,17,2019-04-22,41.3875,2.1151,Palau Reial,1.155
2019,18,2019-04-29,41.3875,2.1151,Palau Reial,1.226
2019,19,2019-05-06,41.3853,2.1538,Eixample,1.774
2019,20,2019-05-13,41.3853,2.1538,Eixample,1.238
2019,21,2019-05-20,41.3853,2.1538,Eixample,1.615
2019,22,2019-05-27,41.3853,2.1538,Eixample,1.577
2019,19,2019-05-06,41.3987,2.1534,Gràcia,1.476
2019,20,2019-05-13,41.3987,2.1534,Gràcia,1.292
2019,21,2019-05-20,41.3987,2.1534,Gràcia,1.589
2019,22,2019-05-27,41.3987,2.1534,Gràcia,1.970
2019,19,2019-05-06,41.4261,2.148,Vall Hebron,1.317
2019,20,2019-05-13,41.4261,2.148,Vall Hebron,1.214
2019,21,2019-05-20,41.4261,2.148,Vall Hebron,1.268
2019,22,2019-05-27,41.4261,2.148,Vall Hebron,1.494
2019,19,2019-05-06,41.3875,2.1151,Palau Reial,1.955
2019,20,2019-05-13,41.3875,2.1151,Palau Reial,1.350
2019,21,2019-05-20,41.3875,2.1151,Palau Reial,1.542
2019,22,2019-05-27,41.3875,2.1151,Palau Reial,1.982
2019,23,2019-06-03,41.3853,2.1538,Eixample,1.179
2019,24,2019-06-10,41.3853,2.1538,Eixample,1.319
2019,25,2019-06-17,41.3853,2.1538,Eixample,1.565
2019,26,2019-06-24,41.3853,2.1538,Eixample,3.077
2019,23,2019-06-03,41.3987,2.1534,Gràcia,1.359
2019,24,2019-06-10,41.3987,2.1534,Gràcia,1.392
2019,25,2019-06-17,41.3987,2.1534,Gràcia,1.276
2019,26,2019-06-24,41.3987,2.1534,Gràcia,1.935
2019,23,2019-06-03,41.4261,2.148,Vall Hebron,1.167
2019,24,2019-06-10,41.4261,2.148,Vall Hebron,1.130
2019,25,2019-06-17,41.4261,2.148,Vall Hebron,1.489
2019,26,2019-06-24,41.4261,2.148,Vall Hebron,1.851
2019,23,2019-06-03,41.3875,2.1151,Palau Reial,1.542
2019,24,2019-06-10,41.3875,2.1151,Palau Reial,1.705
2019,25,2019-06-17,41.3875,2.1151,Palau Reial,2.463
2019,26,2019-06-24,41.3875,2.1151,Palau Reial,3.316
2019,27,2019-07-01,41.3853,2.1538,Eixample,2.197
2019,28,2019-07-08,41.3853,2.1538,Eixample,2.767
2019,29,2019-07-15,41.3853,2.1538,Eixample,2.504
2019,30,2019-07-22,41.3853,2.1538,Eixample,3.177
