Datum,Anzahl
2020-03-07,2
2020-03-08,5
2020-03-09,5
2020-03-10,6
2020-03-11,10
2020-03-12,18
2020-03-13,30
2020-03-14,45
2020-03-15,46
2020-03-16,46
2020-03-17,58
2020-03-18,82
2020-03-19,88
2020-03-20,109
2020-03-21,123
2020-03-22,155
2020-03-23,207
2020-03-24,234
2020-03-25,270
2020-03-26,308
2020-03-27,342
2020-03-28,333
2020-03-29,351
2020-03-30,416
2020-03-31,395
2020-04-01,357
2020-04-02,393
2020-04-03,386
2020-04-04,354
2020-04-05,347
2020-04-06,349
2020-04-07,366
2020-04-08,344
2020-04-09,363
2020-04-10,318
2020-04-11,320
2020-04-12,304
2020-04-13,258
2020-04-14,270
2020-04-15,257
2020-04-16,242
2020-04-17,251
2020-04-18,206
2020-04-19,203
2020-04-20,191
2020-04-21,197
2020-04-22,149
2020-04-23,134
2020-04-24,148
2020-04-25,134
2020-04-26,128
2020-04-27,115
2020-04-28,128
2020-04-29,105
2020-04-30,96
2020-05-01,90
2020-05-02,94
2020-05-03,88
2020-05-04,85
2020-05-05,89
2020-05-06,82
2020-05-07,82
2020-05-08,52
2020-05-09,41
2020-05-10,50
2020-05-11,52
2020-05-12,39
2020-05-13,33
2020-05-14,27
2020-05-15,39
2020-05-16,25
2020-05-17,25
2020-05-18,15
2020-05-19,30
2020-05-20,31
2020-05-21,26
2020-05-22,22
2020-05-23,28
2020-05-24,19
2020-05-25,19
2020-05-26,17
2020-05-27,15
2020-05-28,14
2020-05-29,19
2020-05-30,10
2020-05-31,18
2020-06-01,9
2020-06-02,10
2020-06-03,17
2020-06-04,9
2020-06-05,8
2020-06-06,10
2020-06-07,9
2020-06-08,15
2020-06-09,3
2020-06-10,6
2020-06-11,7
2020-06-12,4
2020-06-13,6
2020-06-14,10
2020-06-15,12
2020-06-16,4
2020-06-17,4
2020-06-18,4
2020-06-19,4
2020-06-20,7
2020-06-21,3
2020-06-22,6
2020-06-23,3
2020-06-24,1
2020-06-25,4
2020-06-26,4
2020-06-27,3
2020-06-28,1
2020-06-29,2
2020-06-30,7
2020-07-01,6
2020-07-02,3
2020-07-03,5
2020-07-04,4
2020-07-06,2
2020-07-07,6
2020-07-08,4
2020-07-09,2
2020-07-10,2
2020-07-11,4
2020-07-12,4
2020-07-13,2
2020-07-14,3
2020-07-15,3
2020-07-16,2
2020-07-17,3
2020-07-18,3
2020-07-19,4
2020-07-20,10
2020-07-21,9
2020-07-22,5
2020-07-23,5
2020-07-24,6
2020-07-25,12
2020-07-26,10
2020-07-27,11
2020-07-28,10
2020-07-29,8
2020-07-30,15
2020-07-31,10
2020-08-01,10
2020-08-02,7
2020-08-03,8
2020-08-04,12
2020-08-05,6
2020-08-06,10
2020-08-07,7
2020-08-08,4
2020-08-09,8
2020-08-10,13
2020-08-11,11
2020-08-12,8
2020-08-13,9
2020-08-14,13
2020-08-15,8
2020-08-16,6
2020-08-17,9
2020-08-18,10
2020-08-19,12
2020-08-20,12
2020-08-21,5
2020-08-22,8
2020-08-23,12
2020-08-24,16
2020-08-25,7
2020-08-26,10
2020-08-27,12
2020-08-28,11
2020-08-29,6
2020-08-30,11
2020-08-31,8
2020-09-01,15
2020-09-02,9
2020-09-03,13
2020-09-04,12
2020-09-05,10
2020-09-06,10
2020-09-07,9
2020-09-08,9
2020-09-09,13
2020-09-10,14
2020-09-11,7
2020-09-12,5
2020-09-13,8
2020-09-14,16
2020-09-15,10
2020-09-16,14
2020-09-17,12
2020-09-18,8
2020-09-19,12
2020-09-20,7
2020-09-21,15
2020-09-22,4
2020-09-23,9
2020-09-24,16
2020-09-25,13
2020-09-26,5
2020-09-27,18
2020-09-28,10
2020-09-29,19
2020-09-30,18
2020-10-01,12
2020-10-02,11
2020-10-03,7
2020-10-04,15
2020-10-05,12
2020-10-06,18
2020-10-07,9
2020-10-08,14
2020-10-09,21
2020-10-10,20
2020-10-11,21
2020-10-12,18
2020-10-13,15
2020-10-14,13
2020-10-15,22
2020-10-16,26
2020-10-17,29
2020-10-18,24
2020-10-19,35
2020-10-20,25
2020-10-21,27
2020-10-22,36
2020-10-23,44
2020-10-24,33
2020-10-25,29
2020-10-26,55
2020-10-27,44
2020-10-28,52
2020-10-29,46
2020-10-30,74
2020-10-31,65
2020-11-01,51
2020-11-02,68
2020-11-03,75
2020-11-04,76
2020-11-05,86
2020-11-06,64
2020-11-07,60
2020-11-08,65
2020-11-09,74
2020-11-10,69
2020-11-11,67
2020-11-12,72
2020-11-13,58
2020-11-14,58
2020-11-15,52
2020-11-16,69
2020-11-17,62
2020-11-18,59
2020-11-19,56
2020-11-20,50
2020-11-21,51
2020-11-22,42
2020-11-23,46
2020-11-24,25
2020-11-25,58
2020-11-26,55
2020-11-27,43
2020-11-28,54
2020-11-29,49
2020-11-30,46
2020-12-01,52
2020-12-02,45
2020-12-03,63
2020-12-04,44
2020-12-05,33
2020-12-06,37
2020-12-07,34
2020-12-08,36
2020-12-09,44
2020-12-10,50
2020-12-11,33
2020-12-12,36
2020-12-13,36
2020-12-14,26
2020-12-15,34
2020-12-16,30
2020-12-17,29
2020-12-18,38
2020-12-19,36
2020-12-20,39
2020-12-21,34
2020-12-22,41
2020-12-23,48
2020-12-24,32
2020-12-25,34
2020-12-26,36
2020-12-27,41
2020-12-28,44
2020-12-29,37
2020-12-30,40
2020-12-31,29
2021-01-01,1
