Lat,Long,Ort,Tag,Wert
41.3788,2.1331,Sants,1,33.205
41.3788,2.1331,Sants,2,35.117
41.3788,2.1331,Sants,3,32.647
41.3788,2.1331,Sants,4,32.305
41.3788,2.1331,Sants,5,31.674
41.3788,2.1331,Sants,6,30.648
41.3788,2.1331,Sants,7,32.076
41.3788,2.1331,Sants,8,37.284
41.3788,2.1331,Sants,9,39.250
41.3788,2.1331,Sants,10,36.266
41.3788,2.1331,Sants,11,32.115
41.3788,2.1331,Sants,12,31.404
41.3788,2.1331,Sants,13,32.876
41.3788,2.1331,Sants,14,35.146
41.3788,2.1331,Sants,15,30.328
41.3788,2.1331,Sants,16,33.915
41.3788,2.1331,Sants,17,38.359
41.3788,2.1331,Sants,18,37.522
41.3788,2.1331,Sants,19,36.706
41.3788,2.1331,Sants,20,33.519
41.3788,2.1331,Sants,21,33.990
41.3788,2.1331,Sants,22,30.737
41.3788,2.1331,Sants,23,33.455
41.3788,2.1331,Sants,24,39.354
41.3788,2.1331,Sants,25,33.891
41.3788,2.1331,Sants,26,34.578
41.3788,2.1331,Sants,27,33.145
41.3788,2.1331,Sants,28,33.807
41.3788,2.1331,Sants,29,38.203
41.3788,2.1331,Sants,30,43.778
41.3788,2.1331,Sants,31,42.468
41.3853,2.1538,Eixample,1,65.078
41.3853,2.1538,Eixample,2,71.648
41.3853,2.1538,Eixample,3,73.270
41.3853,2.1538,Eixample,4,70.712
41.3853,2.1538,Eixample,5,65.961
41.3853,2.1538,Eixample,6,65.636
41.3853,2.1538,Eixample,7,65.982
41.3853,2.1538,Eixample,8,79.779
41.3853,2.1538,Eixample,9,80.951
41.3853,2.1538,Eixample,10,71.288
41.3853,2.1538,Eixample,11,64.053
41.3853,2.1538,Eixample,12,68.723
41.3853,2.1538,Eixample,13,70.267
41.3853,2.1538,Eixample,14,78.215
41.3853,2.1538,Eixample,15,65.077
41.3853,2.1538,Eixample,16,78.004
41.3853,2.1538,Eixample,17,81.432
41.3853,2.1538,Eixample,18,75.136
41.3853,2.1538,Eixample,19,78.599
41.3853,2.1538,Eixample,20,69.761
41.3853,2.1538,Eixample,21,72.453
41.3853,2.1538,Eixample,22,70.847
41.3853,2.1538,Eixample,23,71.518
41.3853,2.1538,Eixample,24,72.728
41.3853,2.1538,Eixample,25,84.693
41.3853,2.1538,Eixample,26,79.019
41.3853,2.1538,Eixample,27,71.794
41.3853,2.1538,Eixample,28,77.037
41.3853,2.1538,Eixample,29,82.574
41.3853,2.1538,Eixample,30,89.507
41.3853,2.1538,Eixample,31,81.429
41.3864,2.1874,Ciutadella,1,34.944
41.3864,2.1874,Ciutadella,2,37.630
41.3864,2.1874,Ciutadella,3,38.881
41.3864,2.1874,Ciutadella,4,35.170
41.3864,2.1874,Ciutadella,5,36.432
41.3864,2.1874,Ciutadella,6,30.885
41.3864,2.1874,Ciutadella,7,38.928
41.3864,2.1874,Ciutadella,8,38.498
41.3864,2.1874,Ciutadella,9,43.387
41.3864,2.1874,Ciutadella,10,40.409
41.3864,2.1874,Ciutadella,11,38.002
41.3864,2.1874,Ciutadella,12,34.207
41.3864,2.1874,Ciutadella,13,37.384
41.3864,2.1874,Ciutadella,14,36.389
41.3864,2.1874,Ciutadella,15,34.700
41.3864,2.1874,Ciutadella,16,35.967
41.3864,2.1874,Ciutadella,17,43.339
41.3864,2.1874,Ciutadella,18,38.128
41.3864,2.1874,Ciutadella,19,41.912
41.3864,2.1874,Ciutadella,20,36.569
41.3864,2.1874,Ciutadella,21,37.998
41.3864,2.1874,Ciutadella,22,34.868
41.3864,2.1874,Ciutadella,23,44.561
41.3864,2.1874,Ciutadella,24,46.178
41.3864,2.1874,Ciutadella,25,39.686
41.3864,2.1874,Ciutadella,26,37.270
41.3864,2.1874,Ciutadella,27,37.453
41.3864,2.1874,Ciutadella,28,42.717
41.3864,2.1874,Ciutadella,29,42.798
41.3864,2.1874,Ciutadella,30,46.786
41.3864,2.1874,Ciutadella,31,49.591
41.3875,2.1151,Palau Reial,1,24.626
41.3875,2.1151,Palau Reial,2,29.941
41.3875,2.1151,Palau Reial,3,28.570
41.3875,2.1151,Palau Reial,4,25.472
41.3875,2.1151,Palau Reial,5,25.756
41.3875,2.1151,Palau Reial,6,21.954
41.3875,2.1151,Palau Reial,7,22.063
41.3875,2.1151,Palau Reial,8,29.780
41.3875,2.1151,Palau Reial,9,31.951
41.3875,2.1151,Palau Reial,10,28.423
41.3875,2.1151,Palau Reial,11,25.693
41.3875,2.1151,Palau Reial,12,26.646
41.3875,2.1151,Palau Reial,13,27.847
41.3875,2.1151,Palau Reial,14,27.474
41.3875,2.1151,Palau Reial,15,23.302
41.3875,2.1151,Palau Reial,16,27.128
41.3875,2.1151,Palau Reial,17,33.272
41.3875,2.1151,Palau Reial,18,31.729
41.3875,2.1151,Palau Reial,19,30.777
