Lat,Long,Ort,Uhrzeit,Wert
41.3788,2.1331,Sants,01,28.204
41.3788,2.1331,Sants,02,26.338
41.3788,2.1331,Sants,03,24.823
41.3788,2.1331,Sants,04,24.029
41.3788,2.1331,Sants,05,22.925
41.3788,2.1331,Sants,06,22.041
41.3788,2.1331,Sants,07,25.553
41.3788,2.1331,Sants,08,33.542
41.3788,2.1331,Sants,09,38.419
41.3788,2.1331,Sants,10,37.010
41.3788,2.1331,Sants,11,31.370
41.3788,2.1331,Sants,12,26.504
41.3788,2.1331,Sants,13,22.251
41.3788,2.1331,Sants,14,19.070
41.3788,2.1331,Sants,15,16.655
41.3788,2.1331,Sants,16,15.556
41.3788,2.1331,Sants,17,16.160
41.3788,2.1331,Sants,18,18.344
41.3788,2.1331,Sants,19,21.438
41.3788,2.1331,Sants,20,25.589
41.3788,2.1331,Sants,21,28.214
41.3788,2.1331,Sants,22,29.424
41.3788,2.1331,Sants,23,30.336
41.3788,2.1331,Sants,24,28.478
41.3853,2.1538,Eixample,01,37.572
41.3853,2.1538,Eixample,02,34.614
41.3853,2.1538,Eixample,03,32.757
41.3853,2.1538,Eixample,04,31.083
41.3853,2.1538,Eixample,05,28.794
41.3853,2.1538,Eixample,06,29.848
41.3853,2.1538,Eixample,07,36.780
41.3853,2.1538,Eixample,08,49.276
41.3853,2.1538,Eixample,09,54.927
41.3853,2.1538,Eixample,10,52.864
41.3853,2.1538,Eixample,11,47.523
41.3853,2.1538,Eixample,12,44.007
41.3853,2.1538,Eixample,13,41.227
41.3853,2.1538,Eixample,14,39.419
41.3853,2.1538,Eixample,15,35.576
41.3853,2.1538,Eixample,16,34.328
41.3853,2.1538,Eixample,17,36.649
41.3853,2.1538,Eixample,18,40.533
41.3853,2.1538,Eixample,19,44.358
41.3853,2.1538,Eixample,20,47.249
41.3853,2.1538,Eixample,21,47.847
41.3853,2.1538,Eixample,22,45.988
41.3853,2.1538,Eixample,23,42.341
41.3853,2.1538,Eixample,24,39.747
41.3864,2.1874,Ciutadella,01,26.380
41.3864,2.1874,Ciutadella,02,25.800
41.3864,2.1874,Ciutadella,03,25.290
41.3864,2.1874,Ciutadella,04,23.881
41.3864,2.1874,Ciutadella,05,22.573
41.3864,2.1874,Ciutadella,06,22.597
41.3864,2.1874,Ciutadella,07,25.596
41.3864,2.1874,Ciutadella,08,31.933
41.3864,2.1874,Ciutadella,09,38.395
41.3864,2.1874,Ciutadella,10,37.860
41.3864,2.1874,Ciutadella,11,33.857
41.3864,2.1874,Ciutadella,12,29.299
41.3864,2.1874,Ciutadella,13,23.615
41.3864,2.1874,Ciutadella,14,20.801
41.3864,2.1874,Ciutadella,15,19.214
41.3864,2.1874,Ciutadella,16,18.427
41.3864,2.1874,Ciutadella,17,18.922
41.3864,2.1874,Ciutadella,18,20.105
41.3864,2.1874,Ciutadella,19,22.401
41.3864,2.1874,Ciutadella,20,26.054
41.3864,2.1874,Ciutadella,21,27.631
41.3864,2.1874,Ciutadella,22,27.784
41.3864,2.1874,Ciutadella,23,29.000
41.3864,2.1874,Ciutadella,24,26.647
41.3875,2.1151,Palau Reial,01,22.097
41.3875,2.1151,Palau Reial,02,19.441
41.3875,2.1151,Palau Reial,03,16.670
41.3875,2.1151,Palau Reial,04,15.935
41.3875,2.1151,Palau Reial,05,15.642
41.3875,2.1151,Palau Reial,06,15.799
41.3875,2.1151,Palau Reial,07,20.731
41.3875,2.1151,Palau Reial,08,31.293
41.3875,2.1151,Palau Reial,09,35.113
41.3875,2.1151,Palau Reial,10,30.442
41.3875,2.1151,Palau Reial,11,24.582
41.3875,2.1151,Palau Reial,12,20.521
41.3875,2.1151,Palau Reial,13,17.966
41.3875,2.1151,Palau Reial,14,15.941
41.3875,2.1151,Palau Reial,15,14.269
41.3875,2.1151,Palau Reial,16,13.788
41.3875,2.1151,Palau Reial,17,14.683
41.3875,2.1151,Palau Reial,18,17.531
41.3875,2.1151,Palau Reial,19,21.203
41.3875,2.1151,Palau Reial,20,23.811
41.3875,2.1151,Palau Reial,21,26.271
41.3875,2.1151,Palau Reial,22,27.243
41.3875,2.1151,Palau Reial,23,27.083
41.3875,2.1151,Palau Reial,24,28.003
41.3987,2.1534,Gràcia,01,34.129
41.3987,2.1534,Gràcia,02,31.439
41.3987,2.1534,Gràcia,03,28.546
41.3987,2.1534,Gràcia,04,26.796
41.3987,2.1534,Gràcia,05,24.935
41.3987,2.1534,Gràcia,06,26.293
41.3987,2.1534,Gràcia,07,32.576
41.3987,2.1534,Gràcia,08,44.589
41.3987,2.1534,Gràcia,09,50.644
41.3987,2.1534,Gràcia,10,48.657
41.3987,2.1534,Gràcia,11,44.039
41.3987,2.1534,Gràcia,12,39.002
41.3987,2.1534,Gràcia,13,36.429
41.3987,2.1534,Gràcia,14,32.343
41.3987,2.1534,Gràcia,15,29.198
41.3987,2.1534,Gràcia,16,27.653
41.3987,2.1534,Gràcia,17,29.772
41.3987,2.1534,Gràcia,18,32.825
41.3987,2.1534,Gràcia,19,36.864
41.3987,2.1534,Gràcia,20,39.905
41.3987,2.1534,Gràcia,21,41.203
41.3987,2.1534,Gràcia,22,40.336
41.3987,2.1534,Gràcia,23,39.718
41.3987,2.1534,Gràcia,24,36.696
41.4039,2.2045,Poblenou,01,33.530
41.4039,2.2045,Poblenou,02,32.516
41.4039,2.2045,Poblenou,03,30.971
41.4039,2.2045,Poblenou,04,28.240
41.4039,2.2045,Poblenou,05,26.628
41.4039,2.2045,Poblenou,06,28.606
41.4039,2.2045,Poblenou,07,33.808
41.4039,2.2045,Poblenou,08,40.000
41.4039,2.2045,Poblenou,09,42.232
41.4039,2.2045,Poblenou,10,40.010
41.4039,2.2045,Poblenou,11,35.074
41.4039,2.2045,Poblenou,12,30.423
41.4039,2.2045,Poblenou,13,26.668
41.4039,2.2045,Poblenou,14,23.733
41.4039,2.2045,Poblenou,15,21.044
41.4039,2.2045,Poblenou,16,20.616
41.4039,2.2045,Poblenou,17,22.420
41.4039,2.2045,Poblenou,18,25.184
41.4039,2.2045,Poblenou,19,29.005
41.4039,2.2045,Poblenou,20,31.741
41.4039,2.2045,Poblenou,21,33.400
41.4039,2.2045,Poblenou,22,34.743
41.4039,2.2045,Poblenou,23,34.418
41.4039,2.2045,Poblenou,24,32.990
41.4261,2.148,Vall Hebron,01,29.462
41.4261,2.148,Vall Hebron,02,26.513
41.4261,2.148,Vall Hebron,03,24.040
41.4261,2.148,Vall Hebron,04,22.020
41.4261,2.148,Vall Hebron,05,21.054
41.4261,2.148,Vall Hebron,06,23.217
41.4261,2.148,Vall Hebron,07,29.174
41.4261,2.148,Vall Hebron,08,36.460
41.4261,2.148,Vall Hebron,09,34.077
41.4261,2.148,Vall Hebron,10,27.623
41.4261,2.148,Vall Hebron,11,23.692
41.4261,2.148,Vall Hebron,12,20.922
