Lat,Long,Ort,Wochentag,Wert
41.3788,2.1331,Sants,Monday,26.088
41.3853,2.1538,Eixample,Monday,41.182
41.3864,2.1874,Ciutadella,Monday,26.495
41.3875,2.1151,Palau Reial,Monday,21.804
41.3987,2.1534,Gràcia,Monday,36.873
41.4039,2.2045,Poblenou,Monday,31.548
41.4261,2.148,Vall Hebron,Monday,24.655
41.3788,2.1331,Sants,Tuesday,26.591
41.3853,2.1538,Eixample,Tuesday,42.836
41.3864,2.1874,Ciutadella,Tuesday,26.504
41.3875,2.1151,Palau Reial,Tuesday,22.418
41.3987,2.1534,Gràcia,Tuesday,38.264
41.4039,2.2045,Poblenou,Tuesday,32.725
41.4261,2.148,Vall Hebron,Tuesday,25.293
41.3788,2.1331,Sants,Wednesday,27.581
41.3853,2.1538,Eixample,Wednesday,43.875
41.3864,2.1874,Ciutadella,Wednesday,27.415
41.3875,2.1151,Palau Reial,Wednesday,23.614
41.3987,2.1534,Gràcia,Wednesday,38.731
41.4039,2.2045,Poblenou,Wednesday,32.248
41.4261,2.148,Vall Hebron,Wednesday,26.058
41.3788,2.1331,Sants,Thursday,28.210
41.3853,2.1538,Eixample,Thursday,45.179
41.3864,2.1874,Ciutadella,Thursday,28.590
41.3875,2.1151,Palau Reial,Thursday,24.494
41.3987,2.1534,Gràcia,Thursday,40.106
41.4039,2.2045,Poblenou,Thursday,33.385
41.4261,2.148,Vall Hebron,Thursday,27.525
41.3788,2.1331,Sants,Friday,28.396
41.3853,2.1538,Eixample,Friday,46.288
41.3864,2.1874,Ciutadella,Friday,30.293
41.3875,2.1151,Palau Reial,Friday,23.817
41.3987,2.1534,Gràcia,Friday,40.168
41.4039,2.2045,Poblenou,Friday,34.872
41.4261,2.148,Vall Hebron,Friday,27.583
41.3788,2.1331,Sants,Saturday,22.848
41.3853,2.1538,Eixample,Saturday,35.278
41.3864,2.1874,Ciutadella,Saturday,23.150
41.3875,2.1151,Palau Reial,Saturday,18.401
41.3987,2.1534,Gràcia,Saturday,30.511
41.4039,2.2045,Poblenou,Saturday,27.622
41.4261,2.148,Vall Hebron,Saturday,21.842
41.3788,2.1331,Sants,Sunday,18.255
41.3853,2.1538,Eixample,Sunday,28.922
41.3864,2.1874,Ciutadella,Sunday,19.300
41.3875,2.1151,Palau Reial,Sunday,14.742
41.3987,2.1534,Gràcia,Sunday,23.670
41.4039,2.2045,Poblenou,Sunday,22.218
41.4261,2.148,Vall Hebron,Sunday,17.691
