Datum,Jahr,Wert
2020-01-01 00:00:00,2020,33.287
2020-01-02 00:00:00,2020,36.433
2020-01-03 00:00:00,2020,36.77
2020-01-04 00:00:00,2020,37.885
2020-01-05 00:00:00,2020,35.24
2020-01-06 00:00:00,2020,40.719
2020-01-07 00:00:00,2020,52.168
2020-01-08 00:00:00,2020,58.786
2020-01-09 00:00:00,2020,50.925
2020-01-10 00:00:00,2020,48.95
2020-01-11 00:00:00,2020,28.491
2020-01-12 00:00:00,2020,40.422
2020-01-13 00:00:00,2020,46.044
2020-01-14 00:00:00,2020,54.257
2020-01-15 00:00:00,2020,63.4
2020-01-16 00:00:00,2020,60.447
2020-01-17 00:00:00,2020,40.051
2020-01-18 00:00:00,2020,33.315
2020-01-19 00:00:00,2020,16.232
2020-01-20 00:00:00,2020,12.361
2020-01-21 00:00:00,2020,13.308
2020-01-22 00:00:00,2020,22.354
2020-01-23 00:00:00,2020,40.079
2020-01-24 00:00:00,2020,59.11
2020-01-27 00:00:00,2020,35.776
2020-01-28 00:00:00,2020,32.565
2020-01-29 00:00:00,2020,54.964
2020-01-30 00:00:00,2020,43.506
2020-01-31 00:00:00,2020,52.132
2020-02-01 00:00:00,2020,45.545
2020-02-02 00:00:00,2020,30.204
2020-02-03 00:00:00,2020,54.412
2020-02-04 00:00:00,2020,28.449
2020-02-05 00:00:00,2020,38.897
2020-02-06 00:00:00,2020,47.774
2020-02-07 00:00:00,2020,61.71
2020-02-08 00:00:00,2020,46.419
2020-02-09 00:00:00,2020,33.607
2020-02-10 00:00:00,2020,38.864
2020-02-11 00:00:00,2020,35.056
2020-02-12 00:00:00,2020,22.974
2020-02-13 00:00:00,2020,39.994
2020-02-14 00:00:00,2020,42.269
2020-02-15 00:00:00,2020,31.756
2020-02-16 00:00:00,2020,19.764
2020-02-17 00:00:00,2020,36.161
2020-02-18 00:00:00,2020,32.677
2020-02-19 00:00:00,2020,42.813
2020-02-20 00:00:00,2020,47.482
2020-02-21 00:00:00,2020,51.327
2020-02-22 00:00:00,2020,39.466
2020-02-23 00:00:00,2020,47.196
2020-02-24 00:00:00,2020,60.031
2020-02-25 00:00:00,2020,45.786
2020-02-26 00:00:00,2020,22.994
2020-02-27 00:00:00,2020,19.272
2020-02-28 00:00:00,2020,34.87
2020-02-29 00:00:00,2020,30.534
2020-03-01 00:00:00,2020,18.689
2020-03-02 00:00:00,2020,15.384
2020-03-03 00:00:00,2020,19.204
2020-03-04 00:00:00,2020,38.648
2020-03-05 00:00:00,2020,35.167
2020-03-06 00:00:00,2020,15.863
2020-03-07 00:00:00,2020,16.627
2020-03-08 00:00:00,2020,25.494
2020-03-09 00:00:00,2020,28.769
2020-03-10 00:00:00,2020,32.543
2020-03-11 00:00:00,2020,48.924
2020-03-12 00:00:00,2020,58.559
2020-03-13 00:00:00,2020,46.82
2020-03-14 00:00:00,2020,29.807
2020-03-15 00:00:00,2020,18.762
2020-03-16 00:00:00,2020,10.758
2020-03-17 00:00:00,2020,16.232
2020-03-18 00:00:00,2020,29.639
2020-03-19 00:00:00,2020,25.589
2020-03-20 00:00:00,2020,17.045
2020-03-21 00:00:00,2020,11.601
2020-03-22 00:00:00,2020,7.547
2020-03-23 00:00:00,2020,10.62
2020-03-24 00:00:00,2020,7.577
2020-03-25 00:00:00,2020,15.007
2020-03-26 00:00:00,2020,15.785
2020-03-27 00:00:00,2020,18.101
2020-03-28 00:00:00,2020,15.615
2020-03-29 00:00:00,2020,19.422
2020-03-30 00:00:00,2020,13.988
2020-03-31 00:00:00,2020,14.391
2020-04-01 00:00:00,2020,9.436
2020-04-02 00:00:00,2019,47.537
2020-04-02 00:00:00,2020,9.375
2020-04-03 00:00:00,2019,29.762
2020-04-03 00:00:00,2020,20.283
2020-04-04 00:00:00,2019,26.952
2020-04-04 00:00:00,2020,21.727
2020-04-05 00:00:00,2019,47.196
2020-04-05 00:00:00,2020,18.012
2020-04-06 00:00:00,2019,23.185
2020-04-06 00:00:00,2020,22.699
2020-04-07 00:00:00,2019,24.048
2020-04-07 00:00:00,2020,22.333
2020-04-08 00:00:00,2019,42.34
2020-04-08 00:00:00,2020,21.553
2020-04-09 00:00:00,2019,44.048
2020-04-09 00:00:00,2020,21.516
2020-04-10 00:00:00,2019,41.934
2020-04-10 00:00:00,2020,21.905
2020-04-11 00:00:00,2019,40.774
2020-04-11 00:00:00,2020,19.964
2020-04-12 00:00:00,2019,42.435
2020-04-12 00:00:00,2020,12.768
2020-04-13 00:00:00,2019,35.47
2020-04-13 00:00:00,2020,7.988
2020-04-14 00:00:00,2019,29.594
2020-04-14 00:00:00,2020,16.25
2020-04-15 00:00:00,2019,28.63
2020-04-15 00:00:00,2020,16.616
2020-04-16 00:00:00,2019,30.752
2020-04-16 00:00:00,2020,9.957
2020-04-17 00:00:00,2019,28.929
2020-04-17 00:00:00,2020,18.775
2020-04-18 00:00:00,2019,18.792
2020-04-18 00:00:00,2020,12.036
2020-04-19 00:00:00,2019,11.095
2020-04-19 00:00:00,2020,7.667
2020-04-20 00:00:00,2019,15.024
2020-04-20 00:00:00,2020,24.924
2020-04-21 00:00:00,2019,11.238
2020-04-21 00:00:00,2020,17.458
2020-04-22 00:00:00,2019,12.946
2020-04-22 00:00:00,2020,8.574
2020-04-23 00:00:00,2019,39.169
2020-04-23 00:00:00,2020,17.459
2020-04-24 00:00:00,2019,28.696
2020-04-24 00:00:00,2020,28.102
2020-04-25 00:00:00,2019,30.416
2020-04-25 00:00:00,2020,17.297
2020-04-26 00:00:00,2019,22.131
2020-04-26 00:00:00,2020,12.431
2020-04-27 00:00:00,2019,35.095
2020-04-27 00:00:00,2020,16.486
2020-04-28 00:00:00,2019,47.604
2020-04-28 00:00:00,2020,9.472
2020-04-29 00:00:00,2019,32.863
2020-04-29 00:00:00,2020,11.882
2020-04-30 00:00:00,2019,30.695
2020-04-30 00:00:00,2020,11.562
2020-05-01 00:00:00,2019,19.768
2020-05-01 00:00:00,2020,8.572
2020-05-02 00:00:00,2019,41.875
2020-05-02 00:00:00,2020,9.292
2020-05-03 00:00:00,2019,47.167
2020-05-03 00:00:00,2020,12.194
2020-05-04 00:00:00,2019,23.369
2020-05-04 00:00:00,2020,28.56
2020-05-05 00:00:00,2019,16.893
2020-05-05 00:00:00,2020,26.854
2020-05-06 00:00:00,2019,26.694
2020-05-06 00:00:00,2020,28.803
2020-05-07 00:00:00,2020,18.229
2020-05-08 00:00:00,2020,11.398
2020-05-09 00:00:00,2020,9.577
2020-05-10 00:00:00,2019,44.274
2020-05-10 00:00:00,2020,5.975
2020-05-11 00:00:00,2019,28.131
2020-05-11 00:00:00,2020,11.345
2020-05-12 00:00:00,2019,19.536
2020-05-12 00:00:00,2020,13.677
2020-05-13 00:00:00,2019,31.591
2020-05-13 00:00:00,2020,12.602
2020-05-14 00:00:00,2019,42.824
2020-05-14 00:00:00,2020,15.494
2020-05-15 00:00:00,2019,29.625
2020-05-15 00:00:00,2020,13.307
2020-05-16 00:00:00,2019,42.75
2020-05-16 00:00:00,2020,10.202
2020-05-17 00:00:00,2019,34.452
2020-05-17 00:00:00,2020,9.429
2020-05-18 00:00:00,2019,22.226
2020-05-18 00:00:00,2020,22.369
2020-05-19 00:00:00,2019,24.851
2020-05-19 00:00:00,2020,28.135
2020-05-20 00:00:00,2019,29.214
2020-05-20 00:00:00,2020,35.968
2020-05-21 00:00:00,2019,46.572
2020-05-21 00:00:00,2020,39.145
2020-05-22 00:00:00,2019,36.988
2020-05-22 00:00:00,2020,32.845
2020-05-23 00:00:00,2019,43.807
2020-05-23 00:00:00,2020,18.292
2020-05-24 00:00:00,2019,53.262
2020-05-24 00:00:00,2020,9.199
2020-05-25 00:00:00,2019,36.512
2020-05-25 00:00:00,2020,20.404
2020-05-26 00:00:00,2019,31.327
2020-05-26 00:00:00,2020,29.696
2020-05-27 00:00:00,2019,30.772
2020-05-27 00:00:00,2020,19.53
2020-05-28 00:00:00,2019,22.976
2020-05-28 00:00:00,2020,13.744
2020-05-29 00:00:00,2019,24.946
2020-05-29 00:00:00,2020,21.161
2020-05-30 00:00:00,2019,37.38
2020-05-30 00:00:00,2020,12.267
2020-05-31 00:00:00,2019,51.581
2020-05-31 00:00:00,2020,10.119
2020-06-01 00:00:00,2019,35.256
2020-06-01 00:00:00,2020,13.946
2020-06-02 00:00:00,2019,35.119
2020-06-02 00:00:00,2020,20.936
2020-06-03 00:00:00,2019,46.037
2020-06-03 00:00:00,2020,15.539
2020-06-04 00:00:00,2019,39.429
2020-06-04 00:00:00,2020,16.072
2020-06-05 00:00:00,2019,29.226
2020-06-05 00:00:00,2020,16.006
2020-06-06 00:00:00,2019,22.155
2020-06-06 00:00:00,2020,13.988
2020-06-07 00:00:00,2019,29.273
2020-06-07 00:00:00,2020,7.69
2020-06-08 00:00:00,2019,19.556
2020-06-08 00:00:00,2020,14.006
2020-06-09 00:00:00,2019,22.449
2020-06-09 00:00:00,2020,18.976
2020-06-10 00:00:00,2019,25.679
2020-06-10 00:00:00,2020,19.323
2020-06-11 00:00:00,2019,29.993
2020-06-11 00:00:00,2020,17.756
2020-06-12 00:00:00,2019,27.762
2020-06-12 00:00:00,2020,15.012
2020-06-13 00:00:00,2019,37.143
2020-06-13 00:00:00,2020,14.634
2020-06-14 00:00:00,2019,38.946
2020-06-14 00:00:00,2020,13.522
2020-06-15 00:00:00,2019,31.167
2020-06-15 00:00:00,2020,19.714
2020-06-16 00:00:00,2019,28.929
2020-06-16 00:00:00,2020,23.006
2020-06-17 00:00:00,2019,47.307
2020-06-17 00:00:00,2020,19.391
2020-06-18 00:00:00,2019,48.424
2020-06-18 00:00:00,2020,16.77
2020-06-19 00:00:00,2019,43.946
2020-06-19 00:00:00,2020,23.129
2020-06-20 00:00:00,2019,27.47
2020-06-20 00:00:00,2020,18.21
2020-06-21 00:00:00,2019,26.202
